,success,unappetitlich,pleasant,beautiful,appetitlich,cool,ugly,design,warm,attractive,natürlich,show,volkswagen,math,collar,names,trust,names,names,performance,winner
success,1.0,0.11653354772061815,0.11523860223777593,0.11228220781090219,0.11153900076753777,0.11116680215788338,0.10948411373274289,0.1070592101167132,0.10301515258103588,0.10051924577084614,0.0969155125828517,-0.01662324459701277,-0.024686081790424988,-0.031013250287054654,-0.031091178817907673,-0.03346868103243035,-0.06250285817696836,-0.06620389585130099,-0.07618796935581464,-0.081059173770806,-0.08873796945095967
unappetitlich,0.11653354772061815,1.0,0.6972537341780995,0.6889852974053374,0.7220841744505493,0.7316736589121177,0.8500633057382655,0.6133145201202768,0.8321683855118832,0.8452274418478369,0.7169752306285603,0.18961400831111808,-0.451185659463258,0.3440265910111098,0.2569835577064616,-0.3318062638364437,-0.7210361160370264,-0.3358743707904321,-0.2881899732445796,-0.15330130009284507,-0.011022686332939366
pleasant,0.11523860223777593,0.6972537341780995,1.0,0.8595160955434954,0.8455943717742086,0.8703520076895684,0.778081447438483,0.5364642609873908,0.8149722369619637,0.7926468314640892,0.7185309147217012,0.3426897814153612,-0.5495228479573773,0.2170726671606595,0.191029242966902,-0.11311093558306304,-0.7797404809396014,-0.25319045736077594,-0.0014439293465279613,0.0692464837596459,0.1876222332641024
beautiful,0.11228220781090219,0.6889852974053374,0.8595160955434954,1.0,0.9348289628486763,0.8167967039218345,0.7685766197021812,0.6736248293592474,0.8186763211204084,0.8908212674367231,0.7201035526060923,0.4945082720213591,-0.5262366099493433,0.03799718442818838,0.05005036676462295,0.005341929046835042,-0.6632731770875963,-0.13740695206213682,0.022294645851191574,0.17914810845994328,0.17443170516502035
appetitlich,0.11153900076753777,0.7220841744505493,0.8455943717742086,0.9348289628486763,1.0,0.7830468836687154,0.7668500765664139,0.5967855923456185,0.793309495245949,0.8950560904648839,0.6511791780424767,0.4529141460066967,-0.5569862683558904,0.05032270057336536,0.05415034624322263,-0.07709809017537424,-0.6743091671088233,-0.2206851134002174,0.010361864161028134,0.17821716134029186,0.18830933341452147
cool,0.11116680215788338,0.7316736589121177,0.8703520076895684,0.8167967039218345,0.7830468836687154,1.0,0.6815054432585739,0.6684539925833518,0.8440502246095938,0.7761906704127783,0.8069962182313304,0.2055201766742999,-0.4593254056981281,0.21345723128755384,0.2479514667134839,-0.3133993487958863,-0.7093951370284689,-0.36565035668864615,-0.23117705000241462,-0.07309362369825903,-0.03622259697943303
ugly,0.10948411373274289,0.8500633057382655,0.778081447438483,0.7685766197021812,0.7668500765664139,0.6815054432585739,1.0,0.42818709968865365,0.7648740845857938,0.7826969381982309,0.5873788443287743,0.36031078368778213,-0.529307163396773,0.15307349456548203,0.16033454949653728,-0.04156529266535232,-0.7162121129756828,-0.10967626916459042,-0.019386395031193993,0.04978594510954348,0.17712487243899952
design,0.1070592101167132,0.6133145201202768,0.5364642609873908,0.6736248293592474,0.5967855923456185,0.6684539925833518,0.42818709968865365,1.0,0.7524789487316517,0.7425220169909588,0.7740014986497092,0.21189155317880795,-0.19405883574218843,0.17219140152313975,0.1514291585322953,-0.32304155270284335,-0.4278581806909761,-0.31993900603716213,-0.41185567602811557,-0.14197100800951826,-0.2457655477208797
warm,0.10301515258103588,0.8321683855118832,0.8149722369619637,0.8186763211204084,0.793309495245949,0.8440502246095938,0.7648740845857938,0.7524789487316517,1.0,0.9000211674813207,0.8591538488705159,0.3713814888162908,-0.5303008424658026,0.348921158617714,0.16848595775053565,-0.23227432061981484,-0.7474265451759985,-0.2825624595844942,-0.23439683699538047,-0.005465570147740826,0.06466231431446862
attractive,0.10051924577084614,0.8452274418478369,0.7926468314640892,0.8908212674367231,0.8950560904648839,0.7761906704127783,0.7826969381982309,0.7425220169909588,0.9000211674813207,1.0,0.7465360131445107,0.43607801120103606,-0.5511508935938229,0.22865181855645025,0.15196993424789448,-0.18894681929864704,-0.711342747882798,-0.2667238412827309,-0.15114971347346917,0.08032937419456983,0.11796180567102572
natürlich,0.0969155125828517,0.7169752306285603,0.7185309147217012,0.7201035526060923,0.6511791780424767,0.8069962182313304,0.5873788443287743,0.7740014986497092,0.8591538488705159,0.7465360131445107,1.0,0.1767906764791834,-0.4259255625459426,0.3464193244098469,0.14765642563039258,-0.30508769068450814,-0.641625693994708,-0.3742324859146399,-0.31651486469645546,-0.18746523818810376,-0.1296209607927054
show,-0.01662324459701277,0.18961400831111808,0.3426897814153612,0.4945082720213591,0.4529141460066967,0.2055201766742999,0.36031078368778213,0.21189155317880795,0.3713814888162908,0.43607801120103606,0.1767906764791834,1.0,-0.32018661108431146,-0.05479200785567661,-0.15800270521149387,0.5334586104479576,-0.2611382729343681,0.39625129025369993,0.47084212693528715,0.8381328424111814,0.5397615003483585
volkswagen,-0.024686081790424988,-0.451185659463258,-0.5495228479573773,-0.5262366099493433,-0.5569862683558904,-0.4593254056981281,-0.529307163396773,-0.19405883574218843,-0.5303008424658026,-0.5511508935938229,-0.4259255625459426,-0.32018661108431146,1.0,-0.22910358022664076,0.1011912762277601,0.09897877434134703,0.5415955349858338,0.21792451729639645,-0.07030106751928089,-0.11776746902858648,-0.1786584156305966
math,-0.031013250287054654,0.3440265910111098,0.2170726671606595,0.03799718442818838,0.05032270057336536,0.21345723128755384,0.15307349456548203,0.17219140152313975,0.348921158617714,0.22865181855645025,0.3464193244098469,-0.05479200785567661,-0.22910358022664076,1.0,0.28428164618419693,-0.2746094942685002,-0.47254252320268975,-0.3063991705409468,-0.12597133119663542,-0.25005015789359625,0.1310474603004368
collar,-0.031091178817907673,0.2569835577064616,0.191029242966902,0.05005036676462295,0.05415034624322263,0.2479514667134839,0.16033454949653728,0.1514291585322953,0.16848595775053565,0.15196993424789448,0.14765642563039258,-0.15800270521149387,0.1011912762277601,0.28428164618419693,1.0,-0.3443572396892553,-0.3712300468718547,-0.28527109822245295,-0.15420062373927698,-0.21261608948719973,-0.06914886533306189
names,-0.03346868103243035,-0.3318062638364437,-0.11311093558306304,0.005341929046835042,-0.07709809017537424,-0.3133993487958863,-0.04156529266535232,-0.32304155270284335,-0.23227432061981484,-0.18894681929864704,-0.30508769068450814,0.5334586104479576,0.09897877434134703,-0.2746094942685002,-0.3443572396892553,1.0,0.24706294516369137,0.8721402639489624,0.7809673613646205,0.5917660477180675,0.5449247307877014
trust,-0.06250285817696836,-0.7210361160370264,-0.7797404809396014,-0.6632731770875963,-0.6743091671088233,-0.7093951370284689,-0.7162121129756828,-0.4278581806909761,-0.7474265451759985,-0.711342747882798,-0.641625693994708,-0.2611382729343681,0.5415955349858338,-0.47254252320268975,-0.3712300468718547,0.24706294516369137,1.0,0.3880385226585446,0.06008170736454517,0.04148817756942624,-0.1729228306897876
names,-0.06620389585130099,-0.3358743707904321,-0.25319045736077594,-0.13740695206213682,-0.2206851134002174,-0.36565035668864615,-0.10967626916459042,-0.31993900603716213,-0.2825624595844942,-0.2667238412827309,-0.3742324859146399,0.39625129025369993,0.21792451729639645,-0.3063991705409468,-0.28527109822245295,0.8721402639489624,0.3880385226585446,1.0,0.6221885629960956,0.5051287089171149,0.4540592007376096
names,-0.07618796935581464,-0.2881899732445796,-0.0014439293465279613,0.022294645851191574,0.010361864161028134,-0.23117705000241462,-0.019386395031193993,-0.41185567602811557,-0.23439683699538047,-0.15114971347346917,-0.31651486469645546,0.47084212693528715,-0.07030106751928089,-0.12597133119663542,-0.15420062373927698,0.7809673613646205,0.06008170736454517,0.6221885629960956,1.0,0.6041490632005655,0.6870636665963126
performance,-0.081059173770806,-0.15330130009284507,0.0692464837596459,0.17914810845994328,0.17821716134029186,-0.07309362369825903,0.04978594510954348,-0.14197100800951826,-0.005465570147740826,0.08032937419456983,-0.18746523818810376,0.8381328424111814,-0.11776746902858648,-0.25005015789359625,-0.21261608948719973,0.5917660477180675,0.04148817756942624,0.5051287089171149,0.6041490632005655,1.0,0.6311796543350245
winner,-0.08873796945095967,-0.011022686332939366,0.1876222332641024,0.17443170516502035,0.18830933341452147,-0.03622259697943303,0.17712487243899952,-0.2457655477208797,0.06466231431446862,0.11796180567102572,-0.1296209607927054,0.5397615003483585,-0.1786584156305966,0.1310474603004368,-0.06914886533306189,0.5449247307877014,-0.1729228306897876,0.4540592007376096,0.6870636665963126,0.6311796543350245,1.0
