,success,names,trust,altmodisch,volkswagen,names,names,names,instrument,basic,music,diligent,evaluating,responsible,trustworthy,nachhaltig,TheHero,valuable,TheRuler,kompliziert,career
success,1.0,0.27354474507565557,0.2549845695602623,0.18126680103187073,0.18067478347371452,0.14514359001198782,0.13682681932652194,0.11862737189545798,0.07733092479882195,-0.039931219904789234,-0.07441425463969994,-0.3125509809104634,-0.3135505062398101,-0.3196633181096848,-0.32096852994395375,-0.3271237604990707,-0.33460266424576285,-0.3387048249888434,-0.33944620433000744,-0.3443141557103487,-0.34803451777596356
names,0.27354474507565557,1.0,0.5243931893112094,0.4836485858011337,0.39386977385629884,0.8009029597301708,0.717227115745635,0.4073270848383914,0.3638953186948389,-0.04233460956682622,0.24877323060339906,-0.516728233901719,-0.5026582173866767,-0.5277195485791937,-0.4361764675292986,-0.5898038430553931,-0.33447243352774786,-0.5811264900663569,-0.3562406622389461,-0.5719366854538828,-0.5913311124764326
trust,0.2549845695602623,0.5243931893112094,1.0,0.1375863425217262,0.5633602947581814,0.3610404347466084,0.2485337427402183,0.04136083694157342,-0.07758285802269511,-0.5123639360996702,-0.3092459784432803,-0.8208863338319098,-0.5309003880674742,-0.6792651390737466,-0.7382650553625147,-0.765376008755539,-0.7402223155349068,-0.7913282185033681,-0.5866681789424103,-0.7253159103106832,-0.7412545144309927
altmodisch,0.18126680103187073,0.4836485858011337,0.1375863425217262,1.0,0.19179533549858913,0.32686384138767627,0.4351857616850965,0.24577481486049194,0.5323123208699779,0.16515816954723625,0.3802859307105853,-0.23286527432209186,-0.26228787554594496,-0.4290962692728301,-0.2194632112781543,-0.36868654129745293,-0.19141894342748972,-0.2897354900847526,-0.23447440121240692,-0.23852773696435645,-0.42422946514638454
volkswagen,0.18067478347371452,0.39386977385629884,0.5633602947581814,0.19179533549858913,1.0,0.14877138167230383,0.08895300246431485,-0.11725043070441009,0.021493068601546313,-0.33975775315876106,-0.247723820032548,-0.6577133522405895,-0.3641067514688221,-0.45543096188788157,-0.5216345682801319,-0.4676650298761377,-0.5384640714235077,-0.545899352222593,-0.2724443471784937,-0.512448805652827,-0.543490892777637
names,0.14514359001198782,0.8009029597301708,0.3610404347466084,0.32686384138767627,0.14877138167230383,1.0,0.889406031798763,0.6168721626020843,0.36798472605088944,-0.048580357118844765,0.38620697873653054,-0.2618134669369109,-0.42918619847094663,-0.3380194002683444,-0.25439680395601655,-0.4443311519219948,-0.0382643789920057,-0.3999697301500942,-0.1564566482037655,-0.42005695789565095,-0.37778530553748985
names,0.13682681932652194,0.717227115745635,0.2485337427402183,0.4351857616850965,0.08895300246431485,0.889406031798763,1.0,0.7680506272830575,0.43820083420043027,0.0464658313213814,0.4076112209271496,-0.19237016549664843,-0.46965883532801506,-0.37670309643793015,-0.2921234009694759,-0.48807443360196223,0.0022087201791422244,-0.40503593199819504,-0.1963668027799259,-0.44850945935932474,-0.3715366327417854
names,0.11862737189545798,0.4073270848383914,0.04136083694157342,0.24577481486049194,-0.11725043070441009,0.6168721626020843,0.7680506272830575,1.0,0.36814093475340887,0.0912896307213517,0.2895405086167167,0.02791598391764808,-0.41109359772059495,-0.28500181256529566,-0.20673300013737275,-0.41132057469099403,0.10007379544312384,-0.33022651526155394,-0.22742859714685135,-0.3656288931347592,-0.24449865142281813
instrument,0.07733092479882195,0.3638953186948389,-0.07758285802269511,0.5323123208699779,0.021493068601546313,0.36798472605088944,0.43820083420043027,0.36814093475340887,1.0,0.273534103663517,0.6731910905249271,0.00044055274555328977,-0.07380150369424325,-0.14391555417064467,-0.03184227465023661,-0.16377670282981302,0.08250464019284684,-0.09845272973082982,0.014657844858003203,-0.06156661158304199,-0.15710067566866812
basic,-0.039931219904789234,-0.04233460956682622,-0.5123639360996702,0.16515816954723625,-0.33975775315876106,-0.048580357118844765,0.0464658313213814,0.0912896307213517,0.273534103663517,1.0,0.37912936343027326,0.32587771748334793,0.035896873550142636,0.09078500792139353,0.21764013775933996,0.2986421702303068,0.2781224633765778,0.2802546234405659,0.04555884250594839,0.2066311098410673,0.15896491148637232
music,-0.07441425463969994,0.24877323060339906,-0.3092459784432803,0.3802859307105853,-0.247723820032548,0.38620697873653054,0.4076112209271496,0.2895405086167167,0.6731910905249271,0.37912936343027326,1.0,0.3032819820056714,0.10869674392677382,0.10693187393825963,0.2754889020532411,0.21132990046223413,0.5109607916227982,0.21576697608854437,0.30215345555255274,0.22005989777449808,0.13910544601063007
diligent,-0.3125509809104634,-0.516728233901719,-0.8208863338319098,-0.23286527432209186,-0.6577133522405895,-0.2618134669369109,-0.19237016549664843,0.02791598391764808,0.00044055274555328977,0.32587771748334793,0.3032819820056714,1.0,0.5620492170877507,0.7587673033209964,0.8704646380735552,0.76681561867964,0.8795758788755397,0.835993162375327,0.6881154581960724,0.7847988820924542,0.8375878371697663
evaluating,-0.3135505062398101,-0.5026582173866767,-0.5309003880674742,-0.26228787554594496,-0.3641067514688221,-0.42918619847094663,-0.46965883532801506,-0.41109359772059495,-0.07380150369424325,0.035896873550142636,0.10869674392677382,0.5620492170877507,1.0,0.7616152382983624,0.7479105619060078,0.7202371096068348,0.5697974436120529,0.7355306628358732,0.7136274128669163,0.8182222609007409,0.7109358864223472
responsible,-0.3196633181096848,-0.5277195485791937,-0.6792651390737466,-0.4290962692728301,-0.45543096188788157,-0.3380194002683444,-0.37670309643793015,-0.28500181256529566,-0.14391555417064467,0.09078500792139353,0.10693187393825963,0.7587673033209964,0.7616152382983624,1.0,0.8858249534541868,0.8441337192891682,0.7448008676121596,0.8771003915992903,0.8334091204757488,0.8572969829277599,0.8956221094955019
trustworthy,-0.32096852994395375,-0.4361764675292986,-0.7382650553625147,-0.2194632112781543,-0.5216345682801319,-0.25439680395601655,-0.2921234009694759,-0.20673300013737275,-0.03184227465023661,0.21764013775933996,0.2754889020532411,0.8704646380735552,0.7479105619060078,0.8858249534541868,1.0,0.8683495163118031,0.8577888818741413,0.91855558503556,0.852114496188661,0.9216912913277711,0.8881963713426091
nachhaltig,-0.3271237604990707,-0.5898038430553931,-0.765376008755539,-0.36868654129745293,-0.4676650298761377,-0.4443311519219948,-0.48807443360196223,-0.41132057469099403,-0.16377670282981302,0.2986421702303068,0.21132990046223413,0.76681561867964,0.7202371096068348,0.8441337192891682,0.8683495163118031,1.0,0.7482999554371007,0.8992677206739043,0.7765970804830972,0.9039155334752894,0.8746161780481444
