,success,basic,beautiful,cool,pleasant,natürlich,names,appetitlich,pleasant,female,names,below,innovative,rachel,electric,volkswagen,community,evaluating,descriptive,math,bargain
success,1.0,0.17616963792341025,0.1399408690560587,0.13209097434158468,0.12500366151449144,0.11660439159169701,0.11204227497671035,0.11110033944995636,0.10985683710187039,0.10979526509033807,0.10474318185057618,-0.037237101185735456,-0.04465977193812835,-0.04465977193812835,-0.049138160721395055,-0.053312344926273646,-0.0608696697533966,-0.06765680250141196,-0.07481746724185477,-0.09578322526593883,-0.11336115608570449
basic,0.17616963792341025,1.0,0.6111113509712486,0.6134506311025887,0.628628234480369,0.6733577018288596,0.06283687221997032,0.5620842311843867,0.5566748468036904,0.5950442019897464,0.16459657742232545,0.3306699688437968,-0.18829463020564413,-0.18829463020564413,-0.03574962618685403,-0.15474891370319144,-0.13527860192737998,-0.07418533940571578,-0.13316243079479842,0.010910632637503172,0.028512590149599313
beautiful,0.1399408690560587,0.6111113509712486,1.0,0.8928240562716762,0.8948522039720931,0.7646824266708031,-0.018824033575472725,0.9581974568280821,0.8156978039306519,0.653160683841412,-0.05162266638227607,0.4515095968772683,0.11323240941394151,0.11323240941394151,0.03555494527128529,-0.4634065324538012,0.20843293195454515,0.22680853363717135,0.3158890725131483,0.09426538498976035,-0.09187277962064265
cool,0.13209097434158468,0.6134506311025887,0.8928240562716762,1.0,0.9274081792687615,0.8306048129728413,-0.1469719387738129,0.8678668976716216,0.8519877422494097,0.7053443756582344,-0.16418511394398477,0.523546341119375,0.09638626710663224,0.09638626710663224,0.1197910172673722,-0.3787713142700083,0.2712807278117145,0.26701036432382014,0.21325292152480738,0.17855437347588446,-0.06752340594003171
pleasant,0.12500366151449144,0.628628234480369,0.8948522039720931,0.9274081792687615,1.0,0.7976820703784138,-0.07114129375944475,0.8764377254502684,0.9365761605462074,0.80958066085623,-0.12083826764929494,0.5241098157107191,-0.0280519436647001,-0.0280519436647001,0.06537702582556544,-0.43900484077654245,0.35732166650997577,0.2562727790518881,0.19368918396509263,0.24555899408759566,-0.07120371177501895
natürlich,0.11660439159169701,0.6733577018288596,0.7646824266708031,0.8306048129728413,0.7976820703784138,1.0,-0.22587233210908106,0.7477214788917996,0.7443389164891705,0.608368736692532,-0.1876262601343896,0.5060723465633998,0.22054396435607687,0.22054396435607687,0.29623302475527313,-0.37201181285886814,0.3564604693201775,0.39160902568177597,0.2867288791805153,0.29264043256006395,-0.10748742718859393
names,0.11204227497671035,0.06283687221997032,-0.018824033575472725,-0.1469719387738129,-0.07114129375944475,-0.22587233210908106,1.0,-0.11179919449009817,-0.03888677048815475,0.030725762366192507,0.8084277559485319,-0.48901065643215214,-0.19504566686863006,-0.19504566686863006,-0.23727805067156324,0.0700597915947956,-0.18337447272533206,-0.4086234267827097,-0.18499155169746367,-0.19774148211720943,-0.425213574846868
appetitlich,0.11110033944995636,0.5620842311843867,0.9581974568280821,0.8678668976716216,0.8764377254502684,0.7477214788917996,-0.11179919449009817,1.0,0.8127173350521869,0.623836989778403,-0.18498363741329746,0.4794669120878905,0.11532072341175031,0.11532072341175031,0.05965979434632148,-0.48897952452535065,0.27455389863042906,0.3072087136358592,0.3398041232692764,0.12309507503994974,-0.0007136256748819485
pleasant,0.10985683710187039,0.5566748468036904,0.8156978039306519,0.8519877422494097,0.9365761605462074,0.7443389164891705,-0.03888677048815475,0.8127173350521869,1.0,0.88834838279821,-0.07411405658791616,0.4988930688044398,-0.12791001713157404,-0.12791001713157404,-0.017515819803453764,-0.49918519384811266,0.5110741774814,0.2871753155435349,0.18970018474263495,0.3579472140831193,-0.11689576093077343
female,0.10979526509033807,0.5950442019897464,0.653160683841412,0.7053443756582344,0.80958066085623,0.608368736692532,0.030725762366192507,0.623836989778403,0.88834838279821,1.0,0.07089833916560834,0.4963113638867236,-0.35446305298815517,-0.35446305298815517,-0.2087200591572662,-0.350591655408263,0.3517987325144106,0.14482100416416707,-0.056512679296190575,0.307967263153666,-0.09995232356417141
names,0.10474318185057618,0.16459657742232545,-0.05162266638227607,-0.16418511394398477,-0.12083826764929494,-0.1876262601343896,0.8084277559485319,-0.18498363741329746,-0.07411405658791616,0.07089833916560834,1.0,-0.5407496991411344,-0.179468518943773,-0.179468518943773,-0.38600721664201176,0.2527715856380531,-0.26062563989119264,-0.5038887730307733,-0.286893785588672,-0.30353138849879485,-0.398985980245131
below,-0.037237101185735456,0.3306699688437968,0.4515095968772683,0.523546341119375,0.5241098157107191,0.5060723465633998,-0.48901065643215214,0.4794669120878905,0.4988930688044398,0.4963113638867236,-0.5407496991411344,1.0,-0.013868798653018398,-0.013868798653018398,0.1717278129340057,-0.39047059650603766,0.28544030563973605,0.5612083707632916,0.3574234655470411,0.5036386423961655,0.10784070129819442
innovative,-0.04465977193812835,-0.18829463020564413,0.11323240941394151,0.09638626710663224,-0.0280519436647001,0.22054396435607687,-0.19504566686863006,0.11532072341175031,-0.12791001713157404,-0.35446305298815517,-0.179468518943773,-0.013868798653018398,1.0,1.0,0.5028000238431231,-0.02882048238736685,0.18469983468517578,0.34514133048029805,0.529680605998776,0.09600904337512724,-0.08270012640167385
rachel,-0.04465977193812835,-0.18829463020564413,0.11323240941394151,0.09638626710663224,-0.0280519436647001,0.22054396435607687,-0.19504566686863006,0.11532072341175031,-0.12791001713157404,-0.35446305298815517,-0.179468518943773,-0.013868798653018398,1.0,1.0,0.5028000238431231,-0.02882048238736685,0.18469983468517578,0.34514133048029805,0.529680605998776,0.09600904337512724,-0.08270012640167385
