,success,unnatürlich,traditional,traditionell,untrustworthy,small,restrictive,below,descriptive,positive,design,new,names,TheHero,collar,volkswagen,names,performance,collar,bargain,winner
success,1.0,0.08198471959326499,0.0623227610648872,0.06154292930492533,0.0598408663235816,0.058443099811834785,0.054981252067787735,0.05323280066341994,0.052090218047270306,0.05098661286249134,0.049132289782553705,-0.022210981042874896,-0.024358687349423216,-0.02506701423002688,-0.02717318470124143,-0.031202852756237673,-0.042185707697830116,-0.04391163592840746,-0.04915441943791085,-0.0497196138040146,-0.05749203600908294
unnatürlich,0.08198471959326499,1.0,0.5290475150778443,0.3318879513063021,0.3932856527449328,0.6850870305729793,0.6996631713425076,0.469512673894174,0.464206811907545,0.5810928911407798,0.5789081647234987,0.254698772556509,-0.09478229057779382,0.15443668707416136,0.11263570138360912,-0.06361994038519363,-0.5271008948661445,-0.4661863480627676,0.14609796540769784,-0.28612041812692196,-0.3694402291563882
traditional,0.0623227610648872,0.5290475150778443,1.0,0.5941150495477986,0.2984341686006492,0.6097179297349632,0.34038763934582217,0.244337546088417,0.531435612980808,0.6059586939273638,0.8130158070504223,0.5218728557881199,-0.027423903376835156,0.3652089314274172,0.13866444046101106,-0.08413163825918014,-0.24581180117668258,0.04367818387304858,0.04772963642761859,-0.3175828623065444,-0.13476604478748952
traditionell,0.06154292930492533,0.3318879513063021,0.5941150495477986,1.0,0.6301972526454295,0.48885983238149155,0.4074407999801783,0.3242046794329469,0.14724548376993474,0.5730542818399974,0.3713892338087161,0.34612363084845343,0.08700225391600705,0.4758733998897332,0.4296372119525236,-0.2958519542958726,-0.015032512574598412,-0.08045108041838264,0.05194048607654707,-0.37103859899491365,0.06406154020436458
untrustworthy,0.0598408663235816,0.3932856527449328,0.2984341686006492,0.6301972526454295,1.0,0.5690743182739967,0.5951134373887246,0.6650710775885995,0.19608727722045016,0.5809972948157623,0.2723850036288044,0.2875773276120825,-0.3134760525677236,0.5192723417269345,0.4749403477792459,-0.5217102058951616,-0.22237173907855506,-0.18960360507188684,0.1357690964098292,-0.23273430627117145,0.008081837738534178
small,0.058443099811834785,0.6850870305729793,0.6097179297349632,0.48885983238149155,0.5690743182739967,1.0,0.7740217767917499,0.6110530469664792,0.33763907461198256,0.7930031526682138,0.713286640528561,0.38804691228348825,-0.34696558604657973,0.365736961177733,0.2674077623427474,-0.24881037148706642,-0.5733346607410877,-0.41697638962289774,0.22991931602682786,-0.15681976435645803,-0.31365607516852245
restrictive,0.054981252067787735,0.6996631713425076,0.34038763934582217,0.4074407999801783,0.5951134373887246,0.7740217767917499,1.0,0.709268896990727,0.17618458773293488,0.6697294852075711,0.4683554505912731,0.1375931720867921,-0.21082138185525903,0.22971896775946785,0.17472586812640942,-0.3087045009771889,-0.5191686636873641,-0.46235785132663515,0.10018442164391,-0.19488241838851397,-0.2760793907535749
below,0.05323280066341994,0.469512673894174,0.244337546088417,0.3242046794329469,0.6650710775885995,0.6110530469664792,0.709268896990727,1.0,0.28696467520317204,0.48871041728584264,0.32977863442067096,0.15547078269695808,-0.40592600960153663,0.22926384110433573,0.15128132564623695,-0.3820212718227141,-0.4320181737152916,-0.3616603209452095,0.08162915831950031,-0.13749226167652123,-0.15696047787905573
descriptive,0.052090218047270306,0.464206811907545,0.531435612980808,0.14724548376993474,0.19608727722045016,0.33763907461198256,0.17618458773293488,0.28696467520317204,1.0,0.24138947824783255,0.4492945822678661,0.25132070673058376,-0.27050316324833334,0.24274896349251734,0.04904127245040996,-0.25381755025705455,-0.28237603738840933,-0.019479302206155027,-0.1786673846350685,-0.25678239699535965,-0.17794002146120666
positive,0.05098661286249134,0.5810928911407798,0.6059586939273638,0.5730542818399974,0.5809972948157623,0.7930031526682138,0.6697294852075711,0.48871041728584264,0.24138947824783255,1.0,0.6513589800082844,0.3240001886887093,-0.29748834865765217,0.5322082430588333,0.37327869793859975,-0.35385229762424864,-0.34308356326656175,-0.19412907954567096,0.1350462479973136,-0.2035179264519418,-0.08574969185024221
design,0.049132289782553705,0.5789081647234987,0.8130158070504223,0.3713892338087161,0.2723850036288044,0.713286640528561,0.4683554505912731,0.32977863442067096,0.4492945822678661,0.6513589800082844,1.0,0.4338689388198508,-0.15134484235198425,0.27896919313320856,0.1536494450868879,-0.09134161297225915,-0.3980304951955252,-0.16069831273891524,0.12875048433512595,-0.23798670283536494,-0.31122336653239363
