,success,volkswagen,names,trust,pleasant,power,cool,names,pleasant,names,alive,TheJester,modern,modern,nachhaltig,cheap,see,impractical,valuable,dead,evaluating
success,1.0,0.033048041758404555,0.031706868650107425,0.030347225599649016,0.021075271047571887,0.019616361144991927,0.019359175347953665,0.018838861723914392,0.012711720526288214,0.011466228984185218,0.010630727565051611,-0.03968148320847219,-0.04006605752066779,-0.04006605752066779,-0.04043462226652817,-0.04070583315670901,-0.04867084473490032,-0.050350828388229595,-0.05493020984658948,-0.05788513693029583,-0.06609696312555387
volkswagen,0.033048041758404555,1.0,0.04024833652192845,0.457776256146704,-0.39594431257840945,-0.013556864402172943,-0.31954839415778646,0.1970159391804407,-0.48285557058706235,0.25791570794690294,-0.33539361873439144,-0.5017500216882083,-0.2168524612585614,-0.2168524612585614,-0.3745141843534888,-0.4113077898650068,-0.4029153304161233,-0.43737613069044406,-0.4846373621516039,-0.3179405095022334,-0.29029812962605595
names,0.031706868650107425,0.04024833652192845,1.0,0.030904892283585672,0.01089999255983659,-0.3951809684176841,-0.22377009407120269,0.7846606758101092,0.16490427662891247,0.6491901935460422,-0.3036667077078827,-0.03067806479693712,-0.21495067400226275,-0.21495067400226275,-0.4282550658938686,-0.289216780423035,0.23988424354451982,-0.19501883255631108,-0.412536126877264,-0.31732154739059804,-0.3993654930549741
trust,0.030347225599649016,0.457776256146704,0.030904892283585672,1.0,-0.7317557503258263,-0.2923304128927264,-0.6091225998198557,0.18294194076141637,-0.7368594321587408,0.2818057925367508,-0.5284454407704517,-0.7042483190867256,-0.4632709069509834,-0.4632709069509834,-0.6338347751665527,-0.6899092772196326,-0.5617725029029108,-0.5539144222794452,-0.6654038073045726,-0.5650233755670178,-0.30278423217707273
pleasant,0.021075271047571887,-0.39594431257840945,0.01089999255983659,-0.7317557503258263,1.0,0.3301189086620063,0.8468125450574834,-0.0723761319448442,0.8980743183742629,-0.1474084473602076,0.5970545700547034,0.7180501723471392,0.4617588457690469,0.4617588457690469,0.5647638212724228,0.7714416054961577,0.5010246464052845,0.4437448781684379,0.5478185731235499,0.43661230182517063,0.06466922738863222
power,0.019616361144991927,-0.013556864402172943,-0.3951809684176841,-0.2923304128927264,0.3301189086620063,1.0,0.49904771883275595,-0.30497060343522064,0.2764797022822913,-0.16780838288144423,0.6455304494279147,0.33309952687709493,0.39312214054068895,0.39312214054068895,0.6751137505100392,0.3593430274293991,0.01974124537429247,0.3276541054555042,0.4768121588433591,0.3600704328228386,0.2533627246359402
cool,0.019359175347953665,-0.31954839415778646,-0.22377009407120269,-0.6091225998198557,0.8468125450574834,0.49904771883275595,1.0,-0.2697868945484704,0.7043269390306204,-0.25108020782943646,0.7513761056799245,0.6313310609283717,0.5373529813635906,0.5373529813635906,0.6861640696243345,0.7577349002263414,0.39608110920285383,0.4303792686985063,0.570163998680562,0.4182227311558241,0.20023781083391792
names,0.018838861723914392,0.1970159391804407,0.7846606758101092,0.18294194076141637,-0.0723761319448442,-0.30497060343522064,-0.2697868945484704,1.0,0.10318399666969003,0.8921944365681886,-0.352753751819891,-0.06814932158910363,-0.16709411894733853,-0.16709411894733853,-0.44992698696767547,-0.3259621242309377,0.2179514913101875,-0.2417009313321462,-0.42381301423857315,-0.2634951162404692,-0.4112173857989794
pleasant,0.012711720526288214,-0.48285557058706235,0.16490427662891247,-0.7368594321587408,0.8980743183742629,0.2764797022822913,0.7043269390306204,0.10318399666969003,1.0,0.023142894548424702,0.5387625498348078,0.8345288351817557,0.4451115920888226,0.4451115920888226,0.5443619574363662,0.6739866250656824,0.6270321914157698,0.5548742242288894,0.5932001864604612,0.45109323661264833,0.0811273840585056
names,0.011466228984185218,0.25791570794690294,0.6491901935460422,0.2818057925367508,-0.1474084473602076,-0.16780838288144423,-0.25108020782943646,0.8921944365681886,0.023142894548424702,1.0,-0.33586378381697585,-0.026645567510461474,-0.19613980117855612,-0.19613980117855612,-0.37973444306855453,-0.3010102666526977,0.19664313044820714,-0.1781310598640265,-0.38191471326896614,-0.21295077720509303,-0.3605681155821117
