,success,new,modern,modern,unsustainable,altmodisch,trendy,power,traditionell,design,TheWizard,performance,winner,responsible,friendship,instrument,bargain,collar,protective,children,collar
success,1.0,0.12561845498218774,0.11062284623381642,0.11062284623381642,0.1051507379718588,0.09441440609919402,0.09057387188812639,0.08849510252383629,0.08732854195565815,0.08508951904305494,0.0819112512649635,-0.010778897455650222,-0.012549221029206015,-0.01316071721036073,-0.026098771880175353,-0.03054114328373939,-0.03276548839807851,-0.033584170556368885,-0.03787307878756114,-0.04286450386784348,-0.07368867054881986
new,0.12561845498218774,1.0,0.8026804740909429,0.8026804740909429,0.4484241071626886,0.284565188906886,0.5313039748142939,0.412451009472819,0.49895489786784314,0.4333236070644124,0.6925187095460802,0.07054380193812246,0.08214259429972018,0.21061617736561009,0.16604767620408825,-0.030945723115840144,-0.08550663304640778,0.06955399026633324,0.09649785407411172,0.09954716810644179,-0.05215099164965967
modern,0.11062284623381642,0.8026804740909429,1.0,1.0,0.6003004130932277,0.2797944962367278,0.7331726554666717,0.4259587068209561,0.5532023658990685,0.6054243113902513,0.765584643095439,0.07511194095806245,0.029212471892826802,0.3679909112347356,0.11934886793448775,0.017055281055487724,-0.15774667431452707,0.29326302871852866,0.27576431723411277,0.20705520703412436,-0.0004241816896037119
modern,0.11062284623381642,0.8026804740909429,1.0,1.0,0.6003004130932277,0.2797944962367278,0.7331726554666717,0.4259587068209561,0.5532023658990685,0.6054243113902513,0.765584643095439,0.07511194095806245,0.029212471892826802,0.3679909112347356,0.11934886793448775,0.017055281055487724,-0.15774667431452707,0.29326302871852866,0.27576431723411277,0.20705520703412436,-0.0004241816896037119
unsustainable,0.1051507379718588,0.4484241071626886,0.6003004130932277,0.6003004130932277,1.0,-0.14683903323467765,0.3059464245684692,0.7153821575487961,0.3550073406310265,0.43070570826095317,0.6315220985118195,-0.1993161120982467,-0.04112884424777303,0.575083178459571,-0.14502228325001618,-0.17437742431998973,-0.20767684580135595,0.34224539087384176,0.411319548630552,0.17582007901588015,0.13346942569455586
altmodisch,0.09441440609919402,0.284565188906886,0.2797944962367278,0.2797944962367278,-0.14683903323467765,1.0,0.4913126203867273,-0.18724307685308603,0.45140048580905834,0.4263858157847854,0.15716726575595522,0.22408054954673404,-0.03986746776373768,-0.3954489147019241,0.052782469410415415,0.4327285089676196,-0.22215691921540298,-0.1658071419720847,-0.24094531612264303,-0.12445651451254172,-0.27415438980320445
trendy,0.09057387188812639,0.5313039748142939,0.7331726554666717,0.7331726554666717,0.3059464245684692,0.4913126203867273,1.0,0.22045630567980865,0.5769789170868455,0.6881044483064922,0.6884360840476985,0.28054526044916295,0.20980102736021028,0.1653235817074027,0.3971704242510025,0.3425810148189432,-0.1610012966504058,0.27389812622207327,0.09661573954445914,0.41454295017893455,-0.0801735803910781
power,0.08849510252383629,0.412451009472819,0.4259587068209561,0.4259587068209561,0.7153821575487961,-0.18724307685308603,0.22045630567980865,1.0,0.365857613254738,0.494229626821305,0.5713650208885017,-0.3458962199776332,-0.22297983623031606,0.5703497561851479,-0.06636231886206374,-0.07841284658318654,-0.21586821249877675,0.13651191317694555,0.4801999989778173,0.1599479021622526,0.2276943567384513
traditionell,0.08732854195565815,0.49895489786784314,0.5532023658990685,0.5532023658990685,0.3550073406310265,0.45140048580905834,0.5769789170868455,0.365857613254738,1.0,0.48259072216858784,0.698410530132335,-0.06906703479696097,0.027526604154462776,0.36654191942824516,0.36083685131575827,0.15758075652552564,-0.33877667189388594,0.36407485153877533,0.17454544132768293,0.38873318971245874,-0.002364926439932649
design,0.08508951904305494,0.4333236070644124,0.6054243113902513,0.6054243113902513,0.43070570826095317,0.4263858157847854,0.6881044483064922,0.494229626821305,0.48259072216858784,1.0,0.5495587726122289,-0.15000177250393731,-0.2592751651641138,0.30428442566509667,0.08652617100730868,0.2819091102143402,-0.2844485753036493,0.18811037406185116,0.5106401265625348,0.19446366151614566,0.10391132921349311
TheWizard,0.0819112512649635,0.6925187095460802,0.765584643095439,0.765584643095439,0.6315220985118195,0.15716726575595522,0.6884360840476985,0.5713650208885017,0.698410530132335,0.5495587726122289,1.0,0.14961905557875124,0.25737351014389004,0.5723912348884128,0.4126545199293505,0.16101956470370746,-0.3944929513976476,0.5630291089098421,0.22894105078110283,0.4777458302645008,0.13680026366617096
performance,-0.010778897455650222,0.07054380193812246,0.07511194095806245,0.07511194095806245,-0.1993161120982467,0.22408054954673404,0.28054526044916295,-0.3458962199776332,-0.06906703479696097,-0.15000177250393731,0.14961905557875124,1.0,0.6830256464147523,-0.323841552628767,0.3088704048722746,0.36376389303319345,-0.032407561355374516,0.005159367142151986,-0.5200364745265063,0.13858709651017256,-0.1821659962627146
winner,-0.012549221029206015,0.08214259429972018,0.029212471892826802,0.029212471892826802,-0.04112884424777303,-0.03986746776373768,0.20980102736021028,-0.22297983623031606,0.027526604154462776,-0.2592751651641138,0.25737351014389004,0.6830256464147523,1.0,-0.03313537095760746,0.43662688406230377,0.21951032804403003,0.1028995838136882,0.19483062213616845,-0.4815606790840834,0.3069318287232039,-0.11351514886677282
responsible,-0.01316071721036073,0.21061617736561009,0.3679909112347356,0.3679909112347356,0.575083178459571,-0.3954489147019241,0.1653235817074027,0.5703497561851479,0.36654191942824516,0.30428442566509667,0.5723912348884128,-0.323841552628767,-0.03313537095760746,1.0,0.165606129031133,-0.09471564166733347,-0.22898866005356078,0.5948221359695333,0.5680344852132928,0.40725064401295175,0.33007303582927777
friendship,-0.026098771880175353,0.16604767620408825,0.11934886793448775,0.11934886793448775,-0.14502228325001618,0.052782469410415415,0.3971704242510025,-0.06636231886206374,0.36083685131575827,0.08652617100730868,0.4126545199293505,0.3088704048722746,0.43662688406230377,0.165606129031133,1.0,0.27780796435655714,-0.13228504189744772,0.42220431200972625,-0.05832057347623297,0.7415855751207983,0.07400598906892719
instrument,-0.03054114328373939,-0.030945723115840144,0.017055281055487724,0.017055281055487724,-0.17437742431998973,0.4327285089676196,0.3425810148189432,-0.07841284658318654,0.15758075652552564,0.2819091102143402,0.16101956470370746,0.36376389303319345,0.21951032804403003,-0.09471564166733347,0.27780796435655714,1.0,-0.15033392509032412,0.0302221419815667,-0.07940479163596904,0.23064377229344976,-0.03394934660989972
bargain,-0.03276548839807851,-0.08550663304640778,-0.15774667431452707,-0.15774667431452707,-0.20767684580135595,-0.22215691921540298,-0.1610012966504058,-0.21586821249877675,-0.33877667189388594,-0.2844485753036493,-0.3944929513976476,-0.032407561355374516,0.1028995838136882,-0.22898866005356078,-0.13228504189744772,-0.15033392509032412,1.0,-0.3490790336217461,-0.16473949849238098,-0.10462247212712797,-0.23425605433496638
collar,-0.033584170556368885,0.06955399026633324,0.29326302871852866,0.29326302871852866,0.34224539087384176,-0.1658071419720847,0.27389812622207327,0.13651191317694555,0.36407485153877533,0.18811037406185116,0.5630291089098421,0.005159367142151986,0.19483062213616845,0.5948221359695333,0.42220431200972625,0.0302221419815667,-0.3490790336217461,1.0,0.25144888256701,0.5269274569913212,0.416903644849965
protective,-0.03787307878756114,0.09649785407411172,0.27576431723411277,0.27576431723411277,0.411319548630552,-0.24094531612264303,0.09661573954445914,0.4801999989778173,0.17454544132768293,0.5106401265625348,0.22894105078110283,-0.5200364745265063,-0.4815606790840834,0.5680344852132928,-0.05832057347623297,-0.07940479163596904,-0.16473949849238098,0.25144888256701,1.0,0.24545738435368827,0.43186376628662354
children,-0.04286450386784348,0.09954716810644179,0.20705520703412436,0.20705520703412436,0.17582007901588015,-0.12445651451254172,0.41454295017893455,0.1599479021622526,0.38873318971245874,0.19446366151614566,0.4777458302645008,0.13858709651017256,0.3069318287232039,0.40725064401295175,0.7415855751207983,0.23064377229344976,-0.10462247212712797,0.5269274569913212,0.24545738435368827,1.0,0.21692048639750217
collar,-0.07368867054881986,-0.05215099164965967,-0.0004241816896037119,-0.0004241816896037119,0.13346942569455586,-0.27415438980320445,-0.0801735803910781,0.2276943567384513,-0.002364926439932649,0.10391132921349311,0.13680026366617096,-0.1821659962627146,-0.11351514886677282,0.33007303582927777,0.07400598906892719,-0.03394934660989972,-0.23425605433496638,0.416903644849965,0.43186376628662354,0.21692048639750217,1.0
