,success,below,female,weapon,male,basic,above,untrustworthy,friendship,family,dead,community,practical,TheSage,open,technical,science,aktiv,descriptive,show,performance
success,1.0,0.09249788035423549,0.08348148046909057,0.08134859323678734,0.07775867827687254,0.06745351594952864,0.06677627258374902,0.06591375742237233,0.0653808863419395,0.06019317837915537,0.055459497030914434,-0.05109647571338562,-0.05136531598727787,-0.05575564558338999,-0.05902498993077373,-0.059614486504930016,-0.06139184991719988,-0.07498202715067694,-0.07805310337087552,-0.08969991983067802,-0.09899905810153309
below,0.09249788035423549,1.0,0.24224289367786594,0.5316197865681436,0.30246581885029045,0.314053375173085,0.836305486559746,0.639910058243064,0.2001410449823832,0.2535032611587464,0.4716241883732861,0.04533746780965908,0.365756498308827,0.13784372610514703,0.1644887956368072,0.08135072794734272,0.018246618487567746,-0.008254817357243838,0.15546458410517097,-0.2432804663850529,-0.4375149903564143
female,0.08348148046909057,0.24224289367786594,1.0,0.23007491101530872,0.942294691152402,0.5600180454107765,0.5358226019753174,0.6112360568510057,0.8387935731416137,0.9542105338642289,0.4355812866793476,0.40846114776261555,0.021694849094283736,0.3418908606993192,0.36919947864061986,-0.4350464081449413,-0.0017351962303095792,0.27804496311902527,-0.24538223303161916,0.34452936614649804,0.1548867965745616
weapon,0.08134859323678734,0.5316197865681436,0.23007491101530872,1.0,0.33093696049080634,0.3848542174506477,0.4450803590779725,0.37297369166605876,0.19762271574474055,0.17760167019311146,0.253391681509753,-0.14309156215871346,0.13510807164297453,0.018010948816962732,0.10607734608687758,0.18420040017280453,0.09845212598678912,-0.08381696596250195,-0.02699522390426502,-0.11011791316093186,-0.20267537120430176
male,0.07775867827687254,0.30246581885029045,0.942294691152402,0.33093696049080634,1.0,0.4884474353345175,0.6167687179288489,0.6332784083770084,0.7559175565612383,0.9400584975983084,0.4801869446866329,0.46988097660629846,0.07352898275173554,0.4223666531748767,0.36577226447557026,-0.3347816789230928,0.09008327603396496,0.26797862773397113,-0.18536399218355104,0.30823164793140806,0.1184965728052589
basic,0.06745351594952864,0.314053375173085,0.5600180454107765,0.3848542174506477,0.4884474353345175,1.0,0.33874201008271493,0.4089215365320045,0.5044646528193648,0.46667095679618154,0.29031638626165746,-0.011877117833528204,-0.03654271135412634,-0.054252810696825964,0.27110238700773925,-0.18996849629867227,-0.07607980618571329,0.14217687195984136,-0.20280281304714715,0.20084239189930353,0.06627014751221735
above,0.06677627258374902,0.836305486559746,0.5358226019753174,0.4450803590779725,0.6167687179288489,0.33874201008271493,1.0,0.8069087456539057,0.42156355490340097,0.5953438760731804,0.6156217198135754,0.3903140370273845,0.3947698394461156,0.41465974014749674,0.3247285198148942,-0.023745113546722263,0.16162072347178583,0.1978783757278051,0.06597950595060113,-0.07565849861584849,-0.2983298282312256
untrustworthy,0.06591375742237233,0.639910058243064,0.6112360568510057,0.37297369166605876,0.6332784083770084,0.4089215365320045,0.8069087456539057,1.0,0.5145127749447774,0.6547151773884831,0.7231825739084873,0.4075603318898373,0.4239781114614945,0.49046309929666176,0.45763931143778475,-0.042765427053012416,0.20473901976509484,0.27398789806498497,0.129038448139154,0.06683626881462415,-0.21866061126436026
friendship,0.0653808863419395,0.2001410449823832,0.8387935731416137,0.19762271574474055,0.7559175565612383,0.5044646528193648,0.42156355490340097,0.5145127749447774,1.0,0.8074578926055895,0.3156326403145955,0.3058817440212509,0.04595209819016549,0.23939997448713665,0.3567725068752323,-0.4416081924672995,-0.09549263981505368,0.2710471283667702,-0.175918344606924,0.3872460001573722,0.2482523321088842
family,0.06019317837915537,0.2535032611587464,0.9542105338642289,0.17760167019311146,0.9400584975983084,0.46667095679618154,0.5953438760731804,0.6547151773884831,0.8074578926055895,1.0,0.5214655829879868,0.5791418367589737,0.2001583985730859,0.506118354248395,0.478855368426805,-0.29406298675447756,0.15082541970708863,0.4093285549754585,-0.13324457500087356,0.3233284837485377,0.09490552227732893
dead,0.055459497030914434,0.4716241883732861,0.4355812866793476,0.253391681509753,0.4801869446866329,0.29031638626165746,0.6156217198135754,0.7231825739084873,0.3156326403145955,0.5214655829879868,1.0,0.45104044769627777,0.5483083363394678,0.5651043850342443,0.5132791970299106,0.1816931905265696,0.4021020048517746,0.3312457782042462,0.1901231379432056,0.007784238578020413,-0.306290042611186
community,-0.05109647571338562,0.04533746780965908,0.40846114776261555,-0.14309156215871346,0.46988097660629846,-0.011877117833528204,0.3903140370273845,0.4075603318898373,0.3058817440212509,0.5791418367589737,0.45104044769627777,1.0,0.4812978076294574,0.7687404086075673,0.6052133630576323,0.15617417604712389,0.5308514691704151,0.6512281443357101,0.25570509262860125,0.2891731373681395,0.08077451450321964
practical,-0.05136531598727787,0.365756498308827,0.021694849094283736,0.13510807164297453,0.07352898275173554,-0.03654271135412634,0.3947698394461156,0.4239781114614945,0.04595209819016549,0.2001583985730859,0.5483083363394678,0.4812978076294574,1.0,0.7336062473570162,0.7437173010567693,0.6565033993238274,0.6566702374152663,0.6279926040598223,0.5751339194305743,-0.026707360562378157,-0.32645515699299854
TheSage,-0.05575564558338999,0.13784372610514703,0.3418908606993192,0.018010948816962732,0.4223666531748767,-0.054252810696825964,0.41465974014749674,0.49046309929666176,0.23939997448713665,0.506118354248395,0.5651043850342443,0.7687404086075673,0.7336062473570162,1.0,0.7501805146408945,0.41170932702018753,0.7644550501526762,0.6568485509129871,0.5080366730308329,0.2998150794742621,0.009945045552235418
open,-0.05902498993077373,0.1644887956368072,0.36919947864061986,0.10607734608687758,0.36577226447557026,0.27110238700773925,0.3247285198148942,0.45763931143778475,0.3567725068752323,0.478855368426805,0.5132791970299106,0.6052133630576323,0.7437173010567693,0.7501805146408945,1.0,0.4627365915583208,0.7048324021081167,0.8912769384602678,0.4959700423416883,0.45415718557597096,0.13286473465904128
technical,-0.059614486504930016,0.08135072794734272,-0.4350464081449413,0.18420040017280453,-0.3347816789230928,-0.18996849629867227,-0.023745113546722263,-0.042765427053012416,-0.4416081924672995,-0.29406298675447756,0.1816931905265696,0.15617417604712389,0.6565033993238274,0.41170932702018753,0.4627365915583208,1.0,0.7304800905765813,0.4400519178104844,0.5342929384778998,-0.09191831339640663,-0.2483250935251333
science,-0.06139184991719988,0.018246618487567746,-0.0017351962303095792,0.09845212598678912,0.09008327603396496,-0.07607980618571329,0.16162072347178583,0.20473901976509484,-0.09549263981505368,0.15082541970708863,0.4021020048517746,0.5308514691704151,0.6566702374152663,0.7644550501526762,0.7048324021081167,0.7304800905765813,1.0,0.6682150360439719,0.5351348611009572,0.22823152874874564,0.05441098381053064
aktiv,-0.07498202715067694,-0.008254817357243838,0.27804496311902527,-0.08381696596250195,0.26797862773397113,0.14217687195984136,0.1978783757278051,0.27398789806498497,0.2710471283667702,0.4093285549754585,0.3312457782042462,0.6512281443357101,0.6279926040598223,0.6568485509129871,0.8912769384602678,0.4400519178104844,0.6682150360439719,1.0,0.36905053508090563,0.4201248675339279,0.19433369623427518
descriptive,-0.07805310337087552,0.15546458410517097,-0.24538223303161916,-0.02699522390426502,-0.18536399218355104,-0.20280281304714715,0.06597950595060113,0.129038448139154,-0.175918344606924,-0.13324457500087356,0.1901231379432056,0.25570509262860125,0.5751339194305743,0.5080366730308329,0.4959700423416883,0.5342929384778998,0.5351348611009572,0.36905053508090563,1.0,0.34512940024626354,0.04980852078976953
