,success,dim_0_above,dim_1_african_names,dim_2_african_names_2004,dim_3_aktiv,dim_4_alive,dim_5_altmodisch,dim_6_arts,dim_7_arts_2,dim_8_bad,dim_9_basic,dim_10_beautiful,dim_11_below,dim_12_big,dim_13_blue_collar,dim_14_blunt,dim_15_career,dim_16_cheap,dim_17_children,dim_18_closed,dim_19_community,dim_20_cool,dim_21_cruel,dim_22_culture,dim_23_dead,dim_24_descriptive,dim_25_design,dim_26_destructive,dim_27_innovative,dim_28_responsible,dim_29_TheRebel,dim_30_appetitlich,dim_31_electric,dim_32_emotionally_stable,dim_33_ernst,dim_34_european_names,dim_35_evaluating,dim_36_expensive,dim_37_extraverted,dim_38_extrovert,dim_39_extroverted,dim_40_family,dim_41_fascination,dim_42_female,dim_43_friendship,dim_44_functionality,dim_45_healthy_positive,dim_46_healthy_restrictive,dim_47_impractical,dim_48_inaktiv,dim_49_winner,dim_50_indulgent,dim_51_cold,dim_52_innovative_rachel,dim_53_inside,dim_54_introverted,dim_55_kind,dim_56_kompliziert,dim_57_lazy,dim_58_lifestyle,dim_59_lustig,dim_60_male,dim_61_math,dim_62_modern,dim_63_modern_2,dim_64_music,dim_65_musical_instrument,dim_66_nachhaltig,dim_67_natürlich,dim_68_neurotic,dim_69_new,dim_70_diligent,dim_71_outside,dim_72_performance,dim_73_pleasant,dim_74_bargain,dim_75_polite,dim_76_power,dim_77_practical,dim_78_protective,dim_79_sympathisch,dim_80_safety,dim_81_science,dim_82_see,dim_83_show,dim_84_small,dim_85_sustainable,dim_86_sustainable_2,dim_87_attractive,dim_88_teaching,dim_89_technical,dim_90_TheCarer,dim_91_TheCitizen,dim_92_TheCreator,dim_93_TheExplorer,dim_94_TheHero,dim_95_TheInnocent,dim_96_TheJester,dim_97_open,dim_98_traditional,dim_99_TheRuler,dim_100_TheSage,dim_101_TheWizard,dim_102_traditionell,dim_103_trendy,dim_104_trust,dim_105_trustworthy,dim_106_ugly,dim_107_unappetitlich,dim_108_unattractive,dim_109_uncool,dim_110_unkompliziert,dim_111_unnatürlich,dim_112_unpleasant,dim_113_unsustainable,dim_114_unsustainable_2,dim_115_unsympathisch,dim_116_untrustworthy,dim_117_unwirksam,dim_118_valuable,dim_119_TheLover,dim_120_warm,dim_121_weapon,dim_122_white_collar,dim_123_white_names_1998,dim_124_pleasant_2,dim_125_volkswagen
success,1.0,0.11240443584596105,0.02552848413423212,-0.26927149999660366,-0.0903981613336139,0.020326101340238097,0.10286600175951147,0.034518968248845074,0.034518968248845074,-0.10082423976841769,-0.14028771519366565,0.031202933402378095,0.33199263449261845,0.4907227568089254,0.40648912536322446,-0.13664672148828985,-0.17148342389184149,0.14595407967174273,-0.06097001599639005,0.15932501501128582,-0.04169534902306472,-0.09696077317921313,-0.11309803622731965,-0.328835963492843,0.13577622083816238,-0.4054405775101938,0.015779690784309543,0.001963838332076,0.0768504376213628,0.27729468420559333,0.044535248756636364,-0.19431728267121628,0.3753827988209573,0.20528590363337312,-0.10920905492030614,-0.3160615199435459,0.07677031335199598,0.7257713668143296,0.07642647022384645,-0.05018724717474299,-0.04572841545781003,-0.03760001553443853,-0.2259901053849557,0.11574368604423181,-0.36273058714593975,,0.1385966287991618,0.008338392472263114,-0.22181561920888568,-0.013251025098770687,0.3023444264810993,0.327691283842902,0.07040613338381993,0.0768504376213628,0.3669728099187228,0.22514725480859,0.039734695618890946,-0.3208983678261171,0.17477484021572928,-0.15882845529360418,-0.2717192883013983,0.19780555290543755,0.12139884827913906,0.35340609290321773,0.35340609290321773,-0.12289588289710357,0.27238605896996976,-0.003254507597940127,-0.09915215389425325,0.054368779048512686,0.10004971780414951,-0.34475887830348223,0.365505458447124,0.021127202153951627,-0.307728630591266,0.13272676450906912,-0.3749360589855831,0.08643778204005548,-0.18458170619412947,-0.434239890266379,-0.36486850075491006,,-0.5586481353234439,-0.23951242696314082,-0.0183333355539472,0.3417688216595101,-0.0960563500803208,-0.1352826311990532,-0.014102736306168838,-0.2519678309537853,0.15123994079870487,-0.21405583836458653,0.008356968092454349,0.12411109385287891,-0.03529507435829928,-0.6060874060717392,-0.06956348389542424,-0.20920639562948848,-0.14083364855711636,0.10397972107194849,-0.19900541773502534,-0.39096685717168683,0.006848507701342352,0.2452018240554342,-0.048092848922034685,0.1687463003673842,-0.12581113822637968,0.10224034180659343,0.18364324574304525,-0.002478808399258347,0.10487019082739844,-0.13258106701534655,-0.11830641176565929,-0.018377213880118832,-0.15200422104050756,-0.4671346452480671,0.07719915670956318,-0.26307672293577467,0.022827173817485263,0.3995818882508858,-0.17440553165073508,0.10990496587609307,0.5019050941238201,-0.2354851811201704,-0.39845226685279644,-0.008735691027440852,0.6451845443388258
dim_0_above,0.11240443584596105,1.0,0.41933210412999544,0.32940229970564705,-0.7463106418413016,-0.18233051360579847,-0.37619205092664293,-0.18476672365207955,-0.18476672365207955,0.8821205333871097,0.7014300419315026,0.06856315045547785,0.9423186479328298,0.5963819973980788,0.669085327224338,0.9111793722963053,0.9379643637906544,0.6442857976675967,0.7682333867453832,0.908324277515744,-0.39186114702752556,0.5590127472278688,0.874601901961874,-0.4473338633179244,0.9598036684137159,-0.5655443962971333,-0.06607272547066102,0.7585231798012467,-0.4833116764946164,0.7577351854732836,0.6709054257521228,-0.427723364326703,0.44003706463501097,0.9217321890338319,0.7883620967688397,0.26612917412842857,-0.48634614233458484,0.49315213143157904,-0.2787308901884175,0.41204193895996805,0.41647261133190133,0.9881344949748818,-0.19003519382639117,0.9879182741748911,-0.08620040699066406,,0.8509138734635285,0.8898673894165601,0.5661639484354437,0.3812467585486979,-0.3508270034415453,-0.5020031981070502,0.31064132764647256,-0.4833116764946164,0.9155780116916336,0.5037162839625798,0.6851517992170295,0.39554148957875157,0.5996519453734823,0.6706086026049657,-0.20719548383973374,0.9809519145758315,0.04286050940866764,0.3658662290348722,0.3658662290348722,-0.2630204273799629,-0.3786679976435488,0.9214741072690852,0.7919836033521148,0.8562643474222651,0.9014392576218105,0.32034239219417354,0.852394426687504,-0.8773036784480047,0.8222281197074428,-0.8613023650633123,0.6132631342248422,0.7910393580910222,0.030176457972130834,0.22363458338892134,-0.03171421468377771,,0.33129825901999077,-0.5701945970376815,-0.8090106950049853,0.7068487259596556,0.7506864480473302,0.5216621979762922,-0.07679030272925128,0.7269945699005828,-0.2590328520142774,0.834429472834406,0.6688299642459292,0.3085039477448323,0.7895379984536128,0.4124843513759288,0.8816940974466373,0.7129344357169857,-0.2868350361595261,-0.07218447440027596,0.5076844141443099,0.3599978236882754,0.8360115238690379,0.7128834819899248,-0.33887981665345895,-0.7122780329228932,0.6394898051881256,0.8402417617881462,0.46673240394769827,0.2029345986911376,0.8617483955716213,0.38912046317192384,0.715943762390639,0.9817227671686803,0.6896901387514184,0.15477765268088678,0.5540038988244175,0.7955667853128469,0.9580227806279078,0.907993088072719,0.545759612539259,0.5343900841454048,0.7547869823248168,0.5406018097154088,-0.7486754962927069,0.7666520463727381,0.3933224629701717
dim_1_african_names,0.02552848413423212,0.41933210412999544,1.0,0.8728125645382452,0.03635129478091806,0.30250868076971976,0.6145332542899397,0.8029192145221986,0.8029192145221986,0.6144915202243816,-0.27368477876275515,0.3929265314401864,0.3909147793262334,0.7124744831451053,-0.027527361724549324,0.46255763069809713,0.5792745524917433,0.7443625410078657,-0.16554915694862168,0.6116103109602915,0.5851607236787036,0.23971092556006635,0.489175443719722,0.2015429013108945,0.6220160855082965,0.1961487557554391,0.6216827768883387,0.70323017379105,0.4795398863913104,0.8560215943165846,0.8065516894585745,0.008177231643616143,0.4527096035108417,0.28667750493826244,0.6598587582638978,0.8194152851950578,0.2928666634100652,0.4911426183919349,0.1494267809330471,0.4955063942687376,0.580738651809788,0.44152904054775244,0.6702557833400027,0.4100733077637166,0.024808654614753355,,0.3087469439055822,0.5705705821339584,0.6804831275254138,0.1451503597498537,-0.10763591629579966,-0.15312141637671972,0.7718211944450157,0.4795398863913104,0.408984260532993,0.20648129107899652,0.23051841312344512,0.4042708481047771,0.23966126557257916,0.6204876167992937,0.34137533176156004,0.5298438791948292,0.32018419783465524,-0.14577445461682825,-0.14577445461682825,0.6623857614818264,0.5457649556323964,0.24689294598109146,0.5138703645025706,0.5859262870626933,0.6712693697496399,-0.43021890558189957,0.673117730858122,-0.13014798077041206,0.2967303810004693,-0.7481420920002764,0.5854598503342457,0.5665038837183909,0.5445632550851505,-0.03729603062357162,0.026184177574928243,,0.6002921437843318,0.2898990542863173,0.05507065705588921,0.5584391067038014,0.5049646422019722,0.6116111003500897,0.5083008321096427,0.635088341105549,0.520247945175039,0.526769819541265,0.859006533951076,0.8920625201579279,0.680041051012755,0.6354697052073678,0.5837364476140986,0.688593421788108,0.4119154839032439,0.7496472866551307,0.8639318946870186,0.6607393748872253,0.8098429647533513,0.792865138620662,0.3777910780751731,0.17881978997059889,0.7969824487436897,0.53568094054608,0.7327693872583264,0.6446790674953565,0.5643852956685713,0.45054128352933376,0.7711223961366204,0.4738344989154217,0.616053989410224,0.6031490232395823,0.29223970482438705,0.15358204571262143,0.5906092890522857,0.3838769149589417,0.8741002674664934,0.7122067149576459,0.5855555105745224,0.7291409209021698,-0.16038780649838452,0.352073968198738,0.19059168046599356
dim_2_african_names_2004,-0.26927149999660366,0.32940229970564705,0.8728125645382452,1.0,0.032631204994961714,0.33974743085967835,0.5634748852589266,0.6784580972581861,0.6784580972581861,0.5776892700445398,-0.16227560473442504,0.3321531294468798,0.1628665858678586,0.5873436960115977,-0.37125367731039205,0.44252850762065155,0.5478380468374058,0.6395519496250004,-0.19608137181606664,0.402242197043605,0.6187002414477986,0.247022686125974,0.44517549702026227,0.5516906825676039,0.46492230543018226,0.12162307513193346,0.5802921678733663,0.6563292448792675,0.34616493753945915,0.6332911511756288,0.8437519717375827,0.05762564252669835,0.45275624053487246,0.21841886222483872,0.5591859192873336,0.951594394101024,-0.012782872274799217,0.33949954355556095,0.011030850157333034,0.1910568145887042,0.29636571089446145,0.400607374791904,0.5296917296288491,0.2657868724867215,-0.22972647976284508,,0.4078039291374094,0.4955742936542937,0.464846118352993,0.08839342666746053,-0.021226449716319033,-0.30615689847871724,0.5992378238982835,0.34616493753945915,0.3618363192451431,-0.08218797934621118,0.09528854280727639,0.2092037193087172,0.14785207603184894,0.6965155478868836,0.14307417122045454,0.44589158641750937,-0.047390259596989844,0.08361503156329539,0.08361503156329539,0.7417339967082478,0.340876018837011,0.2920522976856849,0.48351104877268203,0.5203570243188197,0.6594019760674158,-0.5134845707843094,0.5719437324373796,0.02233120795430562,0.25868576556723916,-0.7389807913598023,0.5369517392347894,0.6830744288624413,0.36817960179596604,-0.06982268148014509,-0.14401183538591658,,0.4820694476309063,0.1193828056482024,0.20648177116434666,0.4020497287879548,0.5959799964635498,0.6565328058747029,0.2890516988423717,0.44040296801746565,0.22680292730206655,0.4226391960629452,0.7026171201477955,0.794615270193735,0.5447489324686481,0.6944924784000955,0.5063719235793337,0.58215756381144,0.22485883550192115,0.6942934247682533,0.9445417587083471,0.4591991381250942,0.7368290579479642,0.7601622469014618,0.49992164504759307,0.2605429601882698,0.6706559955622423,0.3521127898038391,0.4563855821724452,0.3677482722190711,0.41892665885757785,0.20596780728226358,0.6534536947069008,0.4054617664059515,0.8010954933546353,0.7799125681091768,0.04426839548251956,0.0399034106021995,0.5097234915714314,0.24255681547041613,0.8114670561927687,0.7365588470269918,0.20851031687831723,0.49914319819816494,-0.09562509119437806,0.23300414602880798,0.03668191762018339
dim_3_aktiv,-0.0903981613336139,-0.7463106418413016,0.03635129478091806,0.032631204994961714,1.0,0.7460848712710022,0.7620155346244545,0.5834886878539884,0.5834886878539884,-0.3796234156576715,-0.6563067767300422,0.5944230668033987,-0.6112151050849787,-0.08429240639391095,-0.5390913466933923,-0.47297234059320403,-0.5910996330768913,0.007634529578502176,-0.6246484720276964,-0.4307958458558731,0.7749339695478213,0.018552610161233093,-0.3761468791925594,0.563357919182034,-0.6694052576336846,0.8443264825534275,0.687087038407376,-0.15560869589266293,0.8748452595943629,-0.24845647639255083,-0.16881954418280246,0.8663923943479721,0.10246684772003142,-0.549716842148977,-0.20198096645349073,-0.08834143047390941,0.7090474051518293,-0.10305855892097238,0.8092462865830412,0.15761541873225346,0.19480615155490894,-0.733535653873388,0.684714508817003,-0.7637196790180183,0.07755587279239723,,-0.5690570459320757,-0.3707837871659827,-0.01330863376961218,0.20975517868413115,-0.1666246799095056,0.8155277525916446,0.38282669892344395,0.8748452595943629,-0.6635010884439727,0.031238132219406592,-0.14795710617665844,0.13571395210887488,-0.02503785797998187,-0.0940439147110827,0.681301287296858,-0.6923320478726281,-0.13785149501081037,-0.44507907474781194,-0.44507907474781194,0.6764156850928877,0.776844039654655,-0.6197189213208485,-0.2228541941616005,-0.3090101552878819,-0.6331996526029686,-0.39660989813558706,-0.4436280578488848,0.6427425862686033,-0.43939865813471995,0.5516683194978534,-0.031064986592865804,-0.48953323242580926,0.595114678442725,0.2054749608898736,0.42639037394286894,,0.02245849561822435,0.7638449663475708,0.7978762208340836,-0.10454875302907594,-0.23637795057017094,0.12516381816243208,0.6858860071901156,-0.34523770847911484,0.7250822602758484,-0.3501424894778444,-0.05146921311814472,0.3076129003582915,-0.19377464966610677,0.09884708454509535,-0.3644661063952804,-0.11941787712896192,0.7940409989879741,0.6204334723047285,0.005466847047741171,0.06337947050374348,-0.3375802065686388,-0.24171895270898483,0.7864854050700164,0.6547218309079493,-0.005990723879120936,-0.28766660851100884,0.19877103407123323,0.429109500217579,-0.31075469671485656,0.21029108755021608,-0.1070669567561467,-0.6399252739970218,-0.323645289031997,0.39047338730602527,0.01548753946511197,-0.5616022835417822,-0.5390517472522641,-0.5285064028251673,0.07369498899577259,0.06548251131983554,-0.4148499014206951,-0.04776081527353457,0.3572235676997111,-0.21899811574271436,-0.6555228956601971
dim_4_alive,0.020326101340238097,-0.18233051360579847,0.30250868076971976,0.33974743085967835,0.7460848712710022,1.0,0.7196108647300224,0.5401208640429699,0.5401208640429699,0.235890806569882,-0.18826705458544388,0.9451080750876385,-0.07717924647060634,0.47916496058713337,-0.28917533688610764,0.14039793567071096,-0.054791773524137215,0.5937118882268183,-0.17219800859684123,0.11375252243443902,0.7555867609038646,0.6027938033984981,0.23921319132574204,0.582490341109177,-0.17819565165047127,0.525425571760779,0.9272337745831302,0.46972369465884917,0.7222079060322942,0.23223913238326035,0.4205297097651457,0.9045182904856951,0.7100974834508904,0.10953854116749454,0.35606087847230217,0.07093038338075441,0.3297608220097886,0.4074890988265513,0.8821763866395279,0.38249064818051853,0.4549591655283512,-0.1803080838105639,0.6248551357788322,-0.26749352555817496,-0.29394333919610954,,0.11751776091139303,0.2640726218888075,0.2802051883270293,0.6951861634737535,-0.4870382144769131,0.7416232208396223,0.7440073792324788,0.7222079060322942,-0.03154799261535144,0.41079139300779827,0.39620427785568646,0.3531364777934866,0.5737838740820216,0.5376483412737573,0.5796189575347348,-0.1004347816914478,-0.4883922773890474,0.004587383074469965,0.004587383074469965,0.7457031687945461,0.6695707380193401,0.03573455620444065,0.4067711148809225,0.34565430511453865,-0.07955542714496877,-0.39862554170665376,0.17380397291983,0.2074686954464417,0.05095741295616385,0.06804167371583028,0.41194913560050994,0.1460988808776816,0.7241808816826061,0.43257947551687514,0.4003074059030133,,0.06907009527253118,0.34620610665655993,0.49864667072849916,0.519634162939289,0.4427809383284292,0.706880437826933,0.7693716292749825,-0.06138486362620997,0.6132311405746451,0.15159017951001222,0.4278591971182388,0.6838694084597198,0.3605466227867492,0.4138962591247246,0.23877741802899366,0.36742146984329765,0.7113499046906915,0.81068204553914,0.4776969273880083,0.13850885069265634,0.2286356307709974,0.3512405368332425,0.9321188161082545,0.3560996846079823,0.46242284355436714,0.2833046597966648,0.5720488103315327,0.6053325503882958,0.2992613958308711,0.4738589271151246,0.39742278163063965,-0.05785381131252934,0.2824210357104881,0.7401270538313487,0.4218840632797797,-0.20873008658495185,0.06534706972607741,0.11145919340206673,0.5159506177774467,0.6663091978845396,-0.06994373747519644,0.17382715170968344,-0.30195999715088767,0.35680831872000995,-0.5838137094513091
dim_5_altmodisch,0.10286600175951147,-0.37619205092664293,0.6145332542899397,0.5634748852589266,0.7620155346244545,0.7196108647300224,1.0,0.9388965835980327,0.9388965835980327,-0.030123738487737653,-0.754592343471134,0.5970898696262391,-0.3010136277766009,0.4197267703047939,-0.5303382138149653,-0.20795719550354888,-0.20929488444845487,0.39184958720447444,-0.7105053498561869,-0.06628085356417808,0.983517171238511,0.018888697122410758,-0.12688829066888177,0.6418574790307393,-0.19176470667489312,0.6247304613463274,0.8604385375075172,0.22140188260011906,0.9480495019154289,0.28857485150119133,0.36266936963416824,0.5741213659526007,0.39149990471432855,-0.30762190834846864,0.09954326268293535,0.45995622378438744,0.6412270839285913,0.326889937111555,0.6071421104028648,0.2088902248988285,0.3026513304943687,-0.3717976216636435,0.8156152926045496,-0.4120570090718321,-0.12861067303700124,,-0.2314418080490308,-0.044732022328440445,0.19853357179802808,0.09985965695233072,0.04130134813332278,0.5087765653890711,0.6618011147461489,0.9480495019154289,-0.22277645656930767,-0.017141463877954514,-0.13660370622797036,0.10041469742433873,0.020055219045519514,0.2230099821662577,0.5333946545883753,-0.23030920636231061,0.029442042239315205,-0.2572909825663824,-0.2572909825663824,0.947840077511249,0.9410090017476996,-0.3892384666599347,0.01007238291768968,0.027999326143962402,-0.06739270745876039,-0.7673250591074965,0.09324834693295875,0.5678255565268548,-0.3474128520925286,0.019327507809598722,0.13163539344639244,0.015171786768243581,0.6094667019661248,-0.11002000672076183,0.09122818160582562,,0.16400362291701975,0.657910992312398,0.7650003660835543,0.2070961028946646,0.059210873255291945,0.3732254158118686,0.6929269914319487,-0.06568526178610708,0.7882265681017709,-0.12832922034109864,0.37605396605177044,0.7576178748087928,0.12571896835274804,0.2742560034659644,-0.05273686069176956,0.15622170061683402,0.7139100043635599,0.9399567555255944,0.49518867807599803,0.23817198175751586,0.1682471245367546,0.32847392553562565,0.8564267643453367,0.7759472546287026,0.33685824727655833,-0.029855355705936476,0.47581002432973,0.5551805755558638,-0.010017313203772834,0.21263458505002977,0.2459725976291401,-0.2989299927274123,0.13299773416235655,0.5734046894634829,-0.0004445342134525801,-0.536459558105585,-0.14125193436285488,-0.19381358658544856,0.4775621665588279,0.47394192822046133,-0.008659506978937383,0.21214286110547786,0.1903998730643765,-0.11416168790185906,-0.21008418170857032
dim_6_arts,0.034518968248845074,-0.18476672365207955,0.8029192145221986,0.6784580972581861,0.5834886878539884,0.5401208640429699,0.9388965835980327,1.0,1.0,0.12275994908479637,-0.7337916069972493,0.49451651945188924,-0.13111838803478626,0.4462237037844857,-0.3839091597090045,-0.06074277079048962,0.011551261091556141,0.4586555229940582,-0.6331063460874092,0.12692810955927766,0.9048191221307885,-0.009871184157754941,0.0066367179724393915,0.46513727234026375,0.05271131807381348,0.6144799019848005,0.7905046042317403,0.3192616535649288,0.888372770493878,0.4756541883481159,0.44650857767938734,0.37869532158752267,0.28927055061756113,-0.23012039200296497,0.2538243090985256,0.6230785765751575,0.6887994232367353,0.28789272270796734,0.46938696871646085,0.3641227005779358,0.45095613603833323,-0.16776220187853755,0.8872337187749436,-0.18701415170718658,0.08587459903326627,,-0.20315307864363305,0.08861688608294299,0.4184222867790742,0.030585849566297757,0.014024897098110913,0.2898724667804146,0.7182349800026698,0.888372770493878,-0.1307886150840841,0.030250644889407104,-0.09057202648529221,0.2541283174217489,-0.014075013158514048,0.27159615154362027,0.5816211445891688,-0.054280735867925575,0.2991593401730062,-0.40536793282704126,-0.40536793282704126,0.8922510154552659,0.901155109011826,-0.3062352003725113,0.10084029627846466,0.13352588402880325,0.11718717941192229,-0.651410466898683,0.2063973158975289,0.386093422144141,-0.18078677987807099,-0.21527849762038498,0.2787614394794771,0.08401814156394181,0.6572502868558543,-0.10162595990899477,0.1371381647247976,,0.4236384142222193,0.7053844395662658,0.5691198389290889,0.24217115895345123,0.09488343412319829,0.38225149729321484,0.7021399344817746,0.22490210649959502,0.8162007238910629,0.06686670137797812,0.5425846458304712,0.8121509752623456,0.2817335777649602,0.4206780627142124,0.10256191744453716,0.32850560451542976,0.715128661038309,0.9060873265661594,0.5955889599386402,0.49560400124155884,0.34870740237059455,0.4153392922716737,0.6768209869373838,0.629301959761504,0.4965609890562163,0.11123827201111558,0.5869750029354964,0.6597572504127963,0.12054800743657695,0.33304406257366925,0.4149579052208105,-0.10842778777590877,0.19497419144011974,0.5632375996754702,0.07595826100108403,-0.32564641868087646,0.040658348925361174,-0.10907245335459766,0.6204920651790404,0.47365874649224077,0.204945313162743,0.46869970506249214,0.22304661663637543,-0.029384234543642456,-0.09103036184988382
dim_7_arts_2,0.034518968248845074,-0.18476672365207955,0.8029192145221986,0.6784580972581861,0.5834886878539884,0.5401208640429699,0.9388965835980327,1.0,1.0,0.12275994908479637,-0.7337916069972493,0.49451651945188924,-0.13111838803478626,0.4462237037844857,-0.3839091597090045,-0.06074277079048962,0.011551261091556141,0.4586555229940582,-0.6331063460874092,0.12692810955927766,0.9048191221307885,-0.009871184157754941,0.0066367179724393915,0.46513727234026375,0.05271131807381348,0.6144799019848005,0.7905046042317403,0.3192616535649288,0.888372770493878,0.4756541883481159,0.44650857767938734,0.37869532158752267,0.28927055061756113,-0.23012039200296497,0.2538243090985256,0.6230785765751575,0.6887994232367353,0.28789272270796734,0.46938696871646085,0.3641227005779358,0.45095613603833323,-0.16776220187853755,0.8872337187749436,-0.18701415170718658,0.08587459903326627,,-0.20315307864363305,0.08861688608294299,0.4184222867790742,0.030585849566297757,0.014024897098110913,0.2898724667804146,0.7182349800026698,0.888372770493878,-0.1307886150840841,0.030250644889407104,-0.09057202648529221,0.2541283174217489,-0.014075013158514048,0.27159615154362027,0.5816211445891688,-0.054280735867925575,0.2991593401730062,-0.40536793282704126,-0.40536793282704126,0.8922510154552659,0.901155109011826,-0.3062352003725113,0.10084029627846466,0.13352588402880325,0.11718717941192229,-0.651410466898683,0.2063973158975289,0.386093422144141,-0.18078677987807099,-0.21527849762038498,0.2787614394794771,0.08401814156394181,0.6572502868558543,-0.10162595990899477,0.1371381647247976,,0.4236384142222193,0.7053844395662658,0.5691198389290889,0.24217115895345123,0.09488343412319829,0.38225149729321484,0.7021399344817746,0.22490210649959502,0.8162007238910629,0.06686670137797812,0.5425846458304712,0.8121509752623456,0.2817335777649602,0.4206780627142124,0.10256191744453716,0.32850560451542976,0.715128661038309,0.9060873265661594,0.5955889599386402,0.49560400124155884,0.34870740237059455,0.4153392922716737,0.6768209869373838,0.629301959761504,0.4965609890562163,0.11123827201111558,0.5869750029354964,0.6597572504127963,0.12054800743657695,0.33304406257366925,0.4149579052208105,-0.10842778777590877,0.19497419144011974,0.5632375996754702,0.07595826100108403,-0.32564641868087646,0.040658348925361174,-0.10907245335459766,0.6204920651790404,0.47365874649224077,0.204945313162743,0.46869970506249214,0.22304661663637543,-0.029384234543642456,-0.09103036184988382
dim_8_bad,-0.10082423976841769,0.8821205333871097,0.6144915202243816,0.5776892700445398,-0.3796234156576715,0.235890806569882,-0.030123738487737653,0.12275994908479637,0.12275994908479637,1.0,0.5727664276031551,0.4646700202482558,0.8266731282844627,0.7015292850958752,0.4434512207119558,0.9818516146100617,0.9537277841816162,0.8761814610875663,0.6477080725456531,0.9315802961268148,-0.007292375396189733,0.7968737799514625,0.9852911687835729,-0.12761882301774227,0.8686982086983404,-0.19455773645563967,0.3581370270366635,0.9597277808148463,-0.12688320643687043,0.8346389345275912,0.8505698894444206,-0.006527226515589644,0.6333940471485011,0.8824382756234092,0.9727607473781282,0.4216347429894655,-0.28040212614065885,0.5004327457532092,0.09090551619196528,0.6246997709887332,0.6620076513208589,0.9059632802297671,0.2029574182166299,0.8424273194365988,-0.0725756229606352,,0.8204360047508908,0.9906156767909332,0.7801669540794136,0.644021892854921,-0.6070050662119352,-0.2614777946183146,0.6532969590878502,-0.12688320643687043,0.7929149223453069,0.6210983052908419,0.8153958970214229,0.6439271083119164,0.7669567876786166,0.9222099598488979,0.15363553809164313,0.8853633194979711,-0.10468480488216898,0.21366933066567298,0.21366933066567298,0.13139197242748019,-0.08387051800810033,0.8891439646024908,0.9704734537802316,0.9798700737812448,0.8504872302978966,0.1945992401887963,0.8462641432902973,-0.7689686657394742,0.8924396971078135,-0.8828609968395544,0.8843076465819146,0.8132680091028905,0.4259301600198726,0.48017672773406095,0.23536790259578508,,0.5461165421913822,-0.28855218855377524,-0.5652844213365954,0.8439220965505062,0.9311252967833288,0.845587979493229,0.30283159638870516,0.798969636920663,0.04243901509426491,0.9498439500542282,0.8867929690229793,0.6191448406625869,0.9631047882269588,0.7495566624561594,0.9942304317076034,0.9354953536053066,0.10387504609779023,0.30062104683871294,0.7825704080302931,0.5730637853604615,0.9517631536175121,0.8194829161255294,0.08017701613574345,-0.5562606137526868,0.8964156120200031,0.9369560731398505,0.7113930286761927,0.5166750036385347,0.9611567088790004,0.6477295876886006,0.9369531570522951,0.948453735852697,0.828162930072369,0.5851241011497227,0.712936615651131,0.750762895936602,0.9767894600457008,0.8402438895055568,0.8430271083147278,0.7937112209866775,0.6496486232657319,0.7256460309003501,-0.7345988543867971,0.8985465840292856,0.017603076295894853
