,success,dim_0_above,dim_1_african_names,dim_2_african_names_2004,dim_3_aktiv,dim_4_alive,dim_5_altmodisch,dim_6_arts,dim_7_arts_2,dim_8_bad,dim_9_basic,dim_10_beautiful,dim_11_below,dim_12_big,dim_13_blue_collar,dim_14_blunt,dim_15_career,dim_16_cheap,dim_17_children,dim_18_closed,dim_19_community,dim_20_cool,dim_21_cruel,dim_22_culture,dim_23_dead,dim_24_descriptive,dim_25_design,dim_26_destructive,dim_27_innovative,dim_28_responsible,dim_29_TheRebel,dim_30_appetitlich,dim_31_electric,dim_32_emotionally_stable,dim_33_ernst,dim_34_european_names,dim_35_evaluating,dim_36_expensive,dim_37_extraverted,dim_38_extrovert,dim_39_extroverted,dim_40_family,dim_41_fascination,dim_42_female,dim_43_friendship,dim_44_functionality,dim_45_healthy_positive,dim_46_healthy_restrictive,dim_47_impractical,dim_48_inaktiv,dim_49_winner,dim_50_indulgent,dim_51_cold,dim_52_innovative_rachel,dim_53_inside,dim_54_introverted,dim_55_kind,dim_56_kompliziert,dim_57_lazy,dim_58_lifestyle,dim_59_lustig,dim_60_male,dim_61_math,dim_62_modern,dim_63_modern_2,dim_64_music,dim_65_musical_instrument,dim_66_nachhaltig,dim_67_natürlich,dim_68_neurotic,dim_69_new,dim_70_diligent,dim_71_outside,dim_72_performance,dim_73_pleasant,dim_74_bargain,dim_75_polite,dim_76_power,dim_77_practical,dim_78_protective,dim_79_sympathisch,dim_80_safety,dim_81_science,dim_82_see,dim_83_show,dim_84_small,dim_85_sustainable,dim_86_sustainable_2,dim_87_attractive,dim_88_teaching,dim_89_technical,dim_90_TheCarer,dim_91_TheCitizen,dim_92_TheCreator,dim_93_TheExplorer,dim_94_TheHero,dim_95_TheInnocent,dim_96_TheJester,dim_97_open,dim_98_traditional,dim_99_TheRuler,dim_100_TheSage,dim_101_TheWizard,dim_102_traditionell,dim_103_trendy,dim_104_trust,dim_105_trustworthy,dim_106_ugly,dim_107_unappetitlich,dim_108_unattractive,dim_109_uncool,dim_110_unkompliziert,dim_111_unnatürlich,dim_112_unpleasant,dim_113_unsustainable,dim_114_unsustainable_2,dim_115_unsympathisch,dim_116_untrustworthy,dim_117_unwirksam,dim_118_valuable,dim_119_TheLover,dim_120_warm,dim_121_weapon,dim_122_white_collar,dim_123_white_names_1998,dim_124_pleasant_2,dim_125_volkswagen
success,1.0,-0.06324632810376905,0.01567993984504794,-0.04439128497304175,-0.11570787393370338,-0.04694782984988772,0.10102858863037455,-0.10326499755291865,-0.10326499755291865,-0.11514774832330853,0.0046880580553393504,-0.011786887245717182,0.0027534367001803913,-0.032176065772988906,-0.06052742368641389,-0.11773003934564492,-0.12920716706678712,-0.07583227791072406,-0.16115353133940324,-0.06490827081937456,-0.12316515232410527,-0.04832568430505609,-0.10349764808641618,-0.09969461319855968,-0.023164616481268323,-0.0033596270612124527,0.010983314332297364,-0.05256447613861771,0.04264987338566351,-0.08433256467889626,-0.06918404420622923,-0.03499807747830429,0.040760962568440105,-0.07290214147933048,-0.11584063611926318,-0.03155294871166751,-0.12354286451525662,-0.008244407977754427,-0.08236445742568378,-0.11784233609219061,-0.12228109201344442,-0.13580331342424776,-0.0936883985895862,-0.11175155035652831,-0.14041942969849358,,-0.032742823018832044,-0.037637833740016384,-0.11654603113002189,-0.0694783797534113,-0.19913533504665934,-0.04214864123370946,-0.02953600955238922,0.04264987338566351,-0.00802355016617575,-0.07403097731663259,-0.08006513154296034,-0.056055740989855544,-0.04802063872498223,-0.13154108759694152,-0.11558473047966734,-0.11449541200174064,-0.10521493484879908,-0.0030969072217677447,-0.0030969072217677447,-0.16090400807430724,-0.06840054481594658,-0.07622758659350816,-0.011290502168701935,-0.12307062716660194,0.005513078005640112,-0.10608770145194447,0.03042329971729243,-0.15195411539608114,-0.11258089840510421,0.03838702879762682,-0.09733879234941395,0.0025106483851162565,-0.07105495473015792,-0.01948069452151387,-0.08634614512562341,,-0.12330619498204763,-0.1245651651704896,-0.12978537759658,-0.0014762412354935018,-0.0333570440722741,-0.023836986824024894,-0.06944824967894464,-0.19422083510903662,0.026275982700752376,-0.12909514067891933,-0.09171496550168932,-0.13234687889675997,-0.1398011968137742,-0.18600120835427467,-0.079541928929756,-0.17674906881188926,-0.10078729585203502,-0.028570388264886608,-0.10698663990290626,-0.1425315759031761,-0.10536614395210137,-0.003771940682111583,-0.08907460948657368,0.06352386479607998,-0.10336594300701604,-0.04480640152037871,-0.051684478132399625,-0.06072295133683874,-0.08155764242266583,-0.025516554207506002,0.01092785228295949,-0.10403435594067113,-0.039594426718940194,-0.05675910520283889,-0.029355795019600554,-0.05981960995564649,-0.08595744978658912,-0.07878515420366197,-0.16676388382001314,-0.05342975837357484,-0.026216029176410426,-0.17219400653785932,-0.07078181969064684,-0.07661467894122607,0.13273302402596723
dim_0_above,-0.06324632810376905,1.0,-0.49271337609230215,-0.332025935115517,0.4081853481013736,0.6463455597745575,-0.3254018425145838,0.25302612427049237,0.25302612427049237,0.7689890113982129,0.3618187129031359,0.4911989619612166,0.8802730122231679,0.7608201861387952,0.3005891369479404,0.7932537533979699,0.7140524054571892,0.6677125624516965,0.5551769901149247,0.8270776543643305,0.5013180567982911,0.6433637437033038,0.8335573442044799,0.3160843579935898,0.7099267666147931,0.30363971967449266,0.41082910433436803,0.7281088749355122,-0.010645803451151327,0.7686544466217027,0.535149512077028,0.47981364141212585,0.2636138080294279,0.812761462479032,0.7969771792030486,-0.4225267710442541,0.5439357273828238,0.519664618767969,0.6259776984788813,0.7293596647160437,0.6726998045133389,0.6506494391720783,0.3890190084756589,0.5740280078924994,0.48086494133326074,,0.6917169287838453,0.6963840589180688,0.7007304828333442,0.6406716509423147,0.17497446288867644,0.6196428837830777,0.5472708336220936,-0.010645803451151327,0.7600220102497168,0.7378839493813557,0.7689983409051376,0.7400590847843403,0.7613615679576923,0.6403745704571899,0.36088018187070126,0.6686274027023321,0.6128916407206438,0.49157274979655774,0.49157274979655774,0.19845565818463587,-0.02132758918443478,0.8448754961342885,0.5766982747212288,0.7059355263274681,0.4511246377895274,0.6498483400223322,0.6225868047559228,-0.23039723021205802,0.6142143873430969,-0.1725435106908686,0.673348456694286,0.6467154164602722,0.5510407589337382,0.5696296152831108,0.6064608376622194,,0.3726970346972224,0.5078816625404156,0.09674650329771832,0.7025601199515772,0.6789505192975545,0.6047195864121518,0.6340787892853728,0.6283776028676016,0.19250461401782354,0.7274860902472189,0.8095838499707634,0.5595715073576359,0.6717194691505858,0.6425944543353648,0.7511941830106103,0.7522096067191226,0.5267972114883928,0.35220606591476955,0.5984314743350725,0.5848170975614824,0.6715306283245897,0.5304453746158372,0.37962160456614435,-0.7545990949003661,0.7282721640704232,0.6580284628063832,0.7301017645118796,0.758980301686212,0.7880486346207475,0.6922429334570781,0.4108837786443051,0.7850394667447749,0.4992980512007219,0.4303569538018752,0.6172727725279678,0.8621158415563871,0.8939155721814535,0.7843555351523032,0.617226116362344,0.7154003316617942,0.45500095743673175,0.4507545818312154,-0.24874100209244804,0.61805061566755,-0.41639328746381965
dim_1_african_names,0.01567993984504794,-0.49271337609230215,1.0,0.7841651393455006,-0.4562672394767428,-0.5376422233353798,0.4132454783403189,-0.05264738737418476,-0.05264738737418476,-0.2267001911262471,-0.01559356314228306,-0.2631314876034223,-0.4970138059059729,-0.4110963874980572,-0.20083663179830277,-0.3644631834843969,-0.5438621347242816,-0.3755894916577877,-0.34878636960983406,-0.3852106598503101,-0.36939249715595757,-0.37679042446049954,-0.4163698666834285,-0.249681034881393,-0.3564215084307936,-0.34480356040990906,-0.2713117646986246,-0.3835664299631523,-0.07138496353537348,-0.4496671792892206,0.07337358595869767,-0.38314916067594684,-0.4380254749171517,-0.46577499694692925,-0.39396156457382464,0.7507746052919811,-0.39672924390101744,-0.3815522204940467,-0.5326895897381245,-0.5060635234022554,-0.44961461985900525,-0.22998862381855595,-0.17585636174306998,-0.10168486650577684,-0.21075851112003424,,-0.4050299591845734,-0.302544364270135,-0.3450379358318195,-0.5269233054154723,0.15959230241019504,-0.3704944176324846,-0.3445454164451771,-0.07138496353537348,-0.505911091956539,-0.4601973952728533,-0.4410873773959095,-0.5452991425399524,-0.5267325125688946,-0.23555558727188303,-0.16229229189377536,-0.07776300321007908,-0.3552612399222585,-0.4145688388973073,-0.4145688388973073,0.2564328091404824,0.2528610372311893,-0.5391080515673957,-0.30638357816840306,-0.3975885540144708,-0.21360216774039498,-0.5502574175079327,-0.451593867631137,0.1623132775878635,-0.30109582189088285,-0.17105012025061653,-0.36903905562533545,-0.23312918454509599,-0.5061620437965826,-0.5996634342668358,-0.44079147760632964,,-0.28146746073637147,-0.20412874100520298,0.004044362649863186,-0.4663858855952092,-0.5169397876178506,-0.4629344148448499,-0.4465416582528686,-0.39301160781994265,-0.30017149878015553,-0.4739219889140253,-0.3856672239213203,-0.24122989464860073,-0.3460858703937615,-0.27020044071370525,-0.3481441169211118,-0.3137584441846516,-0.383079382767726,-0.10899306165411399,-0.23960702526032462,-0.3314280005528,-0.22129255361950675,-0.0592066248855271,-0.194390013737515,0.5076265357826129,-0.39878704276367494,-0.29699043389947594,-0.4098842559671791,-0.4955027475105032,-0.3772200095927386,-0.47674854301206715,-0.12216407392380295,-0.14434198154319822,-0.2850414813211588,-0.4674213929701523,-0.3608256818928021,-0.45163223291308585,-0.42890929159250507,-0.5609695280907308,-0.2541475217924847,-0.4134592738683213,-0.016026470903342877,-0.24496812236888496,0.3610055345999763,-0.34882314808171994,0.47147322873163966
dim_2_african_names_2004,-0.04439128497304175,-0.332025935115517,0.7841651393455006,1.0,-0.33035256818379705,-0.45410481196101743,0.2084805797174567,0.12498920827325669,0.12498920827325669,-0.16569478609704996,-0.09248990396012338,-0.18907326528944124,-0.4409325237892011,-0.3339814633739265,-0.04847636676148992,-0.17199354956567753,-0.371348119696578,-0.39089822199965873,-0.2531559782615958,-0.40264301046104917,-0.1387642009294636,-0.32361178523061507,-0.3270500589101284,-0.0015637166083526156,-0.31615629246244953,-0.2559855325307395,-0.353823895861009,-0.40570121699978084,-0.1732966871512758,-0.31049886720151626,0.26943043150750184,-0.29680329964360647,-0.5686322224844773,-0.3618622574520094,-0.35506959996650694,0.897011666670902,-0.36704494706230795,-0.3673792411910368,-0.43379373259676146,-0.37536703488323736,-0.3456325667156809,-0.057434996121717784,0.004140996235102111,0.053428709837786366,-0.0634764909216814,,-0.3714738196176112,-0.43219071668536413,-0.24157056742213256,-0.5014346169406437,0.42824131375605856,-0.34931405257094617,-0.38112524101797846,-0.1732966871512758,-0.4531438811730402,-0.3486104026864999,-0.31507641782873363,-0.436024385059884,-0.48998133656018644,-0.07389947110658597,-0.08341274103311955,0.09362755611922972,-0.26524166536035876,-0.25081972106912903,-0.25081972106912903,0.36965644836775996,0.19210746981674026,-0.41240680470966823,-0.3693429199156857,-0.17802615499988958,-0.056705311343117,-0.3150134109731221,-0.5293394176885979,0.45471056748988503,-0.13295991854064276,-0.34675442833663195,-0.19918044297081422,-0.24228506826213017,-0.47371401118053724,-0.6046044140124432,-0.2844996590774087,,-0.17845866384269732,0.03783324182588906,0.28179879616143144,-0.5560618963776086,-0.4889514202715294,-0.4731289884470608,-0.34572814034854454,-0.2140112857387442,-0.3711771782115599,-0.2830332221163581,-0.3164574834282418,-0.09397655598469606,-0.1783263024473076,0.014152143144521921,-0.22586826388655962,-0.17717736798138745,-0.2728170607532008,-0.17152765558184555,-0.06185866365742929,-0.13882834218323717,-0.05333629589311202,-0.06405875586038495,-0.14422857257842148,0.39680157211883726,-0.2720027210787045,-0.23084110193732563,-0.38189711238295243,-0.45790279782476023,-0.40557926572160935,-0.4925730062794807,-0.3024244768595313,-0.03870513382049914,-0.1846636528160777,-0.3412885083900494,-0.3100904083173476,-0.3159856230005948,-0.3222030621084527,-0.45647999107654047,-0.054800197269710416,-0.32460603390726406,-0.17974353449674577,-0.010094068631488423,0.6356677169606144,-0.2731551464641979,0.30340735682436004
dim_3_aktiv,-0.11570787393370338,0.4081853481013736,-0.4562672394767428,-0.33035256818379705,1.0,0.8831634305935238,0.005172716079633044,0.48582446687981806,0.48582446687981806,0.4233773346334614,0.18306943018955146,0.6105162728291254,0.24164348228660693,0.6052435038515859,0.2562964686987581,0.6718970411313315,0.7080358843699542,0.5916992594481565,0.6120560232830483,0.5457953691874451,0.7018955113579319,0.6531195825818811,0.631036436683526,0.6710469227157322,0.48715960940831743,0.403760380316455,0.5809653239892137,0.5366451101400995,0.38944887646700377,0.5296822454797872,0.4530002810446567,0.623398881764859,0.4268075364979981,0.6988684742233314,0.6172222413955618,-0.29312981675848465,0.4249868562344515,0.5210077305875698,0.8489207208205084,0.7713092004921138,0.7892365197147788,0.5557686274503771,0.7036513232209224,0.40904664645661376,0.4343691685132208,,0.6379306692344906,0.25526459429738724,0.552988979482471,0.7066213002362203,0.12026388064756459,0.5302750780066704,0.6597867765732819,0.38944887646700377,0.47225571461580396,0.7156115800115385,0.7601245264382307,0.674116241158925,0.705079708825244,0.6793681692401479,0.54404569353191,0.4011118580977815,0.3574282438975951,0.6611912040220246,0.6611912040220246,0.2570861041107406,0.1704737438215838,0.6303433476068723,0.6697963415960929,0.7528161437084604,0.49373790732365924,0.7719616981688252,0.4170302400375707,0.1170036775876933,0.656100685548498,-0.20368459024640417,0.7163313231579517,0.37741835410706304,0.6919910876401294,0.49660447453705947,0.7175377298810333,,0.6950859240819883,0.4963022045233847,0.4403132596190224,0.5771706643934181,0.7362309417413934,0.7401730949290731,0.7133252992694875,0.7692202612623986,0.4751488006198461,0.7335048394039512,0.641012542136555,0.7749408344339456,0.7465276119900586,0.6941402386308454,0.7137748898480627,0.591971550647594,0.8921423208089181,0.5277438962159551,0.6055453392831625,0.7240414453583086,0.6707667431269682,0.44742140592543916,0.6098869712693595,-0.6106293002083365,0.6950689868104467,0.5291962011664129,0.642064410683332,0.6612462529042232,0.45662324174058144,0.6018956158516717,0.2355469072633155,0.32383930987036286,0.5644105293945255,0.7213276845937525,0.5585088351569021,0.44818387299428203,0.47197199575377036,0.6093839903511489,0.747413117235437,0.7505292368954977,0.04970945678530012,0.5741417692018715,-0.048978529842984724,0.6542146880956858,-0.4506770403118756
dim_4_alive,-0.04694782984988772,0.6463455597745575,-0.5376422233353798,-0.45410481196101743,0.8831634305935238,1.0,-0.062084378035942044,0.40381482332975027,0.40381482332975027,0.5550899566723335,0.28620908349901963,0.6340859295216322,0.5429423377693963,0.8124712291685129,0.25502945050297093,0.7630498397742203,0.7633599561606822,0.689867980703162,0.5700373309024962,0.7429643148856313,0.6651468853523675,0.7549065991274899,0.7850505766358699,0.5897019603275168,0.6534079218193244,0.5010283211733608,0.7107473715716909,0.7611182046201836,0.4554968868735665,0.6776767076988456,0.5254224272635093,0.6169068292772292,0.6090928641553482,0.8657685291531135,0.7743138049293937,-0.4814422970884465,0.5536384009135594,0.6553636565753784,0.8977011075740058,0.796889144312492,0.791331672219135,0.5401631558913804,0.6377215965462525,0.38634099472339234,0.3656721239811275,,0.8313925266078914,0.5597598443693811,0.6078063507853175,0.7696829646173801,0.007291024654197592,0.6852594731837426,0.7986485900665129,0.4554968868735665,0.7484973404653078,0.769339683919074,0.8508892164863122,0.8185546981402072,0.8432508721725662,0.7055985880918118,0.4535048226311292,0.43678090493708177,0.4945863947925882,0.7520480843487972,0.7520480843487972,0.2721358020809574,0.1501638392197611,0.8332278844562608,0.8066962640014504,0.7605857934108526,0.5955415278510596,0.7295269908471982,0.6982381726289852,-0.06578059690301016,0.6345458390731767,-0.18083781462964943,0.7232780100736897,0.6774651962342921,0.759097863886009,0.6741893710651188,0.6896187462651012,,0.7243448427879674,0.5087460504311845,0.3243775463431562,0.818433229253704,0.8993816966104549,0.8918748339998271,0.7769812144048709,0.7513360736487178,0.6032944080411152,0.7438395230455516,0.8078661707089138,0.8077378846309214,0.7831343322225772,0.6726097390945553,0.8062436616697699,0.6480066804013194,0.8536981265610847,0.6398217035161157,0.7020063341192457,0.7224633460103389,0.7624971140066565,0.531123327785078,0.6340947591649025,-0.7166211768160771,0.7724067663153155,0.6025939690309946,0.7547785254727224,0.7964018985979803,0.709506093269337,0.7722940459080615,0.49871837264305124,0.4907515953563701,0.6934138382118022,0.7711685481385715,0.6069610304423861,0.6317259997464112,0.6892206764196481,0.7654523708014639,0.7209464847345992,0.8701606056666725,0.29232121367000974,0.4453091045275706,-0.31519981089451254,0.6819282953949609,-0.40636662945568974
dim_5_altmodisch,0.10102858863037455,-0.3254018425145838,0.4132454783403189,0.2084805797174567,0.005172716079633044,-0.062084378035942044,1.0,0.46491170854412683,0.46491170854412683,-0.08209544389322618,0.2464151518640523,0.3547027392936908,-0.22998803034632886,0.028863552437844688,-0.20755448387045483,-0.20524888484799372,-0.35449875322926666,0.17856031354027968,-0.06185092553852847,-0.00989212978088713,-0.16354261658967453,0.0547740475016369,-0.10581443316945063,0.2098821874261082,0.14073673554835303,0.15902668349797183,0.4115469694297733,-0.144393614899855,0.20955427698582255,-0.3441482744591243,0.17414999933665187,0.23998440371782961,-0.014806295433287152,-0.13244502383078227,-0.019769850223562625,0.33639841148533955,-0.0996834239771975,0.1331797775623446,0.045521020113077494,-0.10815255243877137,-0.022910314739986955,-0.06986224225282506,0.3650124784796042,0.010905928603074693,0.057656289535633364,,0.005519070850433713,-0.10879673577463803,-0.058084852450281214,-0.1408231193575279,-0.1638901180535104,0.20719661762253605,0.16428083196790114,0.20955427698582255,-0.1833504791424341,0.03061466353842729,-0.030369112300412917,-0.09037789997698745,-0.05176084649461642,0.07138034312046672,0.3270935007573792,-0.04743325802737422,-0.26946175419005036,0.14978088419446337,0.14978088419446337,0.3671329048842051,0.5532730939182581,-0.3026560605266575,0.23082965906657363,-0.0761412359433691,0.11837701985672433,-0.18482564076303976,-0.10056493394379161,0.09542117588161587,0.030010146998582933,-0.14508476890173477,0.011758567680853838,-0.21103845399567395,-0.019409529219538136,-0.17989747405290799,0.03409110534967678,,0.01550220308993745,0.116378444116628,0.3182502969825508,0.003906527299289609,-0.07146301635844046,0.05782575914183291,0.19572776234661485,-0.116644200599302,0.07612080245807873,-0.17737889121071634,-0.1281220081398495,0.17608741714249015,0.06877196052936235,-0.1673406048544904,0.0787466711598004,-0.06320953967420771,0.180170957589364,0.5626372022129529,-0.14392069229389462,-0.043876783504448624,0.07844458923428274,0.42737738822805854,0.42081731737795475,0.03775544589393975,-0.08362765604646799,0.2150094381181883,0.10121694936799051,-0.040586722020100933,-0.12113040714152398,0.07881838683190157,0.12380494748110579,-0.121634775813127,-0.21846599701468897,-0.08032844623193747,0.15686535315527692,-0.15591135425632152,-0.30935434697666325,-0.1706885726480986,-0.03370342837510815,0.1156362837333621,0.1187633448244406,-0.10818016832538829,0.13655702328214045,0.11875660606937499,0.13723026447659892
dim_6_arts,-0.10326499755291865,0.25302612427049237,-0.05264738737418476,0.12498920827325669,0.48582446687981806,0.40381482332975027,0.46491170854412683,1.0,1.0,0.3486547908628062,0.36908027312321784,0.6542447695483264,0.09892981578803896,0.4721443037851912,-0.021345117797796073,0.43453532866982775,0.304531285202448,0.4790344568200622,0.5348504401242019,0.35386656078855044,0.5059303669827747,0.38080269589116617,0.41772031225109035,0.822579792643004,0.4807396447085846,0.35604175246470937,0.3970203030288194,0.16323102351840318,0.009672029248569197,0.1859899512966177,0.58657529558454,0.5724570383100441,-0.10662510745630596,0.34852158930628396,0.40166655829975506,0.26889365664835063,0.1709839771447476,0.33148003130806813,0.5301196159949232,0.42785821604958946,0.47021692110367985,0.5949154172550235,0.8159913845619079,0.5887903082760958,0.542186691661575,,0.39597249626286585,0.027420158867241914,0.39918492655626653,0.13621933696965063,0.3389436477158741,0.46540309743056973,0.2981115749877496,0.009672029248569197,0.15876446968340804,0.5373977076723653,0.5039264694715426,0.3703023241946243,0.3000163069099524,0.67881936942557,0.6810013999111165,0.5497221989502077,0.19343072826789817,0.519748113104044,0.519748113104044,0.6272503862205167,0.43370472078670497,0.24359791675135956,0.47375931992100995,0.5565899700958504,0.3840558215423522,0.45728323183274816,0.051090067061469284,0.4247810508283135,0.6545624719190357,-0.2731642813743792,0.5653012717784542,0.04878511647731792,0.24034056445214905,0.017049116651691527,0.5581812023085242,,0.4066341294940476,0.6970975898770293,0.8047459767834635,0.2324832124458885,0.3141726333249927,0.35273175136240026,0.6134486925575582,0.5805944133757813,0.026185162061366056,0.49615539916225443,0.3117815589671448,0.6795079204495651,0.6292978244446102,0.5466288866871943,0.6221280385234588,0.5412387285397232,0.6080702927088002,0.5982699815467142,0.3245292255954862,0.5259216955395932,0.6278468698757752,0.6478046874303577,0.65764331766171,-0.524176213720683,0.39404612842263453,0.6042672269219506,0.45932308111455855,0.3146685425049994,0.15641614685212316,0.3222376851234323,0.03504060830579065,0.4132779114279538,0.1712733851535559,0.34846680370896754,0.48800726234566527,0.37458670260058974,0.19113823274297714,0.3819521872938824,0.6047095331321184,0.5921255234692506,0.0819857757604145,0.4189342207859586,0.32445939984628086,0.5897613728869214,-0.3935632889612976
dim_7_arts_2,-0.10326499755291865,0.25302612427049237,-0.05264738737418476,0.12498920827325669,0.48582446687981806,0.40381482332975027,0.46491170854412683,1.0,1.0,0.3486547908628062,0.36908027312321784,0.6542447695483264,0.09892981578803896,0.4721443037851912,-0.021345117797796073,0.43453532866982775,0.304531285202448,0.4790344568200622,0.5348504401242019,0.35386656078855044,0.5059303669827747,0.38080269589116617,0.41772031225109035,0.822579792643004,0.4807396447085846,0.35604175246470937,0.3970203030288194,0.16323102351840318,0.009672029248569197,0.1859899512966177,0.58657529558454,0.5724570383100441,-0.10662510745630596,0.34852158930628396,0.40166655829975506,0.26889365664835063,0.1709839771447476,0.33148003130806813,0.5301196159949232,0.42785821604958946,0.47021692110367985,0.5949154172550235,0.8159913845619079,0.5887903082760958,0.542186691661575,,0.39597249626286585,0.027420158867241914,0.39918492655626653,0.13621933696965063,0.3389436477158741,0.46540309743056973,0.2981115749877496,0.009672029248569197,0.15876446968340804,0.5373977076723653,0.5039264694715426,0.3703023241946243,0.3000163069099524,0.67881936942557,0.6810013999111165,0.5497221989502077,0.19343072826789817,0.519748113104044,0.519748113104044,0.6272503862205167,0.43370472078670497,0.24359791675135956,0.47375931992100995,0.5565899700958504,0.3840558215423522,0.45728323183274816,0.051090067061469284,0.4247810508283135,0.6545624719190357,-0.2731642813743792,0.5653012717784542,0.04878511647731792,0.24034056445214905,0.017049116651691527,0.5581812023085242,,0.4066341294940476,0.6970975898770293,0.8047459767834635,0.2324832124458885,0.3141726333249927,0.35273175136240026,0.6134486925575582,0.5805944133757813,0.026185162061366056,0.49615539916225443,0.3117815589671448,0.6795079204495651,0.6292978244446102,0.5466288866871943,0.6221280385234588,0.5412387285397232,0.6080702927088002,0.5982699815467142,0.3245292255954862,0.5259216955395932,0.6278468698757752,0.6478046874303577,0.65764331766171,-0.524176213720683,0.39404612842263453,0.6042672269219506,0.45932308111455855,0.3146685425049994,0.15641614685212316,0.3222376851234323,0.03504060830579065,0.4132779114279538,0.1712733851535559,0.34846680370896754,0.48800726234566527,0.37458670260058974,0.19113823274297714,0.3819521872938824,0.6047095331321184,0.5921255234692506,0.0819857757604145,0.4189342207859586,0.32445939984628086,0.5897613728869214,-0.3935632889612976
dim_8_bad,-0.11514774832330853,0.7689890113982129,-0.2267001911262471,-0.16569478609704996,0.4233773346334614,0.5550899566723335,-0.08209544389322618,0.3486547908628062,0.3486547908628062,1.0,0.5121837675796354,0.6553959260908879,0.6530294129373029,0.6834692869107503,0.22433226842341403,0.8420254659270119,0.636515418791326,0.8202938820426642,0.6885423248342871,0.8730577564649272,0.40811121734942757,0.7773962364755534,0.9087054958635981,0.2979563840858409,0.7144931479788975,0.14032277164373222,0.4300273064034435,0.6826030376812746,-0.07789375217858141,0.64249661201911,0.6490096811411632,0.6300018257199845,0.12152618571962687,0.7961532426089337,0.8801704410386477,-0.22449506920128706,0.41484233083545646,0.4247565273976032,0.6254728647616294,0.7890942064240185,0.7812014261875329,0.7659633517489123,0.49406458511597046,0.7437158251144174,0.635948395339742,,0.640953323894148,0.689299604534537,0.8183186186564563,0.680398420804161,0.18256750488432164,0.6367195876850438,0.6218567298109877,-0.07789375217858141,0.5172322562051719,0.7885932203093984,0.7978902924157308,0.6631440011167477,0.7885490018310961,0.719525439082774,0.6201354022513674,0.7510651811664152,0.3802036261044096,0.4261835805062676,0.4261835805062676,0.3168442566843185,0.10905060842879093,0.7434445458896911,0.6442914417246911,0.7366740214545919,0.4385137607169756,0.694379217095732,0.419529783388793,-0.18509852603313542,0.7694042752900038,-0.2716827365865251,0.7789630467989622,0.48875023202453616,0.5701266340105879,0.4436444056752619,0.7437605491268413,,0.3777936829574268,0.5796454651146584,0.1509677828260702,0.6358865570057959,0.6091841325213481,0.5544829256406238,0.6906522241891375,0.6834003425248053,0.08711479055868981,0.737308678586645,0.7788234739293729,0.5824510728615785,0.7121242009500659,0.6524715366625,0.816408268890905,0.8860284696320485,0.6178034829156375,0.36928740215025807,0.4873352136714658,0.6033327405860414,0.675951745935139,0.6527544971477143,0.49760261969566344,-0.682555687807696,0.7766345087451548,0.8339435313837795,0.8073414551641862,0.7422600473180773,0.7693201994049966,0.7379991340227335,0.3595427941186827,0.8928286310167175,0.3794854686554663,0.35884592879634303,0.7740745269437438,0.8015855315824756,0.8458404552540976,0.7107661386872192,0.7082936961388382,0.7481211507015522,0.4283186537181196,0.5477233139532394,-0.06803293969813765,0.7631810970281288,-0.4734697866827416
