,success,dim_0_above,dim_1_african_names,dim_2_african_names_2004,dim_3_aktiv,dim_4_alive,dim_5_altmodisch,dim_6_arts,dim_7_arts_2,dim_8_bad,dim_9_basic,dim_10_beautiful,dim_11_below,dim_12_big,dim_13_blue_collar,dim_14_blunt,dim_15_career,dim_16_cheap,dim_17_children,dim_18_closed,dim_19_community,dim_20_cool,dim_21_cruel,dim_22_culture,dim_23_dead,dim_24_descriptive,dim_25_design,dim_26_destructive,dim_27_innovative,dim_28_responsible,dim_29_TheRebel,dim_30_appetitlich,dim_31_electric,dim_32_emotionally_stable,dim_33_ernst,dim_34_european_names,dim_35_evaluating,dim_36_expensive,dim_37_extraverted,dim_38_extrovert,dim_39_extroverted,dim_40_family,dim_41_fascination,dim_42_female,dim_43_friendship,dim_44_functionality,dim_45_healthy_positive,dim_46_healthy_restrictive,dim_47_impractical,dim_48_inaktiv,dim_49_winner,dim_50_indulgent,dim_51_cold,dim_52_innovative_rachel,dim_53_inside,dim_54_introverted,dim_55_kind,dim_56_kompliziert,dim_57_lazy,dim_58_lifestyle,dim_59_lustig,dim_60_male,dim_61_math,dim_62_modern,dim_63_modern_2,dim_64_music,dim_65_musical_instrument,dim_66_nachhaltig,dim_67_natürlich,dim_68_neurotic,dim_69_new,dim_70_diligent,dim_71_outside,dim_72_performance,dim_73_pleasant,dim_74_bargain,dim_75_polite,dim_76_power,dim_77_practical,dim_78_protective,dim_79_sympathisch,dim_80_safety,dim_81_science,dim_82_see,dim_83_show,dim_84_small,dim_85_sustainable,dim_86_sustainable_2,dim_87_attractive,dim_88_teaching,dim_89_technical,dim_90_TheCarer,dim_91_TheCitizen,dim_92_TheCreator,dim_93_TheExplorer,dim_94_TheHero,dim_95_TheInnocent,dim_96_TheJester,dim_97_open,dim_98_traditional,dim_99_TheRuler,dim_100_TheSage,dim_101_TheWizard,dim_102_traditionell,dim_103_trendy,dim_104_trust,dim_105_trustworthy,dim_106_ugly,dim_107_unappetitlich,dim_108_unattractive,dim_109_uncool,dim_110_unkompliziert,dim_111_unnatürlich,dim_112_unpleasant,dim_113_unsustainable,dim_114_unsustainable_2,dim_115_unsympathisch,dim_116_untrustworthy,dim_117_unwirksam,dim_118_valuable,dim_119_TheLover,dim_120_warm,dim_121_weapon,dim_122_white_collar,dim_123_white_names_1998,dim_124_pleasant_2,dim_125_volkswagen
success,1.0,0.043475114610275645,-0.04067618817437549,-0.04235952667949282,0.030185124645882196,0.07167499394191026,-0.007302575004062916,-0.021184663086873293,-0.021184663086873293,-0.03185847480014853,-0.008113544605744318,-0.0012015629948671695,0.05663316788673579,0.06114562686107237,0.0138939650252364,0.01203969132087756,0.006814857575207001,-0.00994331095887248,-0.03771294214450434,0.01948934971007987,-0.011175768242466357,0.038940978202321216,0.014885695500133392,0.015244224150948936,0.01003146196735302,0.07386908506427392,0.08055140371041078,0.049945972385579254,0.107336967504713,0.009162495160176663,0.03387375595866899,-0.01465941560303141,0.08893308646737562,0.0699694949688094,0.025664885558597514,-0.07917845098309684,0.046907244133102516,0.09937635503114271,0.03592278450857489,-0.00025679829361868907,-0.0013726913767482343,-0.05457349781752904,-0.008756293171317807,-0.06581800477578317,-0.06229466826120334,,0.0828044536524087,0.06006517320745072,-0.040021194654487426,0.004206289331995614,-0.01417712768786176,0.06669293369024346,0.07101246947917002,0.107336967504713,0.09330348134157372,0.013573276798170763,0.053439755681155596,0.06118766382781902,0.03860154073473148,0.00877179545242533,-0.07082193142378748,-0.041148626644234514,0.06117885431152497,0.05336588817507497,0.05336588817507497,0.04393970815038725,0.003428797725899821,0.05892946478166206,0.06438353131563607,-0.002688462927352705,0.045990665195729,-0.02265425461491434,0.10749884654422197,-0.026378395456111696,-0.033075487627713396,-0.016986341132094705,-0.021819365812714965,0.12256870935280896,0.028981505710136996,0.07514213425609824,-0.03169407962869187,,0.058562794145426596,-0.007017117921718581,-0.018364460624444405,0.07218155228876269,0.07774324013382829,0.08364979560433172,0.015770658068218493,0.014287440481391836,0.12259609317608122,-0.01980781240779066,0.05282341537521153,0.05028370865353136,0.04030621042507831,0.018023775680180185,0.021410234259984354,-0.029245967702118365,0.026139065526774412,0.09089145630143919,0.05154097570192712,0.014756284548383692,0.04887006347544,0.007880183408827715,0.03386575821326393,0.009648258997609287,0.014352119744713428,-0.027465746639577345,0.00841955036008682,0.030698773415028108,0.07274415132562882,0.05692464441231557,0.08753973995054455,-0.009758116507230585,0.07516507874465535,0.0635832913927935,-0.018791810030617643,0.026033457205474474,0.032154666708084256,0.03733817201443673,-0.015084930246163435,0.04887528369051225,0.10620202201204051,-0.0619799451566933,-0.08085014206193782,-0.013786380913072492,0.07719180600073233
dim_0_above,0.043475114610275645,1.0,-0.47075359676818673,-0.4379578416613601,0.29454469554364904,0.5500149591771447,-0.3487834952191067,0.17931138719820736,0.17931138719820736,0.7586010433041461,0.3467553598295851,0.4517774324552455,0.8618597366183052,0.7253066159722189,0.32592449117717054,0.7299853846633783,0.6886275664733973,0.6958680404514184,0.5251311366021018,0.82753258117162,0.43856429470683705,0.5789764001091501,0.8170006499184556,0.21895151311504668,0.7169689041668715,0.16307505678820625,0.38771026357506394,0.7224069506264822,-0.07503939101320438,0.7393759818899551,0.39226349110729913,0.44389933420195105,0.25457719814898855,0.7429552922513926,0.7658488988206971,-0.4344065998885803,0.4881138284637287,0.5107965434036744,0.6025145060602293,0.7045111906005823,0.6481014507463023,0.5905066794822859,0.27453497997916393,0.5209657545118914,0.39773441364674333,,0.6537033282867822,0.7026169811649112,0.6803939842872813,0.6457945201081896,0.08655761659218034,0.5817435922949541,0.5218577809827283,-0.07503939101320438,0.7322518859632711,0.7139025370735553,0.712273384009589,0.7049164110805475,0.7369438964145384,0.5545272687220633,0.30402358515556843,0.6042864515769716,0.5556885209890968,0.43377055698920447,0.43377055698920447,0.047515646620147574,-0.1355140695207649,0.789405239213672,0.5547130214230102,0.6479614656839351,0.32844749213914726,0.5714518625665482,0.6130927445386432,-0.352491762052464,0.5456356162022955,-0.1720571262902508,0.6479503973128882,0.5648053201324342,0.5235694388315458,0.5958613255830615,0.5676841325277514,,0.3371022731855928,0.47242086728637944,-0.049280530693195226,0.6917039706510595,0.6464815480454024,0.5718521486356198,0.6130717900111713,0.5765666630002343,0.13250045084958334,0.7005968258530044,0.7460035139309337,0.48607087177495134,0.5488599206856069,0.5684268935031742,0.6968285200244597,0.6842524418713368,0.4709458522816209,0.2529923311239834,0.5125302534013955,0.5265504857581644,0.5917640377648781,0.4895583762693864,0.3048900398234449,-0.7160776686146915,0.6894122831901968,0.6620075022008612,0.7301749283501343,0.7494198451075395,0.7453589544323947,0.6860559888382616,0.44508445225573784,0.7362478385041192,0.43313462318192136,0.4228288299235662,0.6224942774211509,0.8038106757116311,0.8443665469248097,0.7680292023100603,0.5519843782253279,0.6779212930586312,0.3617471106506637,0.47741650065576063,-0.2460348927741769,0.5613159990809672,-0.5075236688490299
dim_1_african_names,-0.04067618817437549,-0.47075359676818673,1.0,0.7709787971279126,-0.3692939132670016,-0.4713614296511681,0.491302573815243,0.03435835844946223,0.03435835844946223,-0.18290027837415065,-0.08034321309120813,-0.25058088345981916,-0.45636188014598567,-0.3344800318647118,-0.27349401050848904,-0.32149546453481187,-0.4949239710958991,-0.3017030010844106,-0.26583600252459255,-0.32529821835696326,-0.2794680266984585,-0.36801518062979266,-0.3675886108997505,-0.15853439021845914,-0.2886327422639699,-0.23160162300270468,-0.22726118044880125,-0.35890554172796457,-0.043890221996547026,-0.41118034661821373,0.14810135382841685,-0.34300728158862165,-0.40786725261350154,-0.4217341789379855,-0.3197725338910706,0.6378279106419855,-0.31056378761319275,-0.36764834347001746,-0.4566593045337155,-0.4334283822808005,-0.3792561107522309,-0.17691306619157138,-0.052259789995083336,-0.06632088769141668,-0.15081215014424346,,-0.3883754527597853,-0.28681350202844136,-0.2481779786290078,-0.48401080073416203,0.09360293998024116,-0.35618234458204484,-0.25965195000133817,-0.043890221996547026,-0.46279163499573495,-0.38016220263928674,-0.3981346590906252,-0.45836859767252086,-0.49483021412810874,-0.18331542419624067,-0.05948515934355747,-0.04709413397129281,-0.3604473737902489,-0.335979587268293,-0.335979587268293,0.3387849691892202,0.24911548285693672,-0.5044800516376878,-0.27859746143422515,-0.344859154880411,-0.11427265606827992,-0.46441030809725503,-0.39561604051180965,0.2072077478861301,-0.25171480217405523,-0.14434687674102104,-0.27338336512771316,-0.22671473963094724,-0.42900946784537464,-0.5433939337959638,-0.36174896158863146,,-0.22610270656265896,-0.16228337870430848,0.0828651255295619,-0.41616813950626186,-0.45744720908140774,-0.4126701659188378,-0.38431499427064997,-0.2895958589799743,-0.24570233757788587,-0.4023829914052842,-0.29698715682603516,-0.1485299500270842,-0.25268899941289785,-0.24723953014954933,-0.2975260579495026,-0.24044768970904146,-0.29716071146613704,-0.01145956575294302,-0.19895715914683737,-0.23206983288746588,-0.1519836643247354,0.04750275390852073,-0.11706795359366598,0.5255286890610472,-0.32381830875170053,-0.21980898926250592,-0.3372646509213597,-0.41465492562440787,-0.3466815557082242,-0.4200046517722219,-0.14061002913367165,-0.1367838524395177,-0.2543554925903957,-0.3644246035086717,-0.2830587871134468,-0.3791415279712969,-0.39870368536058737,-0.4793342745970165,-0.2053362611558172,-0.3400939376954796,0.030557101292763802,-0.24236314346270568,0.21143473059658216,-0.3257029937028827,0.44371621567128056
dim_2_african_names_2004,-0.04235952667949282,-0.4379578416613601,0.7709787971279126,1.0,-0.2577466688514176,-0.43642787356726703,0.3738428899669908,0.25502046084760277,0.25502046084760277,-0.22979848657229493,-0.09648851487214329,-0.12242324174383942,-0.48913490016974864,-0.30752136719030987,-0.2661598508934233,-0.2272418136949707,-0.43407684944974284,-0.3530752925151085,-0.21799838453797393,-0.4448167804652579,-0.11072442034407032,-0.361577679619245,-0.3657030322418145,0.04060376843559973,-0.35359194436190583,-0.18902518882669206,-0.29891423143902834,-0.46163033503919804,-0.1982320970876279,-0.3418681138416758,0.2446985483238533,-0.21166781353231748,-0.5522508491432881,-0.44661765282306026,-0.38682768046680405,0.8741103413913265,-0.41234228613889273,-0.4018938814648812,-0.4207938301541989,-0.3771486585211852,-0.33190438580227466,-0.06744796928293331,0.14028406098791613,0.05198986704980345,0.0575644913078319,,-0.43900873055372114,-0.47689257282896963,-0.2619726282298307,-0.5198451586087434,0.34313643621548934,-0.32795935405168014,-0.3916324647947478,-0.1982320970876279,-0.5309435023363513,-0.3206181517724769,-0.38975249275291424,-0.4529305447909755,-0.535961057382024,-0.1165704410635668,0.06004401298812441,0.04158919734374657,-0.361879724792904,-0.3013504033313574,-0.3013504033313574,0.3964921159612795,0.3035454834419809,-0.5240772415485806,-0.37670589135763044,-0.19597926308372723,-0.10093065012308768,-0.2635445990336271,-0.5419188336621735,0.481779036230704,-0.10858031555454872,-0.18028214759156436,-0.206758418623042,-0.33520454753778256,-0.4695507351401406,-0.6285443845862871,-0.21504569057862774,,-0.2306595425033442,0.05657444867684824,0.3606694304174388,-0.5846409605555878,-0.5243664583046515,-0.4841286457238204,-0.2861266134808659,-0.27894335427571343,-0.4002730155517442,-0.27748459576461415,-0.36588504096589475,-0.08506373042072361,-0.16251939408381164,-0.07165877073045424,-0.2601075383310475,-0.15362442205990595,-0.2273399138386217,-0.12309829545023239,-0.1525943578149742,-0.16112420184608836,-0.10445195586307654,-0.03746940795479147,-0.10284828630655558,0.4310574092546706,-0.3002599341355229,-0.19854539122657697,-0.3680950955988477,-0.46261107132817186,-0.4877481773012953,-0.4977992773215357,-0.35370112788812685,-0.1465797455253437,-0.29687023552162684,-0.3070860786313122,-0.26022417459846353,-0.3401714109762106,-0.42177343425893005,-0.4457451523689941,-0.05057487674274542,-0.3157241664903734,-0.14312181675626656,-0.07483616879200994,0.5269999267956645,-0.263000601529878,0.24088506752530697
dim_3_aktiv,0.030185124645882196,0.29454469554364904,-0.3692939132670016,-0.2577466688514176,1.0,0.8712083127632639,0.007908802805074425,0.4582533058862282,0.4582533058862282,0.33426998186749635,0.2255206568470301,0.6017701069956412,0.11661359925081545,0.5428379093078819,0.20063353187742594,0.6280878317240163,0.6415364065430739,0.5183613713281379,0.5563214973194005,0.41755917268697024,0.636861607777142,0.6331531274799288,0.541757013065723,0.6723899094881977,0.3636751843713588,0.31675306336171116,0.5512976426838759,0.4424530880422708,0.39462681087720314,0.45471574442962004,0.42032485961892313,0.6296999074233223,0.35531434417371344,0.6467470165629541,0.5088938934055199,-0.13994736770002245,0.2866448685320866,0.4808778775502372,0.7987399577662279,0.7037813541564117,0.7353406316208073,0.49440393857499926,0.6779223229835996,0.3755649801233542,0.4009635569863398,,0.5855090376740206,0.16984493094486078,0.4296878196962013,0.649743698245958,0.24532767749687567,0.4934541317145814,0.5656910077129634,0.39462681087720314,0.354308198192081,0.6546812013813983,0.7179103395117449,0.559827042912798,0.6322058505655085,0.6435509520304519,0.5104685711302386,0.36898773183414857,0.37109731639349836,0.6501178498572446,0.6501178498572446,0.25965596867862795,0.19396846666620876,0.5485908227780266,0.632406017979761,0.6991667137416553,0.4674554156222967,0.7200401355296414,0.30457079288180156,0.15501362728510226,0.636638958158653,-0.16311120619702996,0.643651815977131,0.34592270673290776,0.616301656044885,0.34851227391842104,0.6705822979381869,,0.6706915188853001,0.45593172861222075,0.4210732599143037,0.48976650522834086,0.6596032786919404,0.6805569084951278,0.6840864052336341,0.6956870270026763,0.40253122559272464,0.6650951068839919,0.5334491431875853,0.7356610611612292,0.7134542884846853,0.7289492829275136,0.6777533957886995,0.5316366320167768,0.8779799376489231,0.4801221840724074,0.5594088057053936,0.6413952131492644,0.6347555010579762,0.370308764087913,0.5684407297091688,-0.570407371294246,0.6156368589759547,0.44663544671923366,0.554908929718764,0.5652925856786358,0.3691052530063194,0.514953656419824,0.18166106817072233,0.25803124218411727,0.5730241221518608,0.6068719722454674,0.4801437225931715,0.32007437682383505,0.37579873728872293,0.5522374746860732,0.7214197714207425,0.7121831068105247,-0.05316649180027287,0.49054724266551425,0.05957656526057038,0.6230978164852863,-0.42159347816783366
dim_4_alive,0.07167499394191026,0.5500149591771447,-0.4713614296511681,-0.43642787356726703,0.8712083127632639,1.0,-0.0821015692547834,0.335895506673755,0.335895506673755,0.5069248713716759,0.3272121076933589,0.6197147982734796,0.42062624523358283,0.7571474215654106,0.24432534129894232,0.7363245789764836,0.7291303418508867,0.6422225897166981,0.5426769495110983,0.6626088961195616,0.610901251043994,0.7692653122421523,0.7375245625451947,0.5835855449469709,0.5632910779535153,0.36630906740378244,0.6922378018705003,0.6922596078286045,0.4287247841517188,0.5976637059971702,0.46342062457193434,0.6145472278876652,0.5814366828521417,0.8403099151393844,0.7063247229059033,-0.3847594305067078,0.4196561733272361,0.6421023256199014,0.8888835463373427,0.7657110657350653,0.7744832469464185,0.4881466860408262,0.5627976405793842,0.35389778868282296,0.3024964950542229,,0.8156405111246666,0.5089461274258437,0.5058937601045361,0.7530334381077599,0.05612464465884451,0.6541183162899848,0.7457081756758177,0.4287247841517188,0.6734063751446818,0.728663917990201,0.8453481189686695,0.7290035468516558,0.8143937165425904,0.6937317756761356,0.3942700748471154,0.39607468330376444,0.47510125101173933,0.751445041106076,0.751445041106076,0.24389652751634422,0.11183666057217218,0.78145986709778,0.8040994759092969,0.7041410749898152,0.5551782516751568,0.6777467837085439,0.628040057372317,-0.0751600121039474,0.6256762462269896,-0.19809947468893668,0.6721230904693095,0.6612906883553875,0.6910199651082217,0.5917907874701203,0.6567084425319648,,0.7123993962355675,0.4486402123944011,0.2475225916296643,0.7592084796541784,0.864109149783193,0.8693498916056847,0.7465434785142357,0.7200058510203875,0.5454317326307048,0.7005725857704709,0.7329924474172532,0.7741822029858024,0.7476211141272421,0.7023290021123624,0.790336000049372,0.5927442084247629,0.839478897962689,0.5766142958776012,0.6583679427222421,0.6526028664498918,0.7253926905860115,0.4673433491673153,0.5944819851490025,-0.6628772799617138,0.7114644194970049,0.5371094157410944,0.684567206434357,0.7240166979857856,0.6437435572391544,0.7288619910003795,0.4646083172621683,0.4460488279653832,0.704548217985954,0.7166480937958598,0.5538205926937237,0.535769741868294,0.6131940500505851,0.7110455436815736,0.6956812172047805,0.854775532962555,0.17848744317855006,0.39835183360655,-0.21105846634739267,0.6706981895414372,-0.4338946975825697
dim_5_altmodisch,-0.007302575004062916,-0.3487834952191067,0.491302573815243,0.3738428899669908,0.007908802805074425,-0.0821015692547834,1.0,0.41165629553790534,0.41165629553790534,-0.17329166020265502,0.14181943288227788,0.2448552262875907,-0.2569393522453197,-0.0196322338747594,-0.239167106498199,-0.2011144389435736,-0.3940468663894523,0.05213172488524905,-0.1534996526252437,-0.11523575783830838,-0.1560571193562374,-0.002804489612330502,-0.1950033073670599,0.27361042833914695,0.026634048609788845,0.21724837407947797,0.3369130052434592,-0.2643884795443484,0.23042714604643405,-0.3506907880001225,0.21593324277067952,0.1682918759482631,-0.08252189150647493,-0.15507353400494306,-0.10993952999264266,0.407857092994304,-0.13005969900515774,0.07078154755007549,-0.018503471742987703,-0.1872606125006475,-0.10417692935358305,-0.1482236160280278,0.347200540698925,-0.07501698770790181,-0.009404270288740982,,-0.07816725513735,-0.25104712869647383,-0.12496979503920397,-0.2226476926457014,0.014392814557280247,0.12133132224174395,0.09838048921070103,0.23042714604643405,-0.22440345827573704,-0.03722332383004887,-0.04638276044876711,-0.15318856288734767,-0.13912300814068268,0.04189036785728666,0.23112447428748858,-0.09957427278019731,-0.3027667730371062,0.14694453447348557,0.14694453447348557,0.47013201089565393,0.48227646591979706,-0.33201710172524357,0.11200438914769653,-0.10502422502011617,0.1568371652755052,-0.1897651887247921,-0.17857724479438644,0.25914824035972583,-0.028634881708326686,-0.1806262871755816,-0.030362778738403786,-0.21575890616529853,-0.07504808693487482,-0.29666366044511566,-0.02174723006227317,,-0.009682607392058186,0.09180652827180268,0.3750240980383681,-0.10625917225187799,-0.13752873823526104,-0.01689794823259797,0.12530736431012918,-0.13391701900373623,0.045223514460401765,-0.22542528430033756,-0.16147066690921738,0.17107170779401693,0.06431321445013717,-0.08253021075321507,0.02368256501741687,-0.11096573121349082,0.13795346362294203,0.5552087369397203,-0.11850721148454596,-0.07649495529766683,0.07402549320976186,0.3397167030747405,0.3776605520548776,0.16540524434895826,-0.1246450678022187,0.06999219882778562,-0.024122826076939736,-0.13334094014661285,-0.1834445335504031,-0.03181986809375808,-0.018614459047196212,-0.17266725413665374,-0.14413676454027588,-0.10213071966587803,0.02738006803903729,-0.20077014824137304,-0.35637293152606786,-0.23183157376871352,-0.05694519557171573,0.055944031764428255,0.03045807330665572,-0.1882610744945014,0.16946728218205348,0.028500310413669707,0.23721923600945602
dim_6_arts,-0.021184663086873293,0.17931138719820736,0.03435835844946223,0.25502046084760277,0.4582533058862282,0.335895506673755,0.41165629553790534,1.0,1.0,0.26211121563416545,0.38568569003816566,0.6075852587152868,0.0012070103717181286,0.3640184916423579,-0.08540388234780422,0.3993049626343772,0.23495649948227276,0.37221033780342533,0.5226401587123874,0.21343992342408494,0.4791262586914044,0.32183881913475054,0.34449156632828537,0.7981130029858503,0.3238290112427379,0.22230881712544368,0.2759854888890105,0.04344375832116481,-0.12430812339267884,0.13474815048917432,0.5155193556783452,0.5647888571315238,-0.21638916537394928,0.2347291677044872,0.28151153327509515,0.4525681941408287,-0.015510891960934657,0.19117844404139422,0.45684624746997887,0.38485403143857255,0.4322960848711804,0.5819131658079223,0.7925637980475033,0.5982179189707233,0.5977503472742083,,0.26731396388822815,-0.09485380256128675,0.2894852312072179,0.11999233909125201,0.540628306372721,0.3866923307998573,0.11161149750117301,-0.12430812339267884,0.00263442006344681,0.49397136841958034,0.4108265409249846,0.20866167386813056,0.21196451687214182,0.6258627807429555,0.6858437690487662,0.5497101538671744,0.17793335463651622,0.37263550229295583,0.37263550229295583,0.661403260875167,0.5028173028171546,0.12455008525590353,0.3408661524243649,0.5173644824233875,0.23858578211572723,0.4412484196636745,-0.1066815763958804,0.5209305983022728,0.6649567244260506,-0.20139382575865275,0.48324232392750366,-0.047207298956145984,0.08744113787425441,-0.15867435357472523,0.552223435280761,,0.3222934385625637,0.6879498153290422,0.81926022006603,0.05799007884700531,0.1694144138513355,0.21007724368282402,0.545930210319545,0.47966896356176647,-0.16486775321538796,0.4793333897677363,0.1710280774994039,0.5966501254268805,0.5621065529950142,0.5722042014301156,0.5582873156441105,0.5352406668724566,0.5430883691955584,0.4396175870626998,0.2523890451585931,0.430638022132133,0.5399889962252898,0.4998457127863025,0.5606502521957283,-0.4814911426766666,0.27802190731040355,0.5220686194248149,0.35809230043109413,0.20892670503471977,0.02602433960644289,0.1683333625806191,-0.10193829757597891,0.3467256037628179,0.06635865244332569,0.21590178496666418,0.40164915613697794,0.27237956242402284,0.08971340301394543,0.29071887327996143,0.619386421259869,0.4958339134689885,-0.04666244108787003,0.4015473185487336,0.41953001050344485,0.5576685848232591,-0.4297600069607404
dim_7_arts_2,-0.021184663086873293,0.17931138719820736,0.03435835844946223,0.25502046084760277,0.4582533058862282,0.335895506673755,0.41165629553790534,1.0,1.0,0.26211121563416545,0.38568569003816566,0.6075852587152868,0.0012070103717181286,0.3640184916423579,-0.08540388234780422,0.3993049626343772,0.23495649948227276,0.37221033780342533,0.5226401587123874,0.21343992342408494,0.4791262586914044,0.32183881913475054,0.34449156632828537,0.7981130029858503,0.3238290112427379,0.22230881712544368,0.2759854888890105,0.04344375832116481,-0.12430812339267884,0.13474815048917432,0.5155193556783452,0.5647888571315238,-0.21638916537394928,0.2347291677044872,0.28151153327509515,0.4525681941408287,-0.015510891960934657,0.19117844404139422,0.45684624746997887,0.38485403143857255,0.4322960848711804,0.5819131658079223,0.7925637980475033,0.5982179189707233,0.5977503472742083,,0.26731396388822815,-0.09485380256128675,0.2894852312072179,0.11999233909125201,0.540628306372721,0.3866923307998573,0.11161149750117301,-0.12430812339267884,0.00263442006344681,0.49397136841958034,0.4108265409249846,0.20866167386813056,0.21196451687214182,0.6258627807429555,0.6858437690487662,0.5497101538671744,0.17793335463651622,0.37263550229295583,0.37263550229295583,0.661403260875167,0.5028173028171546,0.12455008525590353,0.3408661524243649,0.5173644824233875,0.23858578211572723,0.4412484196636745,-0.1066815763958804,0.5209305983022728,0.6649567244260506,-0.20139382575865275,0.48324232392750366,-0.047207298956145984,0.08744113787425441,-0.15867435357472523,0.552223435280761,,0.3222934385625637,0.6879498153290422,0.81926022006603,0.05799007884700531,0.1694144138513355,0.21007724368282402,0.545930210319545,0.47966896356176647,-0.16486775321538796,0.4793333897677363,0.1710280774994039,0.5966501254268805,0.5621065529950142,0.5722042014301156,0.5582873156441105,0.5352406668724566,0.5430883691955584,0.4396175870626998,0.2523890451585931,0.430638022132133,0.5399889962252898,0.4998457127863025,0.5606502521957283,-0.4814911426766666,0.27802190731040355,0.5220686194248149,0.35809230043109413,0.20892670503471977,0.02602433960644289,0.1683333625806191,-0.10193829757597891,0.3467256037628179,0.06635865244332569,0.21590178496666418,0.40164915613697794,0.27237956242402284,0.08971340301394543,0.29071887327996143,0.619386421259869,0.4958339134689885,-0.04666244108787003,0.4015473185487336,0.41953001050344485,0.5576685848232591,-0.4297600069607404
dim_8_bad,-0.03185847480014853,0.7586010433041461,-0.18290027837415065,-0.22979848657229493,0.33426998186749635,0.5069248713716759,-0.17329166020265502,0.26211121563416545,0.26211121563416545,1.0,0.4523369042545077,0.5762160784373989,0.636257799237664,0.7013770688727129,0.3424382538372784,0.8344944362260509,0.6562190907138005,0.836477896635441,0.6378181416364219,0.873433573128129,0.3727845494924343,0.698094101467773,0.9066129359555862,0.21781767524729864,0.7365946518097602,0.024820915359999477,0.39228936968834055,0.7426047161013194,-0.13477457526441552,0.6746277719624478,0.5788825273092509,0.563863082542839,0.10296546624136749,0.783585215258154,0.8799315617241948,-0.22402893570341703,0.38047503725237963,0.4417030633229603,0.5980546787867035,0.7729755403208872,0.753353821603659,0.7137539285773439,0.39421379695892794,0.6873900087173745,0.5266277075292463,,0.6254207681166063,0.7094318474818428,0.8265334028133312,0.69790315338499,0.1625347467279363,0.5960085840418096,0.5862267114946111,-0.13477457526441552,0.5254983474020491,0.7504183099758439,0.7463747460943223,0.6688695414101425,0.7686617381399423,0.6398360196557674,0.5478061887744149,0.7211371764454015,0.4254975322840205,0.42962403737314486,0.42962403737314486,0.19412969292638643,-0.018379207428901652,0.7781294825386647,0.5913927119191598,0.7166345475208324,0.3773861946595171,0.6648418176075545,0.44011623030704383,-0.2701403995807492,0.694135166395282,-0.23523932155038801,0.7869596725411677,0.4738635905966268,0.5493927898723185,0.48858898325299194,0.7051738790084567,,0.3644834578122727,0.5373725714583985,0.04512265451983596,0.6492256467618864,0.6078971531951541,0.5363186996827498,0.6651661985766598,0.6510457448656408,0.0651276924911897,0.7405184089427901,0.7575341804968724,0.5471047866306957,0.6032798333669281,0.6403658982278554,0.787441721898869,0.8581998262314349,0.552016659575555,0.2731666060297574,0.47270279783909985,0.5706638110363264,0.6414444970135363,0.633550713841946,0.42620932729946603,-0.6768537361564538,0.7748142450842944,0.8536208251358187,0.8287698900278042,0.7632107140026332,0.7821788773850673,0.7190752622586449,0.45041536351887435,0.9123323500576117,0.3598579459135216,0.3587034056837201,0.7838493396562269,0.7869873245784172,0.862037190362709,0.7462561593452707,0.67927910843997,0.731006411369294,0.35705606651114924,0.556282226506643,-0.10307797750696254,0.6784816686307632,-0.47042796924686436
