,success,dim_0_above,dim_1_african_names,dim_2_african_names_2004,dim_3_aktiv,dim_4_alive,dim_5_altmodisch,dim_6_arts,dim_7_arts_2,dim_8_bad,dim_9_basic,dim_10_beautiful,dim_11_below,dim_12_big,dim_13_blue_collar,dim_14_blunt,dim_15_career,dim_16_cheap,dim_17_children,dim_18_closed,dim_19_community,dim_20_cool,dim_21_cruel,dim_22_culture,dim_23_dead,dim_24_descriptive,dim_25_design,dim_26_destructive,dim_27_innovative,dim_28_responsible,dim_29_TheRebel,dim_30_appetitlich,dim_31_electric,dim_32_emotionally_stable,dim_33_ernst,dim_34_european_names,dim_35_evaluating,dim_36_expensive,dim_37_extraverted,dim_38_extrovert,dim_39_extroverted,dim_40_family,dim_41_fascination,dim_42_female,dim_43_friendship,dim_44_functionality,dim_45_healthy_positive,dim_46_healthy_restrictive,dim_47_impractical,dim_48_inaktiv,dim_49_winner,dim_50_indulgent,dim_51_cold,dim_52_innovative_rachel,dim_53_inside,dim_54_introverted,dim_55_kind,dim_56_kompliziert,dim_57_lazy,dim_58_lifestyle,dim_59_lustig,dim_60_male,dim_61_math,dim_62_modern,dim_63_modern_2,dim_64_music,dim_65_musical_instrument,dim_66_nachhaltig,dim_67_natürlich,dim_68_neurotic,dim_69_new,dim_70_diligent,dim_71_outside,dim_72_performance,dim_73_pleasant,dim_74_bargain,dim_75_polite,dim_76_power,dim_77_practical,dim_78_protective,dim_79_sympathisch,dim_80_safety,dim_81_science,dim_82_see,dim_83_show,dim_84_small,dim_85_sustainable,dim_86_sustainable_2,dim_87_attractive,dim_88_teaching,dim_89_technical,dim_90_TheCarer,dim_91_TheCitizen,dim_92_TheCreator,dim_93_TheExplorer,dim_94_TheHero,dim_95_TheInnocent,dim_96_TheJester,dim_97_open,dim_98_traditional,dim_99_TheRuler,dim_100_TheSage,dim_101_TheWizard,dim_102_traditionell,dim_103_trendy,dim_104_trust,dim_105_trustworthy,dim_106_ugly,dim_107_unappetitlich,dim_108_unattractive,dim_109_uncool,dim_110_unkompliziert,dim_111_unnatürlich,dim_112_unpleasant,dim_113_unsustainable,dim_114_unsustainable_2,dim_115_unsympathisch,dim_116_untrustworthy,dim_117_unwirksam,dim_118_valuable,dim_119_TheLover,dim_120_warm,dim_121_weapon,dim_122_white_collar,dim_123_white_names_1998,dim_124_pleasant_2,dim_125_volkswagen
success,1.0,0.03552980090137482,-0.024358687349423216,-0.01258542016234645,-0.00963598865032989,0.034948303371498575,0.03905257297066067,0.014407296918346626,0.014407296918346626,-0.00255303004874238,0.029268133734680554,0.019126739666757642,0.05323280066341994,0.03613977710181375,-0.04915441943791085,0.00564439385054931,-0.0014713279103905545,0.016926271116918704,-0.00530505331700607,0.04811741308312319,0.0055711591354749,0.005265525955955923,0.0332329849594596,-0.011301377259469168,0.04547058303675433,0.052090218047270306,0.049132289782553705,0.04892481754329168,0.012990601401494807,0.029000224343822982,0.01698692332166814,-0.00357177209043179,0.04845335367851226,0.012144850280364985,0.03297435521085506,-0.0034408914070722845,0.04245839000658233,0.0005638733076829908,0.02314333735855608,0.016605577339141784,0.006495747476807719,0.001972901979549166,0.010880924026595077,0.00044520891453813234,0.007726750719275035,,0.05098661286249134,0.054981252067787735,0.015593608132508392,0.035553166505485644,-0.05749203600908294,0.03041369879475698,0.02894255598320548,0.012990601401494807,0.0406350518216176,0.03827671871552661,0.019803979751986434,0.02301357600600438,0.02908472511871915,0.016140452798596536,0.020700762853227434,-0.00581157354415203,0.0397387997913617,0.01433778011031961,0.01433778011031961,0.007654426626497575,0.02331965512205969,0.019222585294792406,0.03801615071275019,0.013029841958722515,-0.022210981042874896,-0.008385421886220266,0.0439974906453913,-0.04391163592840746,0.00019399542392195578,-0.0497196138040146,0.01895130439615477,0.041349956547266,0.012437117151054826,0.041422757433124464,-0.005504968582884912,,-0.0053196433926820195,0.01388063175067299,-0.015641905627321623,0.058443099811834785,0.029594015982120497,0.03466717204132516,0.0249103657033242,-0.016057450691939704,0.010717760574089694,-0.00022517094889667674,0.027841583270008904,0.009642475940813602,0.0021587439385517076,-0.02506701423002688,0.029338824034549058,0.0062153719169457545,0.012896861357051738,0.0623227610648872,0.013462609699025145,-0.0011378933823596373,-0.0041908386339492105,0.06154292930492533,0.02295112924886742,-0.011633420767163782,0.013267349470944791,0.02241533418867759,0.023507128507732667,0.037659897443754545,0.04010471845158159,0.04171435124956551,0.08198471959326499,0.005117483676918669,-0.012700621457677704,0.03493420360784218,0.018638802831720095,0.0598408663235816,0.023044604290877596,0.011215601082175293,-0.0075962040048299624,0.03295080027425219,0.019049751827226905,-0.02717318470124143,-0.042185707697830116,0.0017519407258600995,-0.031202852756237673
dim_0_above,0.03552980090137482,1.0,-0.3803976289100349,-0.2851068499785724,0.213419668700313,0.447767395560316,-0.3553820739286351,0.1745293975678446,0.1745293975678446,0.738145984980089,0.2941005083914645,0.3789998113454718,0.843825494913215,0.6673529148469756,0.1668348362460417,0.699603180835017,0.6399576091003987,0.6144499576533818,0.5285039898664341,0.7923759454888873,0.4400080154917024,0.4612203861468847,0.768228049364944,0.1728274487715826,0.6735084621396149,0.17439500836675345,0.2022221975654473,0.6526375926452144,-0.20529758282184254,0.7239133204701432,0.453041440836022,0.3591632507895494,0.06307814745524452,0.6484401107404181,0.7203140651436659,-0.3493352877267549,0.4440422928217915,0.3552894036377628,0.48423084913947084,0.6499571517092552,0.5638793849511597,0.5976887141743946,0.23621102653378725,0.522605444699335,0.44452960142562514,,0.5577783053107945,0.6523658409175875,0.6766352498032495,0.5620260400879414,0.09329304742631263,0.513699607703411,0.3599482447293775,-0.20529758282184254,0.6558928588646641,0.6796979536937167,0.6358473476136606,0.6362033926540049,0.6321773223261381,0.5503649116242882,0.3326415146529879,0.5951139334792022,0.5104995505256615,0.29468113980873895,0.29468113980873895,0.08959458971527583,-0.17480376171092063,0.7279000685790535,0.4394815643678612,0.6075474391925019,0.18398218303512542,0.549457242651241,0.4952117422210772,-0.25503969735189047,0.5398944916936838,-0.20702884682212008,0.60687738039038,0.47990358550129114,0.4157954788393865,0.49061965790964185,0.5165655096215533,,0.17282327165469505,0.4426086950666048,-0.013617389461600682,0.5778857279251197,0.5158576687714788,0.4133339202330458,0.5371071361725804,0.5272988643754375,-0.06329150225367368,0.6750915573907851,0.7075304388241118,0.43642982432274674,0.5523771709749404,0.5235168411359771,0.6613036309277208,0.7123675920368167,0.370560624564302,0.20158428262403474,0.4841861918896889,0.48833239858081695,0.5477433213667433,0.49290504025198223,0.2472140569842098,-0.6568221308967442,0.637333217554089,0.6332907880236973,0.6825512781211864,0.6906975490036742,0.6749774711778025,0.559518708832257,0.35943385285629176,0.7325393338828332,0.2835804751511782,0.3252685785220079,0.5720299790067787,0.8000511001975592,0.825595995183513,0.7281342446821573,0.5373280947412915,0.59459048227795,0.35797124190845575,0.4445270505252997,-0.255197436280487,0.48678869697780225,-0.4703111228618078
dim_1_african_names,-0.024358687349423216,-0.3803976289100349,1.0,0.7985234380591508,-0.3200858354940019,-0.39542533029033244,0.42601393591597897,0.08472308155630563,0.08472308155630563,-0.0685026080838884,0.012321773983503637,-0.18109667606410146,-0.40592600960153663,-0.26743909421656864,-0.16268600898012867,-0.19593158694331533,-0.432686128570896,-0.26174632493975214,-0.20743214323207798,-0.26337071704206455,-0.21783901552359097,-0.2649840347612572,-0.2719121124252428,-0.11225988753441686,-0.2537871735431271,-0.27050316324833334,-0.15134484235198425,-0.26930444886951044,-0.017161196772130235,-0.3575670062837464,0.21384577777093014,-0.3354494047079713,-0.28743545703588974,-0.32646762995236256,-0.24731183454554279,0.6915277626787184,-0.35335328904022173,-0.3153551544826303,-0.39636083623641377,-0.36477672646807174,-0.2865022384251713,-0.08095536570815705,-0.02839114281910566,0.041160458761117395,-0.10358128320014076,,-0.29748834865765217,-0.21082138185525903,-0.23452764425298855,-0.40957284490167534,0.14200648702350985,-0.3282320988233016,-0.18138590213863495,-0.017161196772130235,-0.37828810782904243,-0.316242729584073,-0.30296320854278636,-0.4224574593268025,-0.41003310970820656,-0.0840653533741999,-0.05106497043849831,0.06539447628940442,-0.300649367891125,-0.3123116348989045,-0.3123116348989045,0.35109734305713897,0.32798593371140367,-0.4414779244075056,-0.19693583869390302,-0.25658193535649493,-0.02177831217177361,-0.44042243517448293,-0.3111737265173717,0.16967766464473039,-0.16272452476494717,-0.2437040895869079,-0.20777140623717663,-0.09342262204917681,-0.39354258956970034,-0.48877662836195057,-0.3103250187187901,,-0.12921540937228682,-0.10398295340421758,0.08863193754224925,-0.34696558604657973,-0.38623870635285484,-0.32455039194098995,-0.3718474132017549,-0.23228342897697182,-0.16793880449249438,-0.3152303465018842,-0.22357797180934216,-0.08483360130433769,-0.2197220581319685,-0.15046127827721864,-0.21209709772712726,-0.19188388417957977,-0.23071604356477016,-0.027423903376835156,-0.12789630573098487,-0.20785412249868734,-0.06635782919344334,0.08700225391600705,-0.14928569338587017,0.4448903192652301,-0.2742640210743047,-0.17747519914046872,-0.29892738625306087,-0.387285072441893,-0.2618371857134642,-0.364939131868664,-0.09478229057779382,-0.010108930279260605,-0.10777339030990363,-0.28210406083861644,-0.25371619671571605,-0.3134760525677236,-0.3074463472288262,-0.47029280241801497,-0.11111001802176215,-0.26886073135829713,0.12537816131276588,-0.1751896120821164,0.37037433833367034,-0.22879974014749369,0.42519588945830755
dim_2_african_names_2004,-0.01258542016234645,-0.2851068499785724,0.7985234380591508,1.0,-0.28344471682030575,-0.39918230629033863,0.2772667148735899,0.2922324799695171,0.2922324799695171,-0.0796306456154332,0.005725682177476368,-0.09597259742879172,-0.3987564533840757,-0.23501019731632838,-0.12242608859608503,-0.07903311588954431,-0.3450706124974834,-0.3063222548754943,-0.12652386085544592,-0.3371497504693421,-0.05979631060840887,-0.28295156542787475,-0.2440651902545449,0.09772047523697994,-0.25226248408844154,-0.24118856291453264,-0.27711505657468394,-0.34003409665908807,-0.1785987165658948,-0.28557713131070467,0.29950335298130454,-0.24244746097911904,-0.4815971259661844,-0.3152890134427711,-0.26995524955628203,0.8874658719075159,-0.37380905546142895,-0.3345888571286136,-0.34883514822091055,-0.2991815536321908,-0.24435335660518745,0.06804288681097116,0.09616138670512343,0.1952868860016275,0.056797305837846555,,-0.30384849737893466,-0.3507852958038177,-0.20805776498846854,-0.4714863498114228,0.40745957447295383,-0.28528242830290956,-0.31495598162756533,-0.1785987165658948,-0.3924670715815943,-0.25067719031369334,-0.2596193805591224,-0.38766596584372287,-0.45347111097309745,-0.0028439803814044257,0.04140504307058661,0.2120886256303513,-0.23051829442947133,-0.24850814661920542,-0.24850814661920542,0.4119102894139101,0.3140847727647344,-0.4066328473332749,-0.29290773184903623,-0.09456431947921409,-0.04724756542426299,-0.24509346710631416,-0.422652357775974,0.4306692284440423,-0.018056307836287075,-0.29823628969597105,-0.09415983047749919,-0.18685095870373578,-0.46263294883977024,-0.5448988857258295,-0.17500419112160154,,-0.14695627796239907,0.10843154490804462,0.3501777451206776,-0.49755859334203906,-0.43824891387791426,-0.40399476973566595,-0.29688411343623405,-0.16019126545763296,-0.3163347611449959,-0.17248839433949745,-0.26180418351052964,-0.03754308945769324,-0.14433945768937206,0.061114294827745656,-0.15055890791553017,-0.0876035835895341,-0.2113015123737245,-0.10829326214625402,-0.0487571639736006,-0.12166642059893622,-0.00036552459424295854,0.06658136295413779,-0.11720150430977397,0.3225341616831785,-0.22938359633509472,-0.1384315843868779,-0.3122631487641851,-0.41524701139769127,-0.36120524714930535,-0.44997369119963276,-0.27942093289019576,0.04240142245460499,-0.14253390803668478,-0.2711339489422231,-0.19837594219646526,-0.23960347943086371,-0.27091897849212254,-0.38877503559144083,0.031226354631700492,-0.23691446395256055,-0.03716019907182866,-0.0063545002823108205,0.6153976978449056,-0.1734880901099236,0.2766862365576342
dim_3_aktiv,-0.00963598865032989,0.213419668700313,-0.3200858354940019,-0.28344471682030575,1.0,0.868505582525488,0.0372056346775373,0.3513839476246036,0.3513839476246036,0.2732769429334598,0.10348681149904188,0.5412208413784521,0.06749419325505117,0.525594756605498,0.18315245659810853,0.5623618959972194,0.5995395968754781,0.4992864687227159,0.45559261958130304,0.39754947928494483,0.5680058766621943,0.6124703816510508,0.515817243974197,0.6030328138832652,0.31376952264016783,0.3602276474137404,0.5424200507269356,0.44802726016323036,0.44917854403271057,0.41163564558979787,0.36678508004875016,0.5731158399314781,0.3822873732736882,0.6502957274322733,0.49945376224578136,-0.21841763910471115,0.3364421074370527,0.4864274807169648,0.790145626421955,0.6777253096256226,0.7133177494560377,0.3450619842260189,0.640183933809826,0.20235115163684594,0.24157013888757692,,0.5592766844587312,0.17304807496297775,0.4069395589848349,0.6242189692400201,0.06158370417641803,0.4510455426166597,0.5968147926988184,0.44917854403271057,0.3618606825391269,0.5874734221748381,0.7037933041841301,0.5727312074944068,0.6269937891527922,0.5752669424606568,0.4452001082090519,0.2025205300132707,0.29540009327007466,0.6457878969082681,0.6457878969082681,0.2337631761719078,0.12872163244703844,0.5615187557126687,0.6183296437725516,0.6472576320138668,0.4339826063515483,0.6583456943425744,0.343873919639965,0.13082729740936924,0.5382926001070191,-0.1328650035339256,0.5976604883944214,0.3481450693559596,0.6229278175054963,0.39791954351778624,0.617226719289033,,0.6526184518896703,0.34498213133559047,0.3346083214846665,0.5221089591578254,0.6760352660528121,0.6861099680653441,0.6608837351693038,0.6617364927145073,0.45808465903782547,0.5758800144893117,0.5364679063683914,0.723944754362021,0.686751281436162,0.6288350767354872,0.6232310676315191,0.43733065392499576,0.8620982329549957,0.5257701823488,0.5334413922999478,0.612101077940725,0.6071362860897189,0.30802003526674426,0.5827379819003482,-0.5093513676617277,0.5990050286145384,0.38278332526460906,0.5439838894414049,0.564052893067635,0.3856041772566356,0.5129844567077403,0.22089733884704493,0.17166120440262536,0.5734463710956008,0.6414267903492703,0.4591558986991487,0.2621851755458836,0.3372379336504707,0.49847752710087956,0.6448483307281266,0.69598321564511,-0.0732597406700613,0.41995124130074035,-0.05942753484355067,0.5577380333512003,-0.3076609311918721
dim_4_alive,0.034948303371498575,0.447767395560316,-0.39542533029033244,-0.39918230629033863,0.868505582525488,1.0,-0.014208741616332258,0.254915491886039,0.254915491886039,0.4447013805262816,0.22190124757660806,0.5766071818993873,0.36863371316819027,0.7267851352286515,0.16711867313037423,0.6538003979367015,0.6585458018137349,0.610839326865486,0.43531856486093945,0.6238433829966629,0.5225676234776901,0.7491799096178381,0.6999588024964442,0.5030049537369069,0.4886201535037289,0.4191213508095342,0.6710107661008641,0.6730526182462502,0.4482725331506207,0.5396955409475055,0.42915821642141366,0.5672461274439511,0.5820582012041963,0.8193537729844167,0.6828161293662819,-0.410972130338553,0.4114951569241794,0.5941123191963669,0.855043001504989,0.7175407858274984,0.7261467019933636,0.3356795539628165,0.554321098160982,0.18570197878214606,0.17581908890061865,,0.7727315381224318,0.5058232744892703,0.4728550242430724,0.722637709893968,-0.13688756813059705,0.6100155929335694,0.746092193219705,0.4482725331506207,0.6474381653314225,0.643352188787809,0.8030064237689281,0.7105353821558308,0.7963380419217719,0.6256845766844734,0.3705017375959718,0.22109737639401755,0.35120899667731065,0.7111208103168104,0.7111208103168104,0.24880029078069307,0.07995183941746467,0.77155444973911,0.7745822738704311,0.6387692845992584,0.4916995635414529,0.5968698816457019,0.6293919520184731,-0.05391470592542575,0.5334362122162686,-0.19101996796956638,0.6035678858306283,0.6520501776066339,0.687747793065445,0.5995274944537671,0.599478479396214,,0.6686666310427567,0.36456680722889184,0.20996460414573362,0.7664703024666673,0.8450808452926513,0.8414610730875824,0.7240363714212043,0.6509625512006396,0.5462507174299988,0.5796971559257208,0.7112401227713028,0.7603410220050649,0.7159787359182603,0.5668834109334041,0.7346363593905928,0.5080092305243377,0.824261295255639,0.6172609811356424,0.5962886086424102,0.6106094850653253,0.6858504946440158,0.3939088914672796,0.6084725309044412,-0.5779239927787423,0.6730068065823748,0.4751596652414067,0.6660724424919087,0.7050947625706276,0.6587306311723357,0.7079248622594626,0.49226209104328333,0.34959730040068393,0.6655213889737254,0.7184178408992448,0.5065811117142666,0.4643856122985246,0.5558381608997732,0.6388124918833716,0.614044837040105,0.8309258966749072,0.15762498354982277,0.3033967183885349,-0.3322126294674466,0.6051833721465216,-0.3403711039212869
dim_5_altmodisch,0.03905257297066067,-0.3553820739286351,0.42601393591597897,0.2772667148735899,0.0372056346775373,-0.014208741616332258,1.0,0.3865609044759988,0.3865609044759988,-0.1377992137021164,0.18783969942994305,0.31919525267892446,-0.23849363813032637,-0.009016582803244978,-0.15625979215205296,-0.21347171901435844,-0.40861219796043063,0.10794371746730606,-0.14224082015705106,-0.06663290459334259,-0.21769466969911286,0.10235553958569654,-0.1432726110437902,0.25527119999548703,0.031498457633877125,0.16814211019879302,0.4281327053895989,-0.2126333271267442,0.2703304082539498,-0.4138073689278564,0.14955033297735534,0.1922335019217687,0.08461157093161706,-0.09846820530881377,-0.052429632729220306,0.3451729409620477,-0.18473572561339816,0.14411873932960279,0.0584034737277467,-0.15275164488717385,-0.040581743293721995,-0.15788054932466292,0.3429947149029759,-0.07211744854199649,-0.044366230142187636,,-0.019232860807346784,-0.1688377921122534,-0.1500130512453427,-0.14518360930671528,-0.1686106008558684,0.14060113635164082,0.1979948624343496,0.2703304082539498,-0.15861959026226402,-0.02146797218100632,-0.012031165171587949,-0.13868806564142996,-0.04930436798717112,0.08013528915442275,0.22863458855783286,-0.12306865190548832,-0.3355078756930873,0.18823868541708397,0.18823868541708397,0.36294007008313567,0.46834137442624235,-0.3087755641293022,0.20574219134295052,-0.11438299953084116,0.20909125453189575,-0.24026881737713718,-0.058372472468244944,0.15227921377474116,-0.02211475564188762,-0.2380894677243334,-0.0394952207581933,-0.14570874713497486,-0.047566619582185804,-0.2110492590686878,-0.012021800339287092,,0.05698219988231615,0.050271748237290005,0.2848249329694351,-0.03131909856769435,-0.06887016253525231,0.0669874359595693,0.14210191147182993,-0.14511347344572106,0.1529395650985921,-0.2676856166700816,-0.16799703120272022,0.14766685962037948,0.043787690101035136,-0.1711814828034484,0.04869102628476108,-0.17015137670321617,0.19816081911395794,0.5712029023481731,-0.18577565240374214,-0.1216371627435119,0.06349957016331695,0.3539713582049891,0.39052025515107935,0.11161308931486359,-0.148447884366876,0.1164387084685159,0.008140285377497966,-0.12014899124253896,-0.10499823073503893,0.0546636178812542,0.04501642315575556,-0.1634737579153931,-0.09107862445262363,-0.05309224142377899,0.06356028432268697,-0.17647886219755227,-0.3490374922992953,-0.2800584272443298,-0.10838841950219591,0.11054564704292649,0.042338694081969636,-0.1938406528757817,0.16310334198235812,0.12750526691241587,0.20340470181761133
dim_6_arts,0.014407296918346626,0.1745293975678446,0.08472308155630563,0.2922324799695171,0.3513839476246036,0.254915491886039,0.3865609044759988,1.0,1.0,0.26936041255909404,0.34131988890016834,0.571578770726436,-0.012217344846350581,0.34408781147841394,-0.11718345270272319,0.3699488603561901,0.1826462804795485,0.33799936305953576,0.5073092590143331,0.21059249366847843,0.42649409562411034,0.2680262781012482,0.3373053462600204,0.7929288745563449,0.29616279810252344,0.24326125113689742,0.1829664345501868,0.01547108559912735,-0.16751226454653134,0.08021390429433561,0.4962460825990121,0.4785629505577716,-0.27707986493807607,0.20139851384541382,0.29597051106385347,0.4453774549119375,0.00962251665314114,0.12541319710050636,0.44372765791837543,0.34510782261994855,0.3856689324843202,0.5558469551781248,0.7299260475944906,0.5715352437647335,0.5313366419899487,,0.25336652504448737,-0.07913074112612621,0.27373885904620743,0.016825031097529992,0.4215398401355906,0.354833866622193,0.0781742169684742,-0.16751226454653134,0.019133824390566097,0.4550525602407386,0.3852361575218139,0.1977236131300159,0.14816185754000502,0.60799926415822,0.6755611845019369,0.5263128059512752,0.13652753766905187,0.31457583870090317,0.31457583870090317,0.6398939536555357,0.437697895887593,0.09979331855817504,0.28968131417677684,0.5024414689758152,0.1193665653366458,0.35942874583391415,-0.09691153529803616,0.5475288297553433,0.6274638975686049,-0.25489076222271473,0.48274895748362756,-0.060533970638296665,0.02342470077437113,-0.14303841145259438,0.5093234235798706,,0.23767783182966104,0.6768080107392446,0.8129236457879672,0.017797362667325668,0.10635604917843962,0.13142311815501562,0.496216233443782,0.4640018724759649,-0.1781478390671499,0.42407920390441967,0.15118663770425395,0.5595512413807432,0.5007116932936554,0.5188672682275192,0.52367640257206,0.4985489695073044,0.4715143771551271,0.4433222206377975,0.20646246039892643,0.3880735128180637,0.49726160514535067,0.5290179686037734,0.5207610408389853,-0.46801896198195203,0.2406189470601431,0.5108424201398111,0.31704307726848524,0.1417756128175534,0.02807929937338077,0.11202578741391364,-0.11825281443262678,0.3532201607564012,0.01331881554204623,0.18845992092824274,0.41669071642529254,0.3057813935321328,0.07877476020295977,0.25659148081658173,0.5541021846738646,0.47228619674510536,-0.06241394295261892,0.3546717901977957,0.42036948180800615,0.517634397677326,-0.36472720997325475
dim_7_arts_2,0.014407296918346626,0.1745293975678446,0.08472308155630563,0.2922324799695171,0.3513839476246036,0.254915491886039,0.3865609044759988,1.0,1.0,0.26936041255909404,0.34131988890016834,0.571578770726436,-0.012217344846350581,0.34408781147841394,-0.11718345270272319,0.3699488603561901,0.1826462804795485,0.33799936305953576,0.5073092590143331,0.21059249366847843,0.42649409562411034,0.2680262781012482,0.3373053462600204,0.7929288745563449,0.29616279810252344,0.24326125113689742,0.1829664345501868,0.01547108559912735,-0.16751226454653134,0.08021390429433561,0.4962460825990121,0.4785629505577716,-0.27707986493807607,0.20139851384541382,0.29597051106385347,0.4453774549119375,0.00962251665314114,0.12541319710050636,0.44372765791837543,0.34510782261994855,0.3856689324843202,0.5558469551781248,0.7299260475944906,0.5715352437647335,0.5313366419899487,,0.25336652504448737,-0.07913074112612621,0.27373885904620743,0.016825031097529992,0.4215398401355906,0.354833866622193,0.0781742169684742,-0.16751226454653134,0.019133824390566097,0.4550525602407386,0.3852361575218139,0.1977236131300159,0.14816185754000502,0.60799926415822,0.6755611845019369,0.5263128059512752,0.13652753766905187,0.31457583870090317,0.31457583870090317,0.6398939536555357,0.437697895887593,0.09979331855817504,0.28968131417677684,0.5024414689758152,0.1193665653366458,0.35942874583391415,-0.09691153529803616,0.5475288297553433,0.6274638975686049,-0.25489076222271473,0.48274895748362756,-0.060533970638296665,0.02342470077437113,-0.14303841145259438,0.5093234235798706,,0.23767783182966104,0.6768080107392446,0.8129236457879672,0.017797362667325668,0.10635604917843962,0.13142311815501562,0.496216233443782,0.4640018724759649,-0.1781478390671499,0.42407920390441967,0.15118663770425395,0.5595512413807432,0.5007116932936554,0.5188672682275192,0.52367640257206,0.4985489695073044,0.4715143771551271,0.4433222206377975,0.20646246039892643,0.3880735128180637,0.49726160514535067,0.5290179686037734,0.5207610408389853,-0.46801896198195203,0.2406189470601431,0.5108424201398111,0.31704307726848524,0.1417756128175534,0.02807929937338077,0.11202578741391364,-0.11825281443262678,0.3532201607564012,0.01331881554204623,0.18845992092824274,0.41669071642529254,0.3057813935321328,0.07877476020295977,0.25659148081658173,0.5541021846738646,0.47228619674510536,-0.06241394295261892,0.3546717901977957,0.42036948180800615,0.517634397677326,-0.36472720997325475
dim_8_bad,-0.00255303004874238,0.738145984980089,-0.0685026080838884,-0.0796306456154332,0.2732769429334598,0.4447013805262816,-0.1377992137021164,0.26936041255909404,0.26936041255909404,1.0,0.4196382812528135,0.5371157179848659,0.5972128125724268,0.6827355827801745,0.2053214365652007,0.8121764840556829,0.6171369768287422,0.7944433473139779,0.6469175121016845,0.8583991850181107,0.3841451294114803,0.6423999319322453,0.8985285976164201,0.19628428141748508,0.7023697449073465,0.052350112258557575,0.28481278077380245,0.7178945745371933,-0.19241339830802864,0.647753192870666,0.6493995928454681,0.5025516043754471,0.03155036696491534,0.7400072212047163,0.865957127548182,-0.15629385529085696,0.34863333099123606,0.3345255507276743,0.527602705733787,0.7380900157001997,0.7118743197490862,0.7090155376731245,0.3787593616013989,0.6614323285039222,0.5384191246964806,,0.5924082993666336,0.6930049471720562,0.7980465541581404,0.6374266402760758,0.08736338596671818,0.5512668655229049,0.4918492745729001,-0.19241339830802864,0.4953155026813432,0.7352786539421661,0.7298111924699747,0.6231874004090641,0.7143684947592248,0.6586474714562891,0.5589166480008365,0.6938360845968828,0.32737749333167865,0.3202854094941649,0.3202854094941649,0.26478399456630486,0.006985049233162901,0.7330373785973966,0.5527809246138878,0.6962511928002969,0.2585072153759732,0.6130054561571189,0.38272817125532377,-0.19875243464581843,0.7006167212057218,-0.31045641192617535,0.7619717957021584,0.46263446655405527,0.4802059383956706,0.4056325866061421,0.6737893739255189,,0.2846107531442557,0.5026838602982717,0.0731424335768027,0.5933981090076871,0.5441501953753369,0.4524830599567484,0.6167551364217589,0.638265037598759,-0.02788805209290408,0.7110159483600673,0.7610500100941153,0.552471596509579,0.6401503661190062,0.5818949793659759,0.7875936486294993,0.8586485023912037,0.5018594359016605,0.28746332163438976,0.47060252163849725,0.5698406270584102,0.6499714151337975,0.6472881390951148,0.3879858280522675,-0.6133628868780416,0.7514632996617985,0.8230356167615347,0.789919030448677,0.7103914937576115,0.7490676693695678,0.632741952015761,0.3984313555636024,0.9059104895460347,0.2900298014109295,0.337707124011238,0.7416635561771415,0.7780978587303421,0.8415243842867669,0.7093610970570009,0.6841476648013626,0.695472785794933,0.3724980561660183,0.537511813015913,-0.12836507167610364,0.645043909229938,-0.4277562796896714
