,success,esign,eautiful,heap,old,ttractive,nkompliziert,arm,xpensive,ool,ppetitlich,ath,inner,olkswagen,names,erformance,names,names,argain,names,rust
success,1.0,0.23428019395177305,0.2263234533307174,0.22580382922582432,0.208034657398868,0.205126316397564,0.2033813688352188,0.20209086229755954,0.1960696330353925,0.19486074021075422,0.19296050710131368,0.01772963310388154,-0.007769547369565926,-0.008914647189938096,-0.030399140028049585,-0.03296189987976444,-0.04206978767080288,-0.04877195440858423,-0.04919347951493458,-0.052624497984349324,-0.09820929843153559
esign,0.23428019395177305,1.0,0.6582057739625501,0.6832737583043884,0.8661769339336155,0.7299220828776862,0.8127273763134522,0.7716077681162583,0.7316430217128753,0.70729471382561,0.5945386306686945,0.25136143044535697,-0.24006586127938245,-0.19102891811420256,-0.32296167164445644,-0.2027242982765659,-0.3837202499544428,-0.40557938567842544,-0.16478893080729026,-0.3712946418055657,-0.4587118898047619
eautiful,0.2263234533307174,0.6582057739625501,1.0,0.7768305448045688,0.5556313086665127,0.8561848051721416,0.599151041272599,0.8028709462126518,0.5998980959746661,0.774467744305489,0.9278183071390717,0.02706272373934163,0.20860922511810043,-0.39556296340119734,-0.10537885918788417,0.1887348587691395,0.06253422734247474,0.13331606471570107,-0.13208405872306542,-0.04530041327208751,-0.6250335736497036
heap,0.22580382922582432,0.6832737583043884,0.7768305448045688,1.0,0.7394711138783728,0.8625196778437342,0.8134857555002496,0.8555206534635378,0.7031479079775125,0.7911861133741478,0.7813350453890969,0.31195021773549775,0.013756086038694127,-0.38324792066346575,-0.3270297392569459,-0.1983186018454816,-0.331937815507278,-0.21704807621445688,-0.12124738055075446,-0.33693792206196915,-0.7215217479735394
old,0.208034657398868,0.8661769339336155,0.5556313086665127,0.7394711138783728,1.0,0.738486472039842,0.8933467503039885,0.7981917538356226,0.6834256494269813,0.7429233615216411,0.5278435197142991,0.4034027719163575,-0.27641333328624407,-0.25546176728187714,-0.4119528471278452,-0.37589391532375604,-0.5132743713078997,-0.49265939698371825,-0.22176721668030186,-0.45131106347130867,-0.4724443045850448
ttractive,0.205126316397564,0.7299220828776862,0.8561848051721416,0.8625196778437342,0.738486472039842,1.0,0.7747724591113279,0.9055375436569265,0.6941890023049554,0.7582998699153966,0.8708442135635036,0.3318441726120803,0.08436637276384268,-0.47250078306637994,-0.37038613507097135,-0.0032139486435505487,-0.23026066536424603,-0.13436070541928868,-0.17258652896588966,-0.2847406295989248,-0.7114666443601636
nkompliziert,0.2033813688352188,0.8127273763134522,0.599151041272599,0.8134857555002496,0.8933467503039885,0.7747724591113279,1.0,0.7943378831295849,0.6680398502336533,0.7752079204998388,0.6088636396080336,0.4247400588215385,-0.2831730008577717,-0.3513434858349285,-0.5095110294844909,-0.42919470326822656,-0.5778977881957083,-0.5063830776307487,-0.17254665868674193,-0.5326788986740647,-0.5630195044638386
arm,0.20209086229755954,0.7716077681162583,0.8028709462126518,0.8555206534635378,0.7981917538356226,0.9055375436569265,0.7943378831295849,1.0,0.6941945455893965,0.825374863649482,0.7889584486657993,0.39038264730618033,0.022837912443048624,-0.42972828363716176,-0.31461785501939693,-0.06895778197713813,-0.2654015439636656,-0.20267414260765737,-0.20877052199987053,-0.2798905309702234,-0.7203648038202973
xpensive,0.1960696330353925,0.7316430217128753,0.5998980959746661,0.7031479079775125,0.6834256494269813,0.6941890023049554,0.6680398502336533,0.6941945455893965,1.0,0.6110644777294509,0.6126971836978458,0.19737059795406764,-0.029433959349767218,-0.07071934885221079,-0.3640229574723919,-0.16578635000421804,-0.36159612399980834,-0.35569702812277804,0.00468899265454338,-0.34909242088658726,-0.524139694855282
ool,0.19486074021075422,0.70729471382561,0.774467744305489,0.7911861133741478,0.7429233615216411,0.7582998699153966,0.7752079204998388,0.825374863649482,0.6110644777294509,1.0,0.7443575101536055,0.26281175628487896,-0.08606997064488986,-0.3353317935757568,-0.3173907676234878,-0.1548565534571337,-0.3338715932908271,-0.22625685729755915,-0.10392589917956195,-0.3307336346026101,-0.6624627054170856
ppetitlich,0.19296050710131368,0.5945386306686945,0.9278183071390717,0.7813350453890969,0.5278435197142991,0.8708442135635036,0.6088636396080336,0.7889584486657993,0.6126971836978458,0.7443575101536055,1.0,0.057969557529727454,0.20452538483202043,-0.41113515552684665,-0.23605372396227128,0.15996246640129977,-0.02472504340335576,0.08564699416313232,-0.02406038053179027,-0.13977180903156072,-0.6254156954436196
