,success,names,olkswagen,asic,ltmodisch,names,ale,names,emale,raditionell,ustig,nattractive,escriptive,esponsible,achhaltig,ractical,aluable,collar,valuating,ompliziert,rotective
success,1.0,0.10267892202571798,0.08904985047459184,0.08191109877928945,0.06694425937574493,0.05638752467005345,0.05634949620740782,0.05623214834641955,0.047327489113828614,0.04030052103586737,0.04026993545933713,-0.06809037194389753,-0.06957991605678963,-0.07229679742072737,-0.0749174041691488,-0.07617746227859716,-0.0768717595906416,-0.07880533355050781,-0.08447755010956116,-0.09098637498957833,-0.10407534265646404
names,0.10267892202571798,1.0,0.4161753358555042,0.08688314585892394,0.47991031278507756,0.818896889600618,0.15053302827081677,0.7847147669036401,0.14309322139139347,0.13505268731911443,-0.0356809789658022,-0.4619246538620288,-0.3342213146090061,-0.45744770290351155,-0.5140061825577389,-0.5336724087596486,-0.5668912580096264,-0.1880334539355463,-0.43397408917223806,-0.5184374441920518,-0.5806448683693372
olkswagen,0.08904985047459184,0.4161753358555042,1.0,-0.1762987968384155,0.09388637915527673,0.23324553390805988,-0.22826955111814248,0.20477131458117281,-0.2993417724166596,-0.2879286038095648,-0.49654519528504915,-0.489154067172604,-0.35583912235874016,-0.43917890541243904,-0.47114125238212357,-0.444430064334776,-0.5270196978222261,-0.3775328739248406,-0.3439369389077102,-0.5177097519025737,-0.3202006342996481
asic,0.08191109877928945,0.08688314585892394,-0.1762987968384155,1.0,0.22092485530925654,0.04274738408553764,0.5219056867868465,0.10570239762273329,0.5800493264415686,0.4610458510475982,0.4566794084180629,0.19323804412889609,-0.23663677644806366,-0.039765596618068534,0.2114330580104193,-0.06372676814020023,0.16252255999167603,-0.016468713145646373,-0.14013591795401514,0.04528944672688611,0.1019746541374939
ltmodisch,0.06694425937574493,0.47991031278507756,0.09388637915527673,0.22092485530925654,1.0,0.36933102345084434,0.05782799085216581,0.48441665752940266,0.11706245191646314,0.42939130634971595,0.3287264124940964,-0.12854221322656983,0.10921494422156126,-0.37963218992879216,-0.28629235322369606,-0.13844440189012486,-0.22776724051222869,-0.07943335803401379,-0.22383853747807092,-0.1428709345167167,-0.3006940209685505
names,0.05638752467005345,0.818896889600618,0.23324553390805988,0.04274738408553764,0.36933102345084434,1.0,0.2424083990031311,0.912915142439604,0.242578333328157,0.13961710896306015,0.05230919319108439,-0.43642515923588315,-0.25165044836856065,-0.3846151556777284,-0.47036570444893133,-0.5036876052446398,-0.47106518345079534,0.031880948949339676,-0.4391786265180771,-0.4346038552621631,-0.5990098505229322
ale,0.05634949620740782,0.15053302827081677,-0.22826955111814248,0.5219056867868465,0.05782799085216581,0.2424083990031311,1.0,0.26991031362459916,0.9365010277633568,0.6612749272545017,0.5653384336511109,0.3510324729410014,-0.18393683168815086,0.2881597120326714,0.3293444544418618,0.036644003014378576,0.352430927222563,0.4832412780648366,0.0050072271957604195,0.22419810322244638,0.03234378152589606
names,0.05623214834641955,0.7847147669036401,0.20477131458117281,0.10570239762273329,0.48441665752940266,0.912915142439604,0.26991031362459916,1.0,0.3039932525801506,0.18582852010095416,0.11640003979679656,-0.4722594386588167,-0.24105853899516638,-0.454024144665647,-0.5218739390319043,-0.5500592127511125,-0.4919958598024935,0.07115636540891367,-0.49116950280558663,-0.46301727883197147,-0.6521652929225947
emale,0.047327489113828614,0.14309322139139347,-0.2993417724166596,0.5800493264415686,0.11706245191646314,0.242578333328157,0.9365010277633568,0.3039932525801506,1.0,0.6204073366328137,0.6349885911875439,0.29212590362429575,-0.24736058959134902,0.17139761940574377,0.26236387193880994,-0.02385455933048816,0.30526733995398037,0.43817216117245417,-0.1039795294413543,0.15120172504854051,-0.03536925719248668
raditionell,0.04030052103586737,0.13505268731911443,-0.2879286038095648,0.4610458510475982,0.42939130634971595,0.13961710896306015,0.6612749272545017,0.18582852010095416,0.6204073366328137,1.0,0.5717991290079641,0.527163475541018,0.16201751535225814,0.35369135137623564,0.43025182539240087,0.28181755894193516,0.44436269606776874,0.3967661589133903,0.2181439769428818,0.43965828488456116,0.1120810176494775
ustig,0.04026993545933713,-0.0356809789658022,-0.49654519528504915,0.4566794084180629,0.3287264124940964,0.05230919319108439,0.5653384336511109,0.11640003979679656,0.6349885911875439,0.5717991290079641,1.0,0.45736819128183603,0.24828924567056507,0.21729532053027062,0.298015811511142,0.3122750594935195,0.3925368578694181,0.3521481715534844,0.13593784306057735,0.3862213440407242,0.09037298047009232
nattractive,-0.06809037194389753,-0.4619246538620288,-0.489154067172604,0.19323804412889609,-0.12854221322656983,-0.43642515923588315,0.3510324729410014,-0.4722594386588167,0.29212590362429575,0.527163475541018,0.45736819128183603,1.0,0.45182877095229157,0.8042092836815837,0.8564281097031543,0.7940158774067364,0.8228910481292188,0.45055117169998377,0.702639502775828,0.8642749721475098,0.6625638316297167
escriptive,-0.06957991605678963,-0.3342213146090061,-0.35583912235874016,-0.23663677644806366,0.10921494422156126,-0.25165044836856065,-0.18393683168815086,-0.24105853899516638,-0.24736058959134902,0.16201751535225814,0.24828924567056507,0.45182877095229157,1.0,0.4197141344530035,0.32980439406137524,0.6658169103175494,0.4002875551631293,0.20379767356006442,0.6083113272405737,0.6820465700999591,0.4111785160508541
esponsible,-0.07229679742072737,-0.45744770290351155,-0.43917890541243904,-0.039765596618068534,-0.37963218992879216,-0.3846151556777284,0.2881597120326714,-0.454024144665647,0.17139761940574377,0.35369135137623564,0.21729532053027062,0.8042092836815837,0.4197141344530035,1.0,0.7874119795455992,0.7857064773830054,0.8059154653178936,0.5416008228509889,0.6900867307490497,0.8125012428478613,0.6345794083156078
achhaltig,-0.0749174041691488,-0.5140061825577389,-0.47114125238212357,0.2114330580104193,-0.28629235322369606,-0.47036570444893133,0.3293444544418618,-0.5218739390319043,0.26236387193880994,0.43025182539240087,0.298015811511142,0.8564281097031543,0.32980439406137524,0.7874119795455992,1.0,0.7366254100518664,0.8341013023455763,0.3691771354563785,0.5901798181051156,0.8402819356987266,0.7218568697199752
ractical,-0.07617746227859716,-0.5336724087596486,-0.444430064334776,-0.06372676814020023,-0.13844440189012486,-0.5036876052446398,0.036644003014378576,-0.5500592127511125,-0.02385455933048816,0.28181755894193516,0.3122750594935195,0.7940158774067364,0.6658169103175494,0.7857064773830054,0.7366254100518664,1.0,0.7859259257227645,0.4410944189970112,0.7238307610764968,0.8949770065886575,0.7301494034764933
aluable,-0.0768717595906416,-0.5668912580096264,-0.5270196978222261,0.16252255999167603,-0.22776724051222869,-0.47106518345079534,0.352430927222563,-0.4919958598024935,0.30526733995398037,0.44436269606776874,0.3925368578694181,0.8228910481292188,0.4002875551631293,0.8059154653178936,0.8341013023455763,0.7859259257227645,1.0,0.5362563933069711,0.5937987103905199,0.8537501414077012,0.6561243256864674
collar,-0.07880533355050781,-0.1880334539355463,-0.3775328739248406,-0.016468713145646373,-0.07943335803401379,0.031880948949339676,0.4832412780648366,0.07115636540891367,0.43817216117245417,0.3967661589133903,0.3521481715534844,0.45055117169998377,0.20379767356006442,0.5416008228509889,0.3691771354563785,0.4410944189970112,0.5362563933069711,1.0,0.2875855325232337,0.5060454622124902,0.2107399278645041
valuating,-0.08447755010956116,-0.43397408917223806,-0.3439369389077102,-0.14013591795401514,-0.22383853747807092,-0.4391786265180771,0.0050072271957604195,-0.49116950280558663,-0.1039795294413543,0.2181439769428818,0.13593784306057735,0.702639502775828,0.6083113272405737,0.6900867307490497,0.5901798181051156,0.7238307610764968,0.5937987103905199,0.2875855325232337,1.0,0.7347259381585103,0.5977606681158516
ompliziert,-0.09098637498957833,-0.5184374441920518,-0.5177097519025737,0.04528944672688611,-0.1428709345167167,-0.4346038552621631,0.22419810322244638,-0.46301727883197147,0.15120172504854051,0.43965828488456116,0.3862213440407242,0.8642749721475098,0.6820465700999591,0.8125012428478613,0.8402819356987266,0.8949770065886575,0.8537501414077012,0.5060454622124902,0.7347259381585103,1.0,0.6949372199007784
rotective,-0.10407534265646404,-0.5806448683693372,-0.3202006342996481,0.1019746541374939,-0.3006940209685505,-0.5990098505229322,0.03234378152589606,-0.6521652929225947,-0.03536925719248668,0.1120810176494775,0.09037298047009232,0.6625638316297167,0.4111785160508541,0.6345794083156078,0.7218568697199752,0.7301494034764933,0.6561243256864674,0.2107399278645041,0.5977606681158516,0.6949372199007784,1.0
