,success,ndulgent,xpensive,olkswagen,eapon,collar,ig,ntroverted,elow,aluable,mall,escriptive,areer,eaching,ulture,names,rotective,nsustainable,names,cience,heHero
success,1.0,0.8282963297338324,0.7843963622482718,0.7556546467082247,0.730164250000866,0.5916398056653858,0.5844394361293416,0.564651195422788,0.5570368124217783,0.5280792734262271,0.5186185938259422,-0.5031057601325702,-0.5107988274537282,-0.5209830742738054,-0.5249314772389476,-0.5482339883170022,-0.5657571559143304,-0.5765876529862288,-0.6597661845546627,-0.6844451533634202,-0.7178792402160665
ndulgent,0.8282963297338324,1.0,0.779539565860553,0.38272286137418526,0.37677975358369925,0.1777741205301197,0.6192406153263748,0.49000734370642807,0.18829859431563392,0.3549150059273241,0.5259900571319552,-0.09284699846260507,-0.5193682956438398,-0.5315899773444928,-0.016482971799255165,-0.48257408673623675,-0.3816058482999567,-0.14477390822414418,-0.3407730988734326,-0.5659274527293474,-0.4023365391900344
xpensive,0.7843963622482718,0.779539565860553,1.0,0.5793452292317661,0.7053344815444037,0.3422014694217965,0.9544772285010964,0.6268730564628692,0.6558384361119288,0.8074226418965099,0.8793558700447338,-0.37920926454414905,-0.0256401382349364,-0.22536614622603082,-0.10404251938801934,-0.7181922193431102,-0.3366153151318178,-0.00377914071012503,-0.2050570084999175,-0.4310837851799338,-0.195314771580287
olkswagen,0.7556546467082247,0.38272286137418526,0.5793452292317661,1.0,0.849116285539596,0.5288110900342267,0.5099842330697897,0.2302164633585631,0.6229341298147779,0.4203471075504451,0.31105544374203614,-0.5562504045278754,-0.2967025598256925,-0.14423721701749354,-0.5837794859692751,-0.14670686597329802,-0.7445399791987146,-0.6406842030875459,-0.3735742564037746,-0.37930038369214686,-0.5106381162372237
eapon,0.730164250000866,0.37677975358369925,0.7053344815444037,0.849116285539596,1.0,0.7860208435651195,0.6451675293018336,0.6662573904792576,0.9044498277101483,0.7641595755745625,0.6661878025175271,-0.4516414850311425,0.09307608351625983,0.12784867298022323,-0.6577418730582129,-0.47123091807652656,-0.30312638525858976,-0.4084605023882712,-0.33868432354459344,-0.1588630056584284,-0.34519246206464427
collar,0.5916398056653858,0.1777741205301197,0.3422014694217965,0.5288110900342267,0.7860208435651195,1.0,0.17702913837130022,0.761642622241451,0.8098155273739521,0.609636223807151,0.43317571633473684,-0.43755590116191534,0.05325894742694,0.03801404838388787,-0.9183717319304566,-0.5278841607437056,0.04020332391650865,-0.5794472746573268,-0.6610634233138246,-0.17568874488084324,-0.5683028919340997
ig,0.5844394361293416,0.6192406153263748,0.9544772285010964,0.5099842330697897,0.6451675293018336,0.17702913837130022,1.0,0.511020324075716,0.6229234442649192,0.799981193397386,0.8875890893891416,-0.2860792800917075,0.18561983757036024,-0.021360735232742546,0.07982994644639,-0.6166896498929715,-0.27068466233521293,0.21158699692404767,0.06359447210928083,-0.23238567325965953,0.07325732344310032
ntroverted,0.564651195422788,0.49000734370642807,0.6268730564628692,0.2302164633585631,0.6662573904792576,0.761642622241451,0.511020324075716,1.0,0.735026418228709,0.7933166373510865,0.8094022378923972,-0.0973140855643545,0.2510130363312528,0.11550453715323579,-0.45220257550487236,-0.7724859251677972,0.3331881825497572,-0.025893904496649724,-0.34778092664097976,-0.050056431914889905,-0.19588676406638864
elow,0.5570368124217783,0.18829859431563392,0.6558384361119288,0.6229341298147779,0.9044498277101483,0.8098155273739521,0.6229234442649192,0.735026418228709,1.0,0.9167081922839508,0.7651225393849125,-0.5720939420056129,0.36367969887104196,0.16436393050830658,-0.6368371558328664,-0.6927953682162893,-0.04625255108568598,-0.24814894563722134,-0.3617144176638353,-0.14236062295119015,-0.2542865774274075
aluable,0.5280792734262271,0.3549150059273241,0.8074226418965099,0.4203471075504451,0.7641595755745625,0.609636223807151,0.799981193397386,0.7933166373510865,0.9167081922839508,1.0,0.9436032747799878,-0.4703805263864958,0.4328760610119954,0.09535757180497713,-0.33473542662666406,-0.8610426540795643,0.06896176651005421,0.056591058813105194,-0.2292503869700677,-0.1764804431065927,-0.08291901292987616
mall,0.5186185938259422,0.5259900571319552,0.8793558700447338,0.31105544374203614,0.6661878025175271,0.43317571633473684,0.8875890893891416,0.8094022378923972,0.7651225393849125,0.9436032747799878,1.0,-0.22592839084888433,0.4016282495889593,0.11439354335378545,-0.09088289771561996,-0.823610752635389,0.12123824509919605,0.2618214280763919,-0.05140146950537503,-0.10283727313714236,0.0731025135391916
escriptive,-0.5031057601325702,-0.09284699846260507,-0.37920926454414905,-0.5562504045278754,-0.4516414850311425,-0.43755590116191534,-0.2860792800917075,-0.0973140855643545,-0.5720939420056129,-0.4703805263864958,-0.22592839084888433,1.0,0.1806847159957207,0.5268168481537705,0.5530448426045741,0.5140682339294614,0.5322694954087137,0.5856633224166746,0.6881274585231079,0.7367509200944546,0.6517027149760336
areer,-0.5107988274537282,-0.5193682956438398,-0.0256401382349364,-0.2967025598256925,0.09307608351625983,0.05325894742694,0.18561983757036024,0.2510130363312528,0.36367969887104196,0.4328760610119954,0.4016282495889593,0.1806847159957207,1.0,0.7980513998024342,0.16637504674684414,-0.1865809496154827,0.6825819363282589,0.6476635846775061,0.5406108123068174,0.6893093443325728,0.721949021915854
eaching,-0.5209830742738054,-0.5315899773444928,-0.22536614622603082,-0.14423721701749354,0.12784867298022323,0.03801404838388787,-0.021360735232742546,0.11550453715323579,0.16436393050830658,0.09535757180497713,0.11439354335378545,0.5268168481537705,0.7980513998024342,1.0,0.10657089666014992,0.28882930294386966,0.5640812984380081,0.4861304319828921,0.6920403572695679,0.9483420395525355,0.7408327171683827
ulture,-0.5249314772389476,-0.016482971799255165,-0.10404251938801934,-0.5837794859692751,-0.6577418730582129,-0.9183717319304566,0.07982994644639,-0.45220257550487236,-0.6368371558328664,-0.33473542662666406,-0.09088289771561996,0.5530448426045741,0.16637504674684414,0.10657089666014992,1.0,0.2796089278763532,0.1750318222271823,0.8240673607894666,0.7652423701841109,0.28593047865150956,0.734132679520724
names,-0.5482339883170022,-0.48257408673623675,-0.7181922193431102,-0.14670686597329802,-0.47123091807652656,-0.5278841607437056,-0.6166896498929715,-0.7724859251677972,-0.6927953682162893,-0.8610426540795643,-0.823610752635389,0.5140682339294614,-0.1865809496154827,0.28882930294386966,0.2796089278763532,1.0,-0.13622857123269588,-0.012775563258795348,0.4864072186475119,0.465401823662307,0.2949658253008207
rotective,-0.5657571559143304,-0.3816058482999567,-0.3366153151318178,-0.7445399791987146,-0.30312638525858976,0.04020332391650865,-0.27068466233521293,0.3331881825497572,-0.04625255108568598,0.06896176651005421,0.12123824509919605,0.5322694954087137,0.6825819363282589,0.5640812984380081,0.1750318222271823,-0.13622857123269588,1.0,0.5976467472355029,0.31678715969962545,0.6430752207771143,0.5343335111109871
nsustainable,-0.5765876529862288,-0.14477390822414418,-0.00377914071012503,-0.6406842030875459,-0.4084605023882712,-0.5794472746573268,0.21158699692404767,-0.025893904496649724,-0.24814894563722134,0.056591058813105194,0.2618214280763919,0.5856633224166746,0.6476635846775061,0.4861304319828921,0.8240673607894666,-0.012775563258795348,0.5976467472355029,1.0,0.8103588464302327,0.571263057700789,0.9096389026725408
names,-0.6597661845546627,-0.3407730988734326,-0.2050570084999175,-0.3735742564037746,-0.33868432354459344,-0.6610634233138246,0.06359447210928083,-0.34778092664097976,-0.3617144176638353,-0.2292503869700677,-0.05140146950537503,0.6881274585231079,0.5406108123068174,0.6920403572695679,0.7652423701841109,0.4864072186475119,0.31678715969962545,0.8103588464302327,1.0,0.7755760969536973,0.958319834015608
cience,-0.6844451533634202,-0.5659274527293474,-0.4310837851799338,-0.37930038369214686,-0.1588630056584284,-0.17568874488084324,-0.23238567325965953,-0.050056431914889905,-0.14236062295119015,-0.1764804431065927,-0.10283727313714236,0.7367509200944546,0.6893093443325728,0.9483420395525355,0.28593047865150956,0.465401823662307,0.6430752207771143,0.571263057700789,0.7755760969536973,1.0,0.8069880278519824
heHero,-0.7178792402160665,-0.4023365391900344,-0.195314771580287,-0.5106381162372237,-0.34519246206464427,-0.5683028919340997,0.07325732344310032,-0.19588676406638864,-0.2542865774274075,-0.08291901292987616,0.0731025135391916,0.6517027149760336,0.721949021915854,0.7408327171683827,0.734132679520724,0.2949658253008207,0.5343335111109871,0.9096389026725408,0.958319834015608,0.8069880278519824,1.0
