,success,lectric,rust,olkswagen,echnical,ltmodisch,nnovative,rachel,instrument,nkompliziert,eapon,eaching,amily,emale,heCreator,ew,heLover,ath,lunt,heHero,ee
success,1.0,0.047517473409392864,0.04334463265036214,0.03479696473943798,0.023065092335069256,0.014147273242235322,0.013681013458555996,0.013681013458555996,0.012067137861542766,0.010542159057809482,0.01035314025830078,-0.048180151422758326,-0.050037986919247435,-0.05065345310761945,-0.05075864827664081,-0.051564063738720925,-0.05302857075907272,-0.05394975583872537,-0.0542289603874058,-0.05604657430349128,-0.06714838628635074
lectric,0.047517473409392864,1.0,-0.21912296836327624,-0.09047392996003131,0.7328845478424814,-0.050793892116951476,0.5585949969245751,0.5585949969245751,-0.06791803944423422,0.4779740695432423,0.15524755740920262,0.17304591563294885,-0.22386654399857384,-0.3523838924551,0.23407129431936868,0.2547216326995654,-0.030560866652799577,0.17295223024217482,0.11232777523821781,-0.010507336318771297,-0.16216237670341868
rust,0.04334463265036214,-0.21912296836327624,1.0,0.41030913280446796,-0.13571948583080762,0.0439958032752774,0.017117654098824948,0.017117654098824948,-0.08549124096209405,-0.5006034674811113,-0.21083107669966977,-0.5167155118608412,-0.592968644763278,-0.5181186223762374,-0.457761363994934,-0.3969560037155301,-0.5400718800862965,-0.3877297968899818,-0.6345981325552866,-0.5292871871931901,-0.5436530752317312
olkswagen,0.03479696473943798,-0.09047392996003131,0.41030913280446796,1.0,-0.0766755721250943,0.09259246785188356,-0.020389210168063665,-0.020389210168063665,-0.020474510226120107,-0.39645022783489064,0.15838415702422035,-0.4630213038476461,-0.33581360606898947,-0.2557464687908116,-0.4133574847585769,-0.14656088652142077,-0.4229164144193533,-0.2740960669123403,-0.4108178931789175,-0.38451067381454135,-0.41657608202450275
echnical,0.023065092335069256,0.7328845478424814,-0.13571948583080762,-0.0766755721250943,1.0,-0.011217343276644856,0.8272525976369911,0.8272525976369911,0.03171638050248913,0.5539229447236884,0.08879919537641098,0.34107427820575686,-0.24220743493495767,-0.3795280977320972,0.410125285830107,0.2304459082861146,0.11864740686302264,0.22840376465782428,0.18206993736037402,0.1722659600871473,-0.09581404020166108
ltmodisch,0.014147273242235322,-0.050793892116951476,0.0439958032752774,0.09259246785188356,-0.011217343276644856,1.0,0.1408008152821994,0.1408008152821994,0.4440955375854233,0.027373171859377557,0.014978649239203369,-0.07764637642206024,-0.04393731142988705,0.047049797805198294,0.2501898609253173,0.1644069746697921,-0.013822770317701509,-0.3037545930311863,-0.17283476174422532,-0.07921616000026743,0.14717653600233943
nnovative,0.013681013458555996,0.5585949969245751,0.017117654098824948,-0.020389210168063665,0.8272525976369911,0.1408008152821994,1.0,1.0,0.005884726442146235,0.4511758055541272,-0.0550549601832233,0.2382426268785539,-0.30386981759107534,-0.39313181530266356,0.41853466353367746,0.3434507163686049,0.1009445553098893,0.11553980103308609,0.10628053604896166,0.18440882386914378,-0.12056999596897718
rachel,0.013681013458555996,0.5585949969245751,0.017117654098824948,-0.020389210168063665,0.8272525976369911,0.1408008152821994,1.0,1.0,0.005884726442146235,0.4511758055541272,-0.0550549601832233,0.2382426268785539,-0.30386981759107534,-0.39313181530266356,0.41853466353367746,0.3434507163686049,0.1009445553098893,0.11553980103308609,0.10628053604896166,0.18440882386914378,-0.12056999596897718
instrument,0.012067137861542766,-0.06791803944423422,-0.08549124096209405,-0.020474510226120107,0.03171638050248913,0.4440955375854233,0.005884726442146235,0.005884726442146235,1.0,0.0697882651647328,0.25696630283014454,0.1146195025952244,0.1855122914775526,0.25657956206407734,0.2662828254915994,-0.051648838363165334,0.17065629100527888,-0.03861518334295967,0.01086429636094676,0.11929317737726039,0.27090727173321777
nkompliziert,0.010542159057809482,0.4779740695432423,-0.5006034674811113,-0.39645022783489064,0.5539229447236884,0.027373171859377557,0.4511758055541272,0.4511758055541272,0.0697882651647328,1.0,0.23717206748207614,0.42509558394464825,0.2021054600742179,0.12018935549957908,0.5188998603184004,0.42969454227070214,0.4380581866624262,0.24979147082861433,0.5983861199840902,0.41274257282352766,0.31477202010975314
eapon,0.01035314025830078,0.15524755740920262,-0.21083107669966977,0.15838415702422035,0.08879919537641098,0.014978649239203369,-0.0550549601832233,-0.0550549601832233,0.25696630283014454,0.23717206748207614,1.0,-0.0648414139764695,0.11664674471339503,0.21730974877643833,-0.02328043963109578,0.05117701607363335,-0.0354981111375125,0.010806808875733091,0.1190702440823619,0.0020787870877973674,0.04685228082107812
eaching,-0.048180151422758326,0.17304591563294885,-0.5167155118608412,-0.4630213038476461,0.34107427820575686,-0.07764637642206024,0.2382426268785539,0.2382426268785539,0.1146195025952244,0.42509558394464825,-0.0648414139764695,1.0,0.6381362684763541,0.45065835750853367,0.7776702410594074,0.4285693306426112,0.7530700477462403,0.6003926407893009,0.6559050782648027,0.7436933243476052,0.47383068692648556
amily,-0.050037986919247435,-0.22386654399857384,-0.592968644763278,-0.33581360606898947,-0.24220743493495767,-0.04393731142988705,-0.30386981759107534,-0.30386981759107534,0.1855122914775526,0.2021054600742179,0.11664674471339503,0.6381362684763541,1.0,0.9358614429276513,0.4750360919238236,0.26874706647418556,0.7522866577031573,0.3030350321903891,0.6304998180567796,0.6102868170438722,0.497163272783422
emale,-0.05065345310761945,-0.3523838924551,-0.5181186223762374,-0.2557464687908116,-0.3795280977320972,0.047049797805198294,-0.39313181530266356,-0.39313181530266356,0.25657956206407734,0.12018935549957908,0.21730974877643833,0.45065835750853367,0.9358614429276513,1.0,0.3353721270547222,0.20849211579718332,0.6286319213784383,0.14748381992274268,0.5316162137997125,0.500542407486343,0.5024427469681767
heCreator,-0.05075864827664081,0.23407129431936868,-0.457761363994934,-0.4133574847585769,0.410125285830107,0.2501898609253173,0.41853466353367746,0.41853466353367746,0.2662828254915994,0.5188998603184004,-0.02328043963109578,0.7776702410594074,0.4750360919238236,0.3353721270547222,1.0,0.6221800220438598,0.8012192376104577,0.33648101328557845,0.6550988653061469,0.7766868736038337,0.579495063693513
ew,-0.051564063738720925,0.2547216326995654,-0.3969560037155301,-0.14656088652142077,0.2304459082861146,0.1644069746697921,0.3434507163686049,0.3434507163686049,-0.051648838363165334,0.42969454227070214,0.05117701607363335,0.4285693306426112,0.26874706647418556,0.20849211579718332,0.6221800220438598,1.0,0.4611464377806386,0.14197430366188407,0.5204552790893662,0.5449429840318326,0.38331862852453125
heLover,-0.05302857075907272,-0.030560866652799577,-0.5400718800862965,-0.4229164144193533,0.11864740686302264,-0.013822770317701509,0.1009445553098893,0.1009445553098893,0.17065629100527888,0.4380581866624262,-0.0354981111375125,0.7530700477462403,0.7522866577031573,0.6286319213784383,0.8012192376104577,0.4611464377806386,1.0,0.312259932811719,0.8266580930448101,0.8782544720913151,0.5524981136670803
ath,-0.05394975583872537,0.17295223024217482,-0.3877297968899818,-0.2740960669123403,0.22840376465782428,-0.3037545930311863,0.11553980103308609,0.11553980103308609,-0.03861518334295967,0.24979147082861433,0.010806808875733091,0.6003926407893009,0.3030350321903891,0.14748381992274268,0.33648101328557845,0.14197430366188407,0.312259932811719,1.0,0.37213105179034023,0.39441565652356797,0.20931370971764382
lunt,-0.0542289603874058,0.11232777523821781,-0.6345981325552866,-0.4108178931789175,0.18206993736037402,-0.17283476174422532,0.10628053604896166,0.10628053604896166,0.01086429636094676,0.5983861199840902,0.1190702440823619,0.6559050782648027,0.6304998180567796,0.5316162137997125,0.6550988653061469,0.5204552790893662,0.8266580930448101,0.37213105179034023,1.0,0.8306384467209301,0.5231670710557734
heHero,-0.05604657430349128,-0.010507336318771297,-0.5292871871931901,-0.38451067381454135,0.1722659600871473,-0.07921616000026743,0.18440882386914378,0.18440882386914378,0.11929317737726039,0.41274257282352766,0.0020787870877973674,0.7436933243476052,0.6102868170438722,0.500542407486343,0.7766868736038337,0.5449429840318326,0.8782544720913151,0.39441565652356797,0.8306384467209301,1.0,0.5904861493706473
ee,-0.06714838628635074,-0.16216237670341868,-0.5436530752317312,-0.41657608202450275,-0.09581404020166108,0.14717653600233943,-0.12056999596897718,-0.12056999596897718,0.27090727173321777,0.31477202010975314,0.04685228082107812,0.47383068692648556,0.497163272783422,0.5024427469681767,0.579495063693513,0.38331862852453125,0.5524981136670803,0.20931370971764382,0.5231670710557734,0.5904861493706473,1.0
