,success,ltmodisch,esign,ustainable,atürlich,ew,old,utside,nnovative,rachel,echnical,erformance,valuating,usic,eaching,riendship,hildren,heJester,ath,collar,inner
success,1.0,0.10276407290014228,0.08523337431046385,0.07529611124633352,0.07242435397391819,0.07141673585364457,0.07130374175047707,0.06545969147997666,0.06331361767141545,0.06331361767141545,0.0627713057274275,-0.06936770241587212,-0.06994291818762134,-0.07138902770571524,-0.080985372384807,-0.08309440044421151,-0.08338678223635045,-0.08465367466789586,-0.09777425422425332,-0.10046921699262217,-0.13399893829206713
ltmodisch,0.10276407290014228,1.0,0.4103998942252184,0.08559588549226396,0.2520140356690704,0.15012260543438538,0.14769224157309158,-0.09195220714652476,0.13461785576171376,0.13461785576171376,0.029012015158409378,0.12637098576117362,-0.13330374257173205,0.39420625284095656,-0.03245927143532761,0.09842506931430654,0.0438372227214843,-0.026525646930187552,-0.2275260476213317,-0.01705226991691078,-0.08330205792907065
esign,0.08523337431046385,0.4103998942252184,1.0,0.7776867594413747,0.753056663788575,0.46324417896533715,0.8537850831758095,0.6272742992647904,0.6045045531617397,0.6045045531617397,0.659628165603533,-0.18742486053700438,0.39079638491815777,0.2430112781660703,0.3994867229877099,0.1576486433911679,0.290823170246443,0.3965302631260644,0.23788998805587247,0.18638648042526185,-0.19640717240314165
ustainable,0.07529611124633352,0.08559588549226396,0.7776867594413747,1.0,0.9078366266314905,0.5643636578244822,0.8547510636807529,0.7485386730483093,0.5962161501765889,0.5962161501765889,0.6704954132883274,-0.24820562614817201,0.5557351028315888,0.09290350577891614,0.6505336703115355,0.17941551336153283,0.42600002905039636,0.513760969777164,0.4601833561525257,0.30412198823159636,-0.09544060859280051
atürlich,0.07242435397391819,0.2520140356690704,0.753056663788575,0.9078366266314905,1.0,0.5239809347474774,0.8002550532979161,0.635297506673115,0.43233449723469003,0.43233449723469003,0.5035171881311321,-0.20163225523471523,0.42144272014292866,0.22848807618868813,0.6196597299564218,0.3190086541178269,0.5656520376932526,0.5909765159830523,0.36992787723176423,0.254425091696106,-0.05621035554489035
ew,0.07141673585364457,0.15012260543438538,0.46324417896533715,0.5643636578244822,0.5239809347474774,1.0,0.5236803860359575,0.3443518007831705,0.4102247436824952,0.4102247436824952,0.2905186032111144,0.043562263928315,0.3468794043231793,0.26803117665990467,0.524789494736108,0.23456900602082187,0.29357523738822744,0.5011228406823489,0.29641201981235027,0.19654888570460646,0.19185119980437976
old,0.07130374175047707,0.14769224157309158,0.8537850831758095,0.8547510636807529,0.8002550532979161,0.5236803860359575,1.0,0.6945132585091519,0.6636621985373318,0.6636621985373318,0.7345313923959083,-0.2901655561603238,0.5662807763618396,0.1292311337096204,0.5456240240600362,0.13121333940445054,0.3174686317524448,0.4904558301535678,0.3589637074536863,0.26503643579284597,-0.15799369937157937
utside,0.06545969147997666,-0.09195220714652476,0.6272742992647904,0.7485386730483093,0.635297506673115,0.3443518007831705,0.6945132585091519,1.0,0.4900198507772283,0.4900198507772283,0.662505504299622,-0.4185661137363596,0.49480663696698707,-0.0917071422216054,0.349421867191449,-0.04530793993594538,0.1477943407797404,0.2414399524070674,0.4389495159485653,0.09251298607657991,-0.3408573082262488
nnovative,0.06331361767141545,0.13461785576171376,0.6045045531617397,0.5962161501765889,0.43233449723469003,0.4102247436824952,0.6636621985373318,0.4900198507772283,1.0,1.0,0.8433646398776427,-0.22762444436586457,0.5161082270061043,0.015450829539261248,0.30835943350330525,-0.3394955079652615,-0.14769119615005347,-0.03598167663847045,0.285285348492448,0.023207440904607548,-0.22689140462390567
rachel,0.06331361767141545,0.13461785576171376,0.6045045531617397,0.5962161501765889,0.43233449723469003,0.4102247436824952,0.6636621985373318,0.4900198507772283,1.0,1.0,0.8433646398776427,-0.22762444436586457,0.5161082270061043,0.015450829539261248,0.30835943350330525,-0.3394955079652615,-0.14769119615005347,-0.03598167663847045,0.285285348492448,0.023207440904607548,-0.22689140462390567
