,success,emale,amily,ale,leasant,hildren,riendship,ifestyle,raditionell,heCarer,leasant,inner,lectric,rotective,ee,nnovative,rachel,echnical,how,erformance,escriptive
success,1.0,0.08214583255580639,0.0806545525959449,0.05918021090593718,0.0580601292135867,0.05711978611612655,0.054769393233975304,0.051168887677497846,0.046212107463594804,0.04286753072979657,0.04033567227019433,-0.029890669338534993,-0.03219915897444325,-0.032899746091868874,-0.03471991326607376,-0.037539034668014316,-0.037539034668014316,-0.04440797345561719,-0.04528026478924973,-0.05951597196587128,-0.06382719705512147
emale,0.08214583255580639,1.0,0.9400066351052364,0.9277584441983883,0.8188213554221446,0.7955313857643651,0.8191567565921651,0.64990885302984,0.5797532100832187,0.6079704449228096,0.6653356016368701,0.4203344193099695,-0.38212293261122476,-0.15935935150057118,0.49723741305245794,-0.39979630544491096,-0.39979630544491096,-0.39504674963057707,0.3278825766641953,0.1974313218093047,-0.3006451385741602
amily,0.0806545525959449,0.9400066351052364,1.0,0.9122130900717224,0.8748880871846104,0.8592871222778827,0.803237921998521,0.7393036007574919,0.6039656683690299,0.7842851951306508,0.6983561868552252,0.3651717189406928,-0.2403557608971332,-0.002370883778961068,0.5080478177775162,-0.2973145608046337,-0.2973145608046337,-0.25013587740434345,0.3000212182481818,0.11494270805556647,-0.15900621020033823
ale,0.05918021090593718,0.9277584441983883,0.9122130900717224,1.0,0.7418096314996422,0.7225418417424174,0.7552952281653336,0.6379601108013633,0.6087625944819959,0.6400390368041821,0.5742515113102952,0.4684088147300127,-0.3193593422120586,-0.09515248259350843,0.48563400125408474,-0.3558784727125785,-0.3558784727125785,-0.3207197800154529,0.294370095856296,0.15666983499734743,-0.24762891407011126
leasant,0.0580601292135867,0.8188213554221446,0.8748880871846104,0.7418096314996422,1.0,0.8234602153919196,0.7644656931417154,0.8279665998367467,0.5945548417338791,0.7694683587766575,0.8989444076235191,0.36796620128286056,-0.12651198352241588,0.03998543357593594,0.6144228360002798,-0.13337410546626582,-0.13337410546626582,-0.10857777828531412,0.4175762501691562,0.210535446708489,-0.03042317876574237
hildren,0.05711978611612655,0.7955313857643651,0.8592871222778827,0.7225418417424174,0.8234602153919196,1.0,0.7509432866142439,0.6518910109597226,0.4411004857400686,0.6692014946977349,0.7660765006454273,0.209520611421513,-0.08752321845613899,0.11620041663458959,0.4780279061638303,-0.21306561992462927,-0.21306561992462927,-0.11858540401568829,0.2764498327542322,0.12274085330605455,-0.15013583970684222
riendship,0.054769393233975304,0.8191567565921651,0.803237921998521,0.7552952281653336,0.7644656931417154,0.7509432866142439,1.0,0.48465220746596394,0.4300000453266398,0.5721623010206092,0.6323386383871059,0.37701654748999475,-0.3376195096637147,-0.16093302768706833,0.5498135086227871,-0.4168259063607024,-0.4168259063607024,-0.3799907756368753,0.3606892012906154,0.25390280698286877,-0.22326230942553993
ifestyle,0.051168887677497846,0.64990885302984,0.7393036007574919,0.6379601108013633,0.8279665998367467,0.6518910109597226,0.48465220746596394,1.0,0.6596896902253843,0.702480163201341,0.7478915762584658,0.2698480203423766,0.002034020696187864,0.0930659684673116,0.5486703805475067,0.07187120072297565,0.07187120072297565,0.06995584487288467,0.4453895296605976,0.17912147364647704,0.1852209323343655
raditionell,0.046212107463594804,0.5797532100832187,0.6039656683690299,0.6087625944819959,0.5945548417338791,0.4411004857400686,0.4300000453266398,0.6596896902253843,1.0,0.5230595768612523,0.523521347332674,0.15428529768924953,-0.05084115309710462,0.05678492856086378,0.4299195112982,0.039550831301108744,0.039550831301108744,-0.027259434533697627,0.26622751986846305,0.005851652993432239,0.11932144634773786
heCarer,0.04286753072979657,0.6079704449228096,0.7842851951306508,0.6400390368041821,0.7694683587766575,0.6692014946977349,0.5721623010206092,0.702480163201341,0.5230595768612523,1.0,0.6279932603184007,0.21195550776653407,0.13321302044527414,0.38124984880199964,0.4732090208043789,0.06634578936756384,0.06634578936756384,0.1516868632579639,0.16467682069428793,-0.07345724026275144,0.1377469749879845
leasant,0.04033567227019433,0.6653356016368701,0.6983561868552252,0.5742515113102952,0.8989444076235191,0.7660765006454273,0.6323386383871059,0.7478915762584658,0.523521347332674,0.6279932603184007,1.0,0.17894226034518065,0.0688421306704094,0.1699415444749314,0.5022588633113696,0.0014717863338849144,0.0014717863338849144,0.0669500767103954,0.29240280569755167,0.09306757383138486,-0.016685182952751225
inner,-0.029890669338534993,0.4203344193099695,0.3651717189406928,0.4684088147300127,0.36796620128286056,0.209520611421513,0.37701654748999475,0.2698480203423766,0.15428529768924953,0.21195550776653407,0.17894226034518065,1.0,-0.5291034707214488,-0.45523338178805733,0.444982047404332,-0.28765102861898734,-0.28765102861898734,-0.4213427994284314,0.4626309775993849,0.5912077102806917,-0.23173479454590076
lectric,-0.03219915897444325,-0.38212293261122476,-0.2403557608971332,-0.3193593422120586,-0.12651198352241588,-0.08752321845613899,-0.3376195096637147,0.002034020696187864,-0.05084115309710462,0.13321302044527414,0.0688421306704094,-0.5291034707214488,1.0,0.6559250860118173,-0.19304870550002753,0.6109518862206205,0.6109518862206205,0.7741996362844292,-0.31386315651618807,-0.43820866819099497,0.3079837311934575
rotective,-0.032899746091868874,-0.15935935150057118,-0.002370883778961068,-0.09515248259350843,0.03998543357593594,0.11620041663458959,-0.16093302768706833,0.0930659684673116,0.05678492856086378,0.38124984880199964,0.1699415444749314,-0.45523338178805733,0.6559250860118173,1.0,0.00341874477012878,0.44735039338311383,0.44735039338311383,0.6542367059869468,-0.3057882419820784,-0.527399435787001,0.40194099965032465
ee,-0.03471991326607376,0.49723741305245794,0.5080478177775162,0.48563400125408474,0.6144228360002798,0.4780279061638303,0.5498135086227871,0.5486703805475067,0.4299195112982,0.4732090208043789,0.5022588633113696,0.444982047404332,-0.19304870550002753,0.00341874477012878,1.0,-0.09373022271431261,-0.09373022271431261,-0.08885654113879664,0.7146209654447456,0.5219126712676975,0.2597551369917653
nnovative,-0.037539034668014316,-0.39979630544491096,-0.2973145608046337,-0.3558784727125785,-0.13337410546626582,-0.21306561992462927,-0.4168259063607024,0.07187120072297565,0.039550831301108744,0.06634578936756384,0.0014717863338849144,-0.28765102861898734,0.6109518862206205,0.44735039338311383,-0.09373022271431261,1.0,1.0,0.8487464160203856,-0.04902994119507525,-0.21877730002167978,0.5387798473272881
rachel,-0.037539034668014316,-0.39979630544491096,-0.2973145608046337,-0.3558784727125785,-0.13337410546626582,-0.21306561992462927,-0.4168259063607024,0.07187120072297565,0.039550831301108744,0.06634578936756384,0.0014717863338849144,-0.28765102861898734,0.6109518862206205,0.44735039338311383,-0.09373022271431261,1.0,1.0,0.8487464160203856,-0.04902994119507525,-0.21877730002167978,0.5387798473272881
echnical,-0.04440797345561719,-0.39504674963057707,-0.25013587740434345,-0.3207197800154529,-0.10857777828531412,-0.11858540401568829,-0.3799907756368753,0.06995584487288467,-0.027259434533697627,0.1516868632579639,0.0669500767103954,-0.4213427994284314,0.7741996362844292,0.6542367059869468,-0.08885654113879664,0.8487464160203856,0.8487464160203856,1.0,-0.10674465723793458,-0.30524370211072094,0.5401005634833647
how,-0.04528026478924973,0.3278825766641953,0.3000212182481818,0.294370095856296,0.4175762501691562,0.2764498327542322,0.3606892012906154,0.4453895296605976,0.26622751986846305,0.16467682069428793,0.29240280569755167,0.4626309775993849,-0.31386315651618807,-0.3057882419820784,0.7146209654447456,-0.04902994119507525,-0.04902994119507525,-0.10674465723793458,1.0,0.8334955976334761,0.2765059326261558
erformance,-0.05951597196587128,0.1974313218093047,0.11494270805556647,0.15666983499734743,0.210535446708489,0.12274085330605455,0.25390280698286877,0.17912147364647704,0.005851652993432239,-0.07345724026275144,0.09306757383138486,0.5912077102806917,-0.43820866819099497,-0.527399435787001,0.5219126712676975,-0.21877730002167978,-0.21877730002167978,-0.30524370211072094,0.8334955976334761,1.0,-0.05923994696651353
