,success,valuating,nnatürlich,utside,rotective,restrictive,nside,ompliziert,mall,achhaltig,ncool,rts,rts,names,instrument,names,names,how,inner,names,erformance
success,1.0,0.13222162869128543,0.1299027680426612,0.12634503696054672,0.12083616714070505,0.12047007906469649,0.11879014876256817,0.11773515927500137,0.11378405708395566,0.11298585871919761,0.11127583606461158,-0.0686783113687166,-0.0686783113687166,-0.07323402571638078,-0.08290447782457376,-0.09581467594329038,-0.09665957046733141,-0.10015397939442852,-0.1092801934544946,-0.12126967423989868,-0.16090031245748637
valuating,0.13222162869128543,1.0,0.5786169890760454,0.44310604648933266,0.5721276059584346,0.4177792958207208,0.4736766664720233,0.7011888988676616,0.5441483962692063,0.5696436343655576,0.4295841885142838,-0.09641771640769413,-0.09641771640769413,-0.3725688918662694,-0.19309430892593615,-0.4310049517476145,-0.37886780016452476,-0.15761831811631502,-0.09778124368527226,-0.36494379046406555,-0.4118975903028876
nnatürlich,0.1299027680426612,0.5786169890760454,1.0,0.691237836653252,0.7014490473750702,0.7081081529986119,0.6914213850899611,0.6068631200089487,0.6503352606202626,0.5545523691999004,0.6247563240715472,-0.1447013313731665,-0.1447013313731665,-0.14142551471225878,-0.010697326269977391,-0.3905659084468523,-0.26443767261692314,-0.21640480795853223,-0.3617296178229194,-0.45594754303230906,-0.49404871440873155
utside,0.12634503696054672,0.44310604648933266,0.691237836653252,1.0,0.7323949117408726,0.6583462899298369,0.9018718340686136,0.57186004596292,0.7937600008689286,0.6533529505473447,0.6521580899473673,-0.17629245847005662,-0.17629245847005662,-0.37226275845435763,-0.07671890133828156,-0.5604030328299346,-0.45728898206721585,-0.25884940327132583,-0.4455682078398108,-0.5188569351843793,-0.5142936847206142
rotective,0.12083616714070505,0.5721276059584346,0.7014490473750702,0.7323949117408726,1.0,0.6271094371309719,0.7802611299722279,0.6739623858438392,0.7079903232671176,0.665286718540434,0.6716147602773465,-0.22388730213354735,-0.22388730213354735,-0.5057633251345783,-0.07442272072732137,-0.6103082755687255,-0.5377905844311481,-0.23835667548050393,-0.44369244790355683,-0.5143931596028267,-0.5205289102976962
restrictive,0.12047007906469649,0.4177792958207208,0.7081081529986119,0.6583462899298369,0.6271094371309719,1.0,0.6794672633677012,0.5472431398995805,0.7504629725459405,0.6732996054462045,0.8359137435560683,-0.1620229401088036,-0.1620229401088036,-0.23703466129644046,-0.00018804768246288172,-0.4993876246380211,-0.3579991890884154,-0.2972287560102802,-0.3258063886745399,-0.49358627202210287,-0.519397244637397
nside,0.11879014876256817,0.4736766664720233,0.6914213850899611,0.9018718340686136,0.7802611299722279,0.6794672633677012,1.0,0.6517193377938164,0.7774100479196279,0.7268911205206635,0.7290413973742779,-0.09891998643792382,-0.09891998643792382,-0.39590370101348155,-0.044186660851067004,-0.49483768355867713,-0.4046692232058688,-0.1963855468478381,-0.31119229115700736,-0.43984867418548756,-0.4704205018668102
ompliziert,0.11773515927500137,0.7011888988676616,0.6068631200089487,0.57186004596292,0.6739623858438392,0.5472431398995805,0.6517193377938164,1.0,0.7345507404833631,0.8248830812346962,0.7043332351147233,0.15558524327104378,0.15558524327104378,-0.4288066800181643,-0.05356242503226484,-0.3845257217145415,-0.349775017927027,0.066213594856912,-0.13094618654407444,-0.28978489008797426,-0.3680906663445563
mall,0.11378405708395566,0.5441483962692063,0.6503352606202626,0.7937600008689286,0.7079903232671176,0.7504629725459405,0.7774100479196279,0.7345507404833631,1.0,0.8126979239740878,0.770462647030501,-0.06586926083361809,-0.06586926083361809,-0.39127776764281214,-0.04237952426113815,-0.5705814084076624,-0.49019534789855335,-0.18122744468431273,-0.3379036207060813,-0.49795755212493575,-0.5064409502670473
achhaltig,0.11298585871919761,0.5696436343655576,0.5545523691999004,0.6533529505473447,0.665286718540434,0.6732996054462045,0.7268911205206635,0.8248830812346962,0.8126979239740878,1.0,0.8074071416034145,0.0041010971039782025,0.0041010971039782025,-0.4096398568378007,-0.13865644982255332,-0.42467440085524144,-0.3668601016011125,-0.08305175408808103,-0.06696072982489758,-0.3192440922913358,-0.3953263965280426
ncool,0.11127583606461158,0.4295841885142838,0.6247563240715472,0.6521580899473673,0.6716147602773465,0.8359137435560683,0.7290413973742779,0.7043332351147233,0.770462647030501,0.8074071416034145,1.0,-0.010191484069869883,-0.010191484069869883,-0.26880880667592366,0.06840049335437526,-0.4265111998075488,-0.3256661109792203,-0.103753758899407,-0.21008232152304157,-0.37530786808883915,-0.400291385314612
rts,-0.0686783113687166,-0.09641771640769413,-0.1447013313731665,-0.17629245847005662,-0.22388730213354735,-0.1620229401088036,-0.09891998643792382,0.15558524327104378,-0.06586926083361809,0.0041010971039782025,-0.010191484069869883,1.0,1.0,0.13010905620328236,0.5056876769628195,0.472276015572766,0.2949373672085848,0.8180424136985901,0.38742100498312143,0.4984160480881668,0.5437435378630443
rts,-0.0686783113687166,-0.09641771640769413,-0.1447013313731665,-0.17629245847005662,-0.22388730213354735,-0.1620229401088036,-0.09891998643792382,0.15558524327104378,-0.06586926083361809,0.0041010971039782025,-0.010191484069869883,1.0,1.0,0.13010905620328236,0.5056876769628195,0.472276015572766,0.2949373672085848,0.8180424136985901,0.38742100498312143,0.4984160480881668,0.5437435378630443
names,-0.07323402571638078,-0.3725688918662694,-0.14142551471225878,-0.37226275845435763,-0.5057633251345783,-0.23703466129644046,-0.39590370101348155,-0.4288066800181643,-0.39127776764281214,-0.4096398568378007,-0.26880880667592366,0.13010905620328236,0.13010905620328236,1.0,0.2817945924594927,0.7345692304386741,0.8154565210691205,0.1826487597134383,0.30409733899186664,0.3847524432878733,0.31761976177900897
instrument,-0.08290447782457376,-0.19309430892593615,-0.010697326269977391,-0.07671890133828156,-0.07442272072732137,-0.00018804768246288172,-0.044186660851067004,-0.05356242503226484,-0.04237952426113815,-0.13865644982255332,0.06840049335437526,0.5056876769628195,0.5056876769628195,0.2817945924594927,1.0,0.345942983462738,0.2954141316639975,0.4901342139024877,0.1595547102157598,0.31934772472800765,0.32421954733224717
names,-0.09581467594329038,-0.4310049517476145,-0.3905659084468523,-0.5604030328299346,-0.6103082755687255,-0.4993876246380211,-0.49483768355867713,-0.3845257217145415,-0.5705814084076624,-0.42467440085524144,-0.4265111998075488,0.472276015572766,0.472276015572766,0.7345692304386741,0.345942983462738,1.0,0.8995113053202616,0.5055572622101431,0.5694343985502928,0.7730985794543702,0.5753900891795314
names,-0.09665957046733141,-0.37886780016452476,-0.26443767261692314,-0.45728898206721585,-0.5377905844311481,-0.3579991890884154,-0.4046692232058688,-0.349775017927027,-0.49019534789855335,-0.3668601016011125,-0.3256661109792203,0.2949373672085848,0.2949373672085848,0.8154565210691205,0.2954141316639975,0.8995113053202616,1.0,0.3988860177546918,0.49815998540311834,0.6281897853771141,0.503813825490843
how,-0.10015397939442852,-0.15761831811631502,-0.21640480795853223,-0.25884940327132583,-0.23835667548050393,-0.2972287560102802,-0.1963855468478381,0.066213594856912,-0.18122744468431273,-0.08305175408808103,-0.103753758899407,0.8180424136985901,0.8180424136985901,0.1826487597134383,0.4901342139024877,0.5055572622101431,0.3988860177546918,1.0,0.44398324226521546,0.4876091597760587,0.808328912426748
inner,-0.1092801934544946,-0.09778124368527226,-0.3617296178229194,-0.4455682078398108,-0.44369244790355683,-0.3258063886745399,-0.31119229115700736,-0.13094618654407444,-0.3379036207060813,-0.06696072982489758,-0.21008232152304157,0.38742100498312143,0.38742100498312143,0.30409733899186664,0.1595547102157598,0.5694343985502928,0.49815998540311834,0.44398324226521546,1.0,0.6303485178196058,0.5643028055737036
names,-0.12126967423989868,-0.36494379046406555,-0.45594754303230906,-0.5188569351843793,-0.5143931596028267,-0.49358627202210287,-0.43984867418548756,-0.28978489008797426,-0.49795755212493575,-0.3192440922913358,-0.37530786808883915,0.4984160480881668,0.4984160480881668,0.3847524432878733,0.31934772472800765,0.7730985794543702,0.6281897853771141,0.4876091597760587,0.6303485178196058,1.0,0.5471455859246894
erformance,-0.16090031245748637,-0.4118975903028876,-0.49404871440873155,-0.5142936847206142,-0.5205289102976962,-0.519397244637397,-0.4704205018668102,-0.3680906663445563,-0.5064409502670473,-0.3953263965280426,-0.400291385314612,0.5437435378630443,0.5437435378630443,0.31761976177900897,0.32421954733224717,0.5753900891795314,0.503813825490843,0.808328912426748,0.5643028055737036,0.5471455859246894,1.0
