,success,xpensive,nsustainable,ew,odern,odern,ustainable,rachel,nnovative,old,ustainable,ale,emale,rts,rts,collar,names,names,ustig,riendship,names
success,1.0,0.15308080511297295,0.13418067921653942,0.12500806779623974,0.11519389634604991,0.11519389634604991,0.10914751238263799,0.10838289171128353,0.10838289171128353,0.10615703330505816,0.10553588096437286,-0.043132557545792545,-0.043972796445803645,-0.0483965427452935,-0.0483965427452935,-0.05222802216738071,-0.052791457982281804,-0.05452645854854639,-0.05761308752661699,-0.058858167318524994,-0.06490458240220813
xpensive,0.15308080511297295,1.0,0.41675311709168833,0.5487830166958285,0.5747556353157777,0.5747556353157777,0.6815760657869327,0.3707419272496884,0.3707419272496884,0.6338067248278683,0.6674889065244357,0.08396880327715871,0.07186537092694567,-0.0013951226127586955,-0.0013951226127586955,0.2511090562113458,-0.34592700841163626,-0.3708714216627044,0.10164513709114881,0.07535336331979076,-0.3610728498081073
nsustainable,0.13418067921653942,0.41675311709168833,1.0,0.5227997541045256,0.62838519323792,0.62838519323792,0.7660607723528081,0.6267837139392708,0.6267837139392708,0.6439803998300571,0.7828975497569417,0.000596774380727975,-0.07552162132999786,-0.05829767212382544,-0.05829767212382544,0.0029913489654400235,-0.16531522350078748,-0.22587109618897033,-0.05462341905809049,-0.24101408517519063,-0.2071000164574108
ew,0.12500806779623974,0.5487830166958285,0.5227997541045256,1.0,0.7919089629029472,0.7919089629029472,0.5282430079291152,0.431130005028297,0.431130005028297,0.5385656295417927,0.5509457439533888,0.16414591311519452,0.15170827432031928,0.17953345781999733,0.17953345781999733,0.02439530531591495,-0.05631351334076727,-0.07484873212085655,0.21613291196570633,0.12880622533626726,-0.11205445804137285
odern,0.11519389634604991,0.5747556353157777,0.62838519323792,0.7919089629029472,1.0,1.0,0.6862756616075923,0.5558464401341515,0.5558464401341515,0.664763820984226,0.7053594157499847,0.06206924439353635,0.06173860481608053,0.26337696889844964,0.26337696889844964,-0.021593059943724006,-0.23842759641584935,-0.21801225707103417,0.2926778572977787,0.023317909178707713,-0.19608537619815145
odern,0.11519389634604991,0.5747556353157777,0.62838519323792,0.7919089629029472,1.0,1.0,0.6862756616075923,0.5558464401341515,0.5558464401341515,0.664763820984226,0.7053594157499847,0.06206924439353635,0.06173860481608053,0.26337696889844964,0.26337696889844964,-0.021593059943724006,-0.23842759641584935,-0.21801225707103417,0.2926778572977787,0.023317909178707713,-0.19608537619815145
ustainable,0.10914751238263799,0.6815760657869327,0.7660607723528081,0.5282430079291152,0.6862756616075923,0.6862756616075923,1.0,0.6117034186569139,0.6117034186569139,0.845047942601867,0.9783530930861287,0.05451798440715432,0.03691980993734649,0.03133497606093219,0.03133497606093219,0.07712265396790398,-0.3992415175268998,-0.425361355305443,0.17647345538168646,-0.012545395107909198,-0.3556876068772413
rachel,0.10838289171128353,0.3707419272496884,0.6267837139392708,0.431130005028297,0.5558464401341515,0.5558464401341515,0.6117034186569139,1.0,1.0,0.6749061231966218,0.5732868023466319,-0.3927693757687379,-0.43430070357109735,-0.14227113499764046,-0.14227113499764046,-0.04761122330342246,-0.23009256366715047,-0.28363188949962703,-0.11346797379376553,-0.4451386089971351,-0.36443590024537964
nnovative,0.10838289171128353,0.3707419272496884,0.6267837139392708,0.431130005028297,0.5558464401341515,0.5558464401341515,0.6117034186569139,1.0,1.0,0.6749061231966218,0.5732868023466319,-0.3927693757687379,-0.43430070357109735,-0.14227113499764046,-0.14227113499764046,-0.04761122330342246,-0.23009256366715047,-0.28363188949962703,-0.11346797379376553,-0.4451386089971351,-0.36443590024537964
old,0.10615703330505816,0.6338067248278683,0.6439803998300571,0.5385656295417927,0.664763820984226,0.664763820984226,0.845047942601867,0.6749061231966218,0.6749061231966218,1.0,0.8128554619917611,0.02813790584289795,0.020439743871619412,-3.097941333763125e-05,-3.097941333763125e-05,0.09416294605593331,-0.31859937793777166,-0.3806602311867062,0.23869465165959408,-0.02783922209730592,-0.3725824468606081
ustainable,0.10553588096437286,0.6674889065244357,0.7828975497569417,0.5509457439533888,0.7053594157499847,0.7053594157499847,0.9783530930861287,0.5732868023466319,0.5732868023466319,0.8128554619917611,1.0,0.07959228321975932,0.05049726930552893,-0.01870807997647616,-0.01870807997647616,0.10566915317359875,-0.4273464214897454,-0.4623174306799837,0.14740794755760206,-0.01613242418044613,-0.3763646840717955
ale,-0.043132557545792545,0.08396880327715871,0.000596774380727975,0.16414591311519452,0.06206924439353635,0.06206924439353635,0.05451798440715432,-0.3927693757687379,-0.3927693757687379,0.02813790584289795,0.07959228321975932,1.0,0.932134528550361,0.4966943246263093,0.4966943246263093,0.22195207368821174,0.3589680516167324,0.3909284368564872,0.5326996168252603,0.7613210064900016,0.45738405348237055
emale,-0.043972796445803645,0.07186537092694567,-0.07552162132999786,0.15170827432031928,0.06173860481608053,0.06173860481608053,0.03691980993734649,-0.43430070357109735,-0.43430070357109735,0.020439743871619412,0.05049726930552893,0.932134528550361,1.0,0.5544332093958448,0.5544332093958448,0.09893598129045601,0.3286839236220642,0.40012276596671664,0.6042089436282998,0.8202709083586371,0.4642806296402679
