,success,xpensive,nside,utside,ustainable,live,ustainable,aluable,positive,ig,achhaltig,emale,instrument,riendship,erformance,usic,names,rust,names,names,names
success,1.0,0.16999252414061608,0.15067864191131108,0.15047324757695535,0.1495532768742207,0.1475248178151034,0.14368140748574285,0.14246371322593682,0.14238934103012,0.1406534260196343,0.13856260578554702,-0.036384985048029415,-0.03718700971544026,-0.038357935871045495,-0.042845001524628175,-0.06502385610515403,-0.08389548557623437,-0.09295221663106568,-0.11057284597686204,-0.11783035227567118,-0.11868383945015597
xpensive,0.16999252414061608,1.0,0.629571600694581,0.6111600742053384,0.7521322942999348,0.6291397881420155,0.7312122466782538,0.7160746733878618,0.7101417163872652,0.7579311318269888,0.6454826329128094,0.20085745710687117,0.07922353042594663,0.2045668009089638,-0.14105415709770663,0.07618521561676692,-0.3069122365189088,-0.5670359562761947,-0.31011383166979367,-0.3792334909033162,-0.32350667530353977
nside,0.15067864191131108,0.629571600694581,1.0,0.9064983009756284,0.7737731445505477,0.7007909574382437,0.7956591675778718,0.7154133529010914,0.7578805917535391,0.7621904773137104,0.7829026390692954,0.104794302938649,-0.027876955558591664,0.032550251863591555,-0.39974601710408025,-0.024023168482554022,-0.4753818192100047,-0.5927786171685929,-0.5411644502304207,-0.4903972019846456,-0.49095439590426276
utside,0.15047324757695535,0.6111600742053384,0.9064983009756284,1.0,0.740560209229823,0.6532646470956501,0.7514871472083455,0.6288008568689668,0.7072901965712095,0.6733487203302949,0.7048600027031949,-0.025369401568950452,-0.04914888090965852,-0.08806168855649911,-0.44805529029784996,-0.08915961478299865,-0.5411679625553749,-0.48540882275114816,-0.5959984152604161,-0.48865894975249313,-0.525051572772103
ustainable,0.1495532768742207,0.7521322942999348,0.7737731445505477,0.740560209229823,1.0,0.8824290352502618,0.9809746745681687,0.7836395054225449,0.8902274986163194,0.760492490388733,0.8027983424241205,0.18098477059516763,0.05861601774571909,0.1140551786191207,-0.26690370847658446,0.10799194031655193,-0.3185201154163772,-0.6203723964241521,-0.415568185514102,-0.4410808695975547,-0.4220310061732945
live,0.1475248178151034,0.6291397881420155,0.7007909574382437,0.6532646470956501,0.8824290352502618,1.0,0.8770429176969009,0.7136669217488035,0.8364954790560016,0.7486575025670947,0.8202994852267295,0.2317138159188918,0.1268883243208576,0.18828180192603933,-0.10553704176051543,0.24754857665409202,-0.25219257257988026,-0.6488667830603325,-0.3853652437881718,-0.43619210395075986,-0.3982603500953595
ustainable,0.14368140748574285,0.7312122466782538,0.7956591675778718,0.7514871472083455,0.9809746745681687,0.8770429176969009,1.0,0.8234600163127551,0.8865686807850979,0.7676782961102125,0.8627270877283555,0.19394072621851335,-0.022052751705647685,0.103011451759088,-0.31548764305142,0.0472854284609625,-0.3432558840859066,-0.645361161180287,-0.4563352451670394,-0.4773678989880862,-0.45485963209151675
aluable,0.14246371322593682,0.7160746733878618,0.7154133529010914,0.6288008568689668,0.7836395054225449,0.7136669217488035,0.8234600163127551,1.0,0.779495637041719,0.8067092601262025,0.840698097273282,0.3207698701328015,-0.04733211902319552,0.26194884200901286,-0.27087656002307436,0.028378127459230306,-0.3265984380715303,-0.6951052516198082,-0.4151966866643517,-0.48947465249710503,-0.40585745228655007
positive,0.14238934103012,0.7101417163872652,0.7578805917535391,0.7072901965712095,0.8902274986163194,0.8364954790560016,0.8865686807850979,0.779495637041719,1.0,0.7935021450061853,0.7886006762294078,0.34587894053671886,0.11978471344182641,0.2255699345224853,-0.22597546169676472,0.19348446285310042,-0.2925177339862753,-0.6508243470818981,-0.3508365882294864,-0.38042513352791796,-0.3713119102209283
ig,0.1406534260196343,0.7579311318269888,0.7621904773137104,0.6733487203302949,0.760492490388733,0.7486575025670947,0.7676782961102125,0.8067092601262025,0.7935021450061853,1.0,0.8056335002668629,0.35239854315554064,0.10742462479462879,0.3287663743403279,-0.12155113088350801,0.23504855261848276,-0.24393822838875648,-0.6953747979228527,-0.3041105358688846,-0.3399906256071667,-0.28086195876480113
