,success,argain,olkswagen,nnovative,rachel,old,utside,elow,rust,rotective,restrictive,ee,eaching,ustig,erformance,ulture,inner,names,how,rts,rts
success,1.0,0.08812850740255265,0.05794287512103542,0.05758170682809641,0.05758170682809641,0.05048276748038031,0.05003713851167319,0.048731131569541515,0.04872945341494077,0.04688964446256225,0.03969718120340246,-0.07262007435058089,-0.07364662157064984,-0.08519136677113685,-0.08576893497790514,-0.08763812893639178,-0.09143842607749372,-0.09309537417339875,-0.10842520244351041,-0.11039367802850064,-0.11039367802850064
argain,0.08812850740255265,1.0,0.1116239315276514,-0.17253062603623298,-0.17253062603623298,-0.29030569014632146,-0.15307794629305455,-0.06369802949352474,0.1390051916274074,-0.17370661550569236,-0.1462883459794419,-0.27387646878135596,-0.33735900727739626,-0.25472785621908994,-0.011877729074001144,-0.23151713993123327,-0.009646169524422512,-0.24355240435545905,-0.19239677078585507,-0.23897946826462857,-0.23897946826462857
olkswagen,0.05794287512103542,0.1116239315276514,1.0,0.023024244047539565,0.023024244047539565,-0.29560125959368805,-0.21841416761213345,-0.321122692517045,0.513297636616239,-0.31077601421901835,-0.2655876980227774,-0.5141393406660161,-0.5162215808501102,-0.5170954440624422,-0.03573824853835694,-0.403382095757255,-0.0975076752685281,-0.04833047489246384,-0.30047745709519613,-0.40042014812784793,-0.40042014812784793
nnovative,0.05758170682809641,-0.17253062603623298,0.023024244047539565,1.0,1.0,0.6768449265798017,0.44268636554262214,0.11878630907217105,-0.09715930990217791,0.4810736440108989,0.24308608735109086,0.0220167569051541,0.3352964434994467,-0.05198107072595121,-0.19101988178869925,0.21268841172704686,-0.2072695445640905,-0.3653223308547973,0.01071047504719604,-0.06395101904684848,-0.06395101904684848
rachel,0.05758170682809641,-0.17253062603623298,0.023024244047539565,1.0,1.0,0.6768449265798017,0.44268636554262214,0.11878630907217105,-0.09715930990217791,0.4810736440108989,0.24308608735109086,0.0220167569051541,0.3352964434994467,-0.05198107072595121,-0.19101988178869925,0.21268841172704686,-0.2072695445640905,-0.3653223308547973,0.01071047504719604,-0.06395101904684848,-0.06395101904684848
old,0.05048276748038031,-0.29030569014632146,-0.29560125959368805,0.6768449265798017,0.6768449265798017,1.0,0.7064696349237621,0.521951746814358,-0.4900872355407078,0.7326140781642868,0.6447098199680276,0.35451631688456936,0.6100911680653932,0.3298282779764539,-0.2944854129467691,0.31523562209464756,-0.1450173078600373,-0.35327143280282247,0.057715924434072086,0.10639011872256784,0.10639011872256784
utside,0.05003713851167319,-0.15307794629305455,-0.21841416761213345,0.44268636554262214,0.44268636554262214,0.7064696349237621,1.0,0.6666981569653723,-0.4890051857334059,0.7370936000021518,0.674390413093913,0.1499396172538323,0.4035217595494761,-0.003732414833131477,-0.42976037950210727,0.13646778779659371,-0.34587459353479544,-0.5104872151267625,-0.16363298501945386,-0.07772267691752982,-0.07772267691752982
elow,0.048731131569541515,-0.06369802949352474,-0.321122692517045,0.11878630907217105,0.11878630907217105,0.521951746814358,0.6666981569653723,1.0,-0.5694056455301014,0.5985451600229443,0.7310604117200747,0.2958587502155401,0.2901540171245644,0.18671987937038922,-0.47303592495755153,-0.07269181483076283,-0.2093842190270506,-0.42952753290986095,-0.2099389108168618,-0.051321774961513335,-0.051321774961513335
rust,0.04872945341494077,0.1390051916274074,0.513297636616239,-0.09715930990217791,-0.09715930990217791,-0.4900872355407078,-0.4890051857334059,-0.5694056455301014,1.0,-0.5004404832679331,-0.42852962528220634,-0.6327962960555192,-0.6441229962962596,-0.5717891270020881,0.10591996563845418,-0.5058033166071404,-0.23542640727976855,-0.026443300199389532,-0.23895444078581954,-0.4457348128893539,-0.4457348128893539
rotective,0.04688964446256225,-0.17370661550569236,-0.31077601421901835,0.4810736440108989,0.4810736440108989,0.7326140781642868,0.7370936000021518,0.5985451600229443,-0.5004404832679331,1.0,0.6441632141292647,0.21439173620899768,0.48146481361644616,0.1212845647489366,-0.42670175436979124,0.07732784307623367,-0.3054581394448413,-0.4557377689282625,-0.14777315830576443,-0.12307076507800778,-0.12307076507800778
restrictive,0.03969718120340246,-0.1462883459794419,-0.2655876980227774,0.24308608735109086,0.24308608735109086,0.6447098199680276,0.674390413093913,0.7310604117200747,-0.42852962528220634,0.6441632141292647,1.0,0.2031481685472412,0.3612507405546796,0.19836036518304062,-0.4816429789565494,-0.08403491357548697,-0.25880471681496514,-0.486223403986916,-0.23865637483900712,-0.11463837383005995,-0.11463837383005995
ee,-0.07262007435058089,-0.27387646878135596,-0.5141393406660161,0.0220167569051541,0.0220167569051541,0.35451631688456936,0.1499396172538323,0.2958587502155401,-0.6327962960555192,0.21439173620899768,0.2031481685472412,1.0,0.5803404301491639,0.709465154915885,0.4209952234862317,0.5847683362061138,0.4267757546319566,0.22977935378332195,0.6848455121333953,0.6575459053340297,0.6575459053340297
eaching,-0.07364662157064984,-0.33735900727739626,-0.5162215808501102,0.3352964434994467,0.3352964434994467,0.6100911680653932,0.4035217595494761,0.2901540171245644,-0.6441229962962596,0.48146481361644616,0.3612507405546796,0.5803404301491639,1.0,0.5133220753022771,-0.007378764072381196,0.6568041613097959,0.2529008399075287,0.02589561087555005,0.3277778412140676,0.49741448713071895,0.49741448713071895
ustig,-0.08519136677113685,-0.25472785621908994,-0.5170954440624422,-0.05198107072595121,-0.05198107072595121,0.3298282779764539,-0.003732414833131477,0.18671987937038922,-0.5717891270020881,0.1212845647489366,0.19836036518304062,0.709465154915885,0.5133220753022771,1.0,0.2668718786531973,0.48977670150972624,0.3255467548980638,0.29076761713404814,0.5609306683952561,0.6787199057931289,0.6787199057931289
erformance,-0.08576893497790514,-0.011877729074001144,-0.03573824853835694,-0.19101988178869925,-0.19101988178869925,-0.2944854129467691,-0.42976037950210727,-0.47303592495755153,0.10591996563845418,-0.42670175436979124,-0.4816429789565494,0.4209952234862317,-0.007378764072381196,0.2668718786531973,1.0,0.48168868042274987,0.5113328417213879,0.4973726583871991,0.8170273706986213,0.5267492174648218,0.5267492174648218
ulture,-0.08763812893639178,-0.23151713993123327,-0.403382095757255,0.21268841172704686,0.21268841172704686,0.31523562209464756,0.13646778779659371,-0.07269181483076283,-0.5058033166071404,0.07732784307623367,-0.08403491357548697,0.5847683362061138,0.6568041613097959,0.48977670150972624,0.48168868042274987,1.0,0.4247325818132538,0.29744567500598834,0.7026674291368291,0.7908356032237306,0.7908356032237306
inner,-0.09143842607749372,-0.009646169524422512,-0.0975076752685281,-0.2072695445640905,-0.2072695445640905,-0.1450173078600373,-0.34587459353479544,-0.2093842190270506,-0.23542640727976855,-0.3054581394448413,-0.25880471681496514,0.4267757546319566,0.2529008399075287,0.3255467548980638,0.5113328417213879,0.4247325818132538,1.0,0.5482730169779441,0.4699147016652711,0.4476351769185456,0.4476351769185456
names,-0.09309537417339875,-0.24355240435545905,-0.04833047489246384,-0.3653223308547973,-0.3653223308547973,-0.35327143280282247,-0.5104872151267625,-0.42952753290986095,-0.026443300199389532,-0.4557377689282625,-0.486223403986916,0.22977935378332195,0.02589561087555005,0.29076761713404814,0.4973726583871991,0.29744567500598834,0.5482730169779441,1.0,0.4464647691575103,0.4680476574700711,0.4680476574700711
how,-0.10842520244351041,-0.19239677078585507,-0.30047745709519613,0.01071047504719604,0.01071047504719604,0.057715924434072086,-0.16363298501945386,-0.2099389108168618,-0.23895444078581954,-0.14777315830576443,-0.23865637483900712,0.6848455121333953,0.3277778412140676,0.5609306683952561,0.8170273706986213,0.7026674291368291,0.4699147016652711,0.4464647691575103,1.0,0.7955449219436799,0.7955449219436799
rts,-0.11039367802850064,-0.23897946826462857,-0.40042014812784793,-0.06395101904684848,-0.06395101904684848,0.10639011872256784,-0.07772267691752982,-0.051321774961513335,-0.4457348128893539,-0.12307076507800778,-0.11463837383005995,0.6575459053340297,0.49741448713071895,0.6787199057931289,0.5267492174648218,0.7908356032237306,0.4476351769185456,0.4680476574700711,0.7955449219436799,1.0,1.0
rts,-0.11039367802850064,-0.23897946826462857,-0.40042014812784793,-0.06395101904684848,-0.06395101904684848,0.10639011872256784,-0.07772267691752982,-0.051321774961513335,-0.4457348128893539,-0.12307076507800778,-0.11463837383005995,0.6575459053340297,0.49741448713071895,0.6787199057931289,0.5267492174648218,0.7908356032237306,0.4476351769185456,0.4680476574700711,0.7955449219436799,1.0,1.0
