,success,rust,names,ltmodisch,asic,names,names,eapon,olkswagen,usic,restrictive,aluable,rustworthy,areer,heHero,esponsible,escriptive,heSage,ompliziert,heRuler,valuating
success,1.0,0.14282946807641686,0.12074646220223577,0.11268860282753514,0.1010668248860123,0.05258165832750921,0.041677082679063795,0.035177846020059945,0.03430337897880599,0.028942230140260233,0.024977516738705678,-0.16845065014116406,-0.16948344982531274,-0.17173490827069599,-0.17247422164710108,-0.17312461998700784,-0.17592499478581297,-0.18044130713511497,-0.1921563634075745,-0.19405760270933145,-0.19808259231327688
rust,0.14282946807641686,1.0,0.4178629962474416,0.04320664980923081,-0.41876979723028435,0.21517836251548075,0.3161594965642968,-0.24287553911229212,0.413591816428746,-0.1381628857471802,-0.37365740052993296,-0.6936717782530949,-0.6260490938447204,-0.6108229970427331,-0.6009443310799633,-0.5497884477833382,-0.26166473787127614,-0.5087129723842896,-0.6151021438814525,-0.43312222316664734,-0.36674139568205055
names,0.12074646220223577,0.4178629962474416,1.0,0.40692197573322636,0.05492728801766334,0.7388357569306258,0.7981806764393189,0.04616711971066534,0.3106239295174409,0.4079579065503027,-0.2700610567148734,-0.49969792905133276,-0.3224464487925802,-0.4562484763014499,-0.14271223284728338,-0.39892250228163895,-0.2959761370447696,-0.20268332095793817,-0.47273669037086474,-0.17513102612928752,-0.41141390371623215
ltmodisch,0.11268860282753514,0.04320664980923081,0.40692197573322636,1.0,0.219166591028152,0.4220549968127731,0.28670548177825084,0.012825503096383277,0.09196446121068104,0.4640195836295177,-0.2301689246584441,-0.2144499024004267,-0.16862821996005875,-0.3838500219435178,-0.0764074832788959,-0.3820823079099449,0.1557918195590909,-0.08821529993047768,-0.15155853799057703,-0.17255874800214346,-0.24373319639187338
asic,0.1010668248860123,-0.41876979723028435,0.05492728801766334,0.219166591028152,1.0,0.1019522589271082,0.023447907871004484,0.3606393300185642,-0.18856741274347955,0.3304116844255356,0.4050482109995214,0.13413671363608182,0.031712871693526594,-0.026037950040476408,0.14268425890954103,-0.09926919227185244,-0.19125078852256414,-0.08882815377924752,0.023057724850431623,-0.12996540715989402,-0.1518006505631309
names,0.05258165832750921,0.21517836251548075,0.7388357569306258,0.4220549968127731,0.1019522589271082,1.0,0.8992675174477577,-0.18211829562654316,0.02816643447373055,0.46511051094738326,-0.507865824103536,-0.39181870136310054,-0.2308388933932579,-0.31278280994800284,0.10783194693548898,-0.34536246343921784,-0.20906097623032052,-0.006702248672536024,-0.39469126463798565,-0.08739287376891086,-0.45733979860999846
names,0.041677082679063795,0.3161594965642968,0.7981806764393189,0.28670548177825084,0.023447907871004484,0.8992675174477577,1.0,-0.095223744648405,0.08941045449954232,0.43627434530383574,-0.3903629652224429,-0.3808204472478722,-0.19001847534412863,-0.30479967480966735,0.07989844016088543,-0.28070889504516344,-0.23888721710260563,-0.01792052566551332,-0.37141441388804014,-0.03131447399877976,-0.4022797864512775
eapon,0.035177846020059945,-0.24287553911229212,0.04616711971066534,0.012825503096383277,0.3606393300185642,-0.18211829562654316,-0.095223744648405,1.0,0.1690672569009078,0.12414422506302131,0.48612588855663075,0.09952759140120958,0.03737749690189198,-0.024249081180460107,-0.013070972971245645,0.0449241292034254,-0.0318824913183776,-0.09664191377175607,0.10282023544423305,0.029604775240749497,0.06446311921095985
olkswagen,0.03430337897880599,0.413591816428746,0.3106239295174409,0.09196446121068104,-0.18856741274347955,0.02816643447373055,0.08941045449954232,0.1690672569009078,1.0,-0.16178534421133842,-0.16928449130275158,-0.4518849982461924,-0.4013323800228202,-0.429160199547803,-0.4302613566759296,-0.35611910047453676,-0.2593850505245433,-0.41784492045276495,-0.39872742907897435,-0.20689920801073006,-0.21885023108441962
usic,0.028942230140260233,-0.1381628857471802,0.4079579065503027,0.4640195836295177,0.3304116844255356,0.46511051094738326,0.43627434530383574,0.12414422506302131,-0.16178534421133842,1.0,-0.011325714300417615,-0.02314502308225464,0.07558368161592154,-0.06463855796718787,0.38515552490047283,-0.10771023177118204,0.13740668223959351,0.17574152364761428,0.020196297854221158,0.10798861634741003,-0.12403912777081223
restrictive,0.024977516738705678,-0.37365740052993296,-0.2700610567148734,-0.2301689246584441,0.4050482109995214,-0.507865824103536,-0.3903629652224429,0.48612588855663075,-0.16928449130275158,-0.011325714300417615,1.0,0.4840153899868798,0.410856472284718,0.3480024833742919,0.1198764971183926,0.41923338958464273,0.1483503315433738,0.16216497135460192,0.4906660236678179,0.22325713666993877,0.3994767611969311
aluable,-0.16845065014116406,-0.6936717782530949,-0.49969792905133276,-0.2144499024004267,0.13413671363608182,-0.39181870136310054,-0.3808204472478722,0.09952759140120958,-0.4518849982461924,-0.02314502308225464,0.4840153899868798,1.0,0.8634017058801242,0.8073681373365615,0.6520436156483476,0.7821752274747871,0.41240081988778426,0.6961067160346699,0.8438805192803752,0.6549740883816828,0.6008713564399688
rustworthy,-0.16948344982531274,-0.6260490938447204,-0.3224464487925802,-0.16862821996005875,0.031712871693526594,-0.2308388933932579,-0.19001847534412863,0.03737749690189198,-0.4013323800228202,0.07558368161592154,0.410856472284718,0.8634017058801242,1.0,0.8409007497216734,0.7921485902979503,0.8546262618208181,0.4701764638468691,0.8500695203970677,0.8904642445154085,0.8017246434667628,0.6425206434230861
areer,-0.17173490827069599,-0.6108229970427331,-0.4562484763014499,-0.3838500219435178,-0.026037950040476408,-0.31278280994800284,-0.30479967480966735,-0.024249081180460107,-0.429160199547803,-0.06463855796718787,0.3480024833742919,0.8073681373365615,0.8409007497216734,1.0,0.7253250817551612,0.8316812933499315,0.35702434424339924,0.8030226466935388,0.7675599115633168,0.7968349863824631,0.5483616850776077
heHero,-0.17247422164710108,-0.6009443310799633,-0.14271223284728338,-0.0764074832788959,0.14268425890954103,0.10783194693548898,0.07989844016088543,-0.013070972971245645,-0.4302613566759296,0.38515552490047283,0.1198764971183926,0.6520436156483476,0.7921485902979503,0.7253250817551612,1.0,0.6091751950684355,0.31482232988726033,0.7964705421422192,0.6503791341648562,0.7509195787198639,0.37184711654679725
esponsible,-0.17312461998700784,-0.5497884477833382,-0.39892250228163895,-0.3820823079099449,-0.09926919227185244,-0.34536246343921784,-0.28070889504516344,0.0449241292034254,-0.35611910047453676,-0.10771023177118204,0.41923338958464273,0.7821752274747871,0.8546262618208181,0.8316812933499315,0.6091751950684355,1.0,0.40878182335318813,0.719163812618576,0.7908843050830877,0.7640669818076834,0.6762834590584177
escriptive,-0.17592499478581297,-0.26166473787127614,-0.2959761370447696,0.1557918195590909,-0.19125078852256414,-0.20906097623032052,-0.23888721710260563,-0.0318824913183776,-0.2593850505245433,0.13740668223959351,0.1483503315433738,0.41240081988778426,0.4701764638468691,0.35702434424339924,0.31482232988726033,0.40878182335318813,1.0,0.5794459462273267,0.6862249734470511,0.4711865012647922,0.5817913921077784
heSage,-0.18044130713511497,-0.5087129723842896,-0.20268332095793817,-0.08821529993047768,-0.08882815377924752,-0.006702248672536024,-0.01792052566551332,-0.09664191377175607,-0.41784492045276495,0.17574152364761428,0.16216497135460192,0.6961067160346699,0.8500695203970677,0.8030226466935388,0.7964705421422192,0.719163812618576,0.5794459462273267,1.0,0.7922237707080696,0.8280877785671145,0.5790709970080601
