,success,raditionell,arm,ntrustworthy,raditional,heInnocent,losed,ntroverted,rendy,ruel,asic,echnical,erformance,olkswagen,names,collar,argain,rust,names,inner,names
success,1.0,0.07201699174211626,0.06740366091960306,0.06545459843059827,0.06277538673804406,0.06119439342013566,0.060444135895166826,0.059729742419792765,0.058173032103627426,0.056679262217856054,0.05544702309021746,-0.005266896508471229,-0.0070720847955635475,-0.010837934149664923,-0.014782196826113427,-0.018741156263965806,-0.020219098826693878,-0.021838043416674457,-0.0221622102409899,-0.023592381962001623,-0.024571141130836045
raditionell,0.07201699174211626,1.0,0.6100585671663239,0.5494654596149208,0.605617955332365,0.6752960243070837,0.5980164952682441,0.6382028863144698,0.4650206895909526,0.5707921732922673,0.3937457656458214,-0.04463663674791846,-0.040844501822842154,-0.2523982802913291,0.18710702706738633,0.03044715119301174,-0.3700314262723464,-0.4996984895552864,0.12239443423076568,0.11737944006623076,0.1585462116025961
arm,0.06740366091960306,0.6100585671663239,1.0,0.5957203493371074,0.7053124340985535,0.8971112719027867,0.7556053407804137,0.7815854219298587,0.7202087923865278,0.8389899974788869,0.43052054107073995,0.34226698201392697,-0.0017642581666089312,-0.4498384295147189,-0.18929159416633845,0.026548767536979115,-0.28664910827706774,-0.6732442964924659,-0.09507588075326096,0.026018082618831973,-0.16213615848184443
ntrustworthy,0.06545459843059827,0.5494654596149208,0.5957203493371074,1.0,0.30366931324334334,0.6539317755405055,0.7699520252055179,0.707030260770844,0.3089242717627118,0.7615689385061973,0.2887412441011594,-0.002362019632737412,-0.22849316894432226,-0.42344742178834727,-0.24087173020539823,0.14922326148122794,-0.2501815135099949,-0.6175838646309049,-0.11779689180827596,-0.014697469224513246,-0.1711412215487242
raditional,0.06277538673804406,0.605617955332365,0.7053124340985535,0.30366931324334334,1.0,0.5879864674387768,0.5078156222353699,0.44673019415705084,0.7681894489792995,0.44430765422116886,0.29654051964755446,0.47616491295309005,0.04125882780468154,-0.14421964683987432,0.0016075481527393662,-0.03562074977191594,-0.3038117304711409,-0.3612184867120073,-0.1610892154331043,-0.1003017854863397,-0.08215834529817465
heInnocent,0.06119439342013566,0.6752960243070837,0.8971112719027867,0.6539317755405055,0.5879864674387768,1.0,0.7636698049994122,0.8162631621870037,0.6454420923609646,0.8743695489795925,0.35347128149244694,0.1862369154507716,-0.030244736615203327,-0.4470733007351441,-0.12134850313677185,0.08677387469021759,-0.3381066924573373,-0.7066393072075428,0.0059674475937624505,0.16560480392734617,-0.06439751487861263
losed,0.060444135895166826,0.5980164952682441,0.7556053407804137,0.7699520252055179,0.5078156222353699,0.7636698049994122,1.0,0.7558190901451367,0.463611047556133,0.8699865708085366,0.36711442249090326,0.2488451673117445,-0.37135659601478077,-0.40635454951263594,-0.2163047379896297,0.14513623562479686,-0.2896484925288402,-0.6577202351006479,-0.2919382436132609,-0.11152378544156173,-0.30204518779886647
ntroverted,0.059729742419792765,0.6382028863144698,0.7815854219298587,0.707030260770844,0.44673019415705084,0.8162631621870037,0.7558190901451367,1.0,0.536838799270747,0.8262861205544311,0.42399524220741236,0.07546244894757434,-0.07076546622542526,-0.4671723604258468,-0.21359406259676866,0.1619999676488165,-0.261312007874975,-0.7593727409189395,0.061944248385478407,0.13375858308991317,-0.13865110799089175
rendy,0.058173032103627426,0.4650206895909526,0.7202087923865278,0.3089242717627118,0.7681894489792995,0.6454420923609646,0.463611047556133,0.536838799270747,1.0,0.5059869608366088,0.3297124800695001,0.23430325056612608,0.2457123647120535,-0.2351806242526836,-0.08088952510669066,-0.07785457910929426,-0.0896051407791569,-0.44923550581163707,-0.019317806263600565,0.14293362267538634,-0.04122825076081574
ruel,0.056679262217856054,0.5707921732922673,0.8389899974788869,0.7615689385061973,0.44430765422116886,0.8743695489795925,0.8699865708085366,0.8262861205544311,0.5059869608366088,1.0,0.4010166562347832,0.20156153464512322,-0.15396092570481396,-0.4898867816163508,-0.20091142261351566,0.16188879740218742,-0.29157511142131165,-0.713503424876483,-0.09249774406665759,0.04345546629204659,-0.1759657543122046
asic,0.05544702309021746,0.3937457656458214,0.43052054107073995,0.2887412441011594,0.29654051964755446,0.35347128149244694,0.36711442249090326,0.42399524220741236,0.3297124800695001,0.4010166562347832,1.0,-0.19757953050270513,0.08903081625712424,-0.1807439492245281,0.09276450550746228,-0.06778580394824661,-0.018457766594058945,-0.4157664928296205,0.18906367619357403,0.09416995312190739,0.061619915973402765
echnical,-0.005266896508471229,-0.04463663674791846,0.34226698201392697,-0.002362019632737412,0.47616491295309005,0.1862369154507716,0.2488451673117445,0.07546244894757434,0.23430325056612608,0.20156153464512322,-0.19757953050270513,1.0,-0.28308217117248063,0.03824754092393372,-0.241286214363361,0.27664406758722676,-0.24810259429268547,-0.08015814758790439,-0.3997748232525522,-0.38838458683438143,-0.3481613681299373
erformance,-0.0070720847955635475,-0.040844501822842154,-0.0017642581666089312,-0.22849316894432226,0.04125882780468154,-0.030244736615203327,-0.37135659601478077,-0.07076546622542526,0.2457123647120535,-0.15396092570481396,0.08903081625712424,-0.28308217117248063,1.0,-0.010372202520075665,0.2274454314145368,-0.11241452956439468,0.031137877000923363,0.04611887819805779,0.5043174362346513,0.5391599537498462,0.44625886346685606
olkswagen,-0.010837934149664923,-0.2523982802913291,-0.4498384295147189,-0.42344742178834727,-0.14421964683987432,-0.4470733007351441,-0.40635454951263594,-0.4671723604258468,-0.2351806242526836,-0.4898867816163508,-0.1807439492245281,0.03824754092393372,-0.010372202520075665,1.0,0.3683334609536978,0.19697760776649104,0.08068964156401447,0.4372371332717979,-0.022166961148719775,-0.061729537376380914,0.20973123925328904
names,-0.014782196826113427,0.18710702706738633,-0.18929159416633845,-0.24087173020539823,0.0016075481527393662,-0.12134850313677185,-0.2163047379896297,-0.21359406259676866,-0.08088952510669066,-0.20091142261351566,0.09276450550746228,-0.241286214363361,0.2274454314145368,0.3683334609536978,1.0,-0.14101188285226401,-0.21868049970571368,0.332878165913771,0.34878387272471845,0.22071171152044508,0.7860589687110415
collar,-0.018741156263965806,0.03044715119301174,0.026548767536979115,0.14922326148122794,-0.03562074977191594,0.08677387469021759,0.14513623562479686,0.1619999676488165,-0.07785457910929426,0.16188879740218742,-0.06778580394824661,0.27664406758722676,-0.11241452956439468,0.19697760776649104,-0.14101188285226401,1.0,-0.2520984106819398,-0.2632691150668525,0.08150163878057,0.02348092614272811,-0.057232312542860535
argain,-0.020219098826693878,-0.3700314262723464,-0.28664910827706774,-0.2501815135099949,-0.3038117304711409,-0.3381066924573373,-0.2896484925288402,-0.261312007874975,-0.0896051407791569,-0.29157511142131165,-0.018457766594058945,-0.24810259429268547,0.031137877000923363,0.08068964156401447,-0.21868049970571368,-0.2520984106819398,1.0,0.12085680871746855,-0.21013789567622884,0.03268834568680267,-0.28684405813993474
rust,-0.021838043416674457,-0.4996984895552864,-0.6732442964924659,-0.6175838646309049,-0.3612184867120073,-0.7066393072075428,-0.6577202351006479,-0.7593727409189395,-0.44923550581163707,-0.713503424876483,-0.4157664928296205,-0.08015814758790439,0.04611887819805779,0.4372371332717979,0.332878165913771,-0.2632691150668525,0.12085680871746855,1.0,-0.07886534104202325,-0.18316952203365638,0.24078534779309038
names,-0.0221622102409899,0.12239443423076568,-0.09507588075326096,-0.11779689180827596,-0.1610892154331043,0.0059674475937624505,-0.2919382436132609,0.061944248385478407,-0.019317806263600565,-0.09249774406665759,0.18906367619357403,-0.3997748232525522,0.5043174362346513,-0.022166961148719775,0.34878387272471845,0.08150163878057,-0.21013789567622884,-0.07886534104202325,1.0,0.5823818074354233,0.6204447472913897
inner,-0.023592381962001623,0.11737944006623076,0.026018082618831973,-0.014697469224513246,-0.1003017854863397,0.16560480392734617,-0.11152378544156173,0.13375858308991317,0.14293362267538634,0.04345546629204659,0.09416995312190739,-0.38838458683438143,0.5391599537498462,-0.061729537376380914,0.22071171152044508,0.02348092614272811,0.03268834568680267,-0.18316952203365638,0.5823818074354233,1.0,0.4500909569727074
names,-0.024571141130836045,0.1585462116025961,-0.16213615848184443,-0.1711412215487242,-0.08215834529817465,-0.06439751487861263,-0.30204518779886647,-0.13865110799089175,-0.04122825076081574,-0.1759657543122046,0.061619915973402765,-0.3481613681299373,0.44625886346685606,0.20973123925328904,0.7860589687110415,-0.057232312542860535,-0.28684405813993474,0.24078534779309038,0.6204447472913897,0.4500909569727074,1.0
