,success,asic,ool,atürlich,leasant,ltmodisch,eautiful,azy,raditionell,esign,losed,ee,heHero,heSage,heRuler,escriptive,valuating,erformance,names,collar,inner
success,1.0,0.1097680084719562,0.10498263680370937,0.0992157173948002,0.09753499438569749,0.09052941380480806,0.08503571808943963,0.0774988822813493,0.07543722075186535,0.07508124067536436,0.07437381293539108,-0.0535568803885409,-0.05860894953816049,-0.05982610886673346,-0.06121614277500064,-0.06769091542139948,-0.06809849102064124,-0.07406754846488553,-0.07488075378965423,-0.0774006030538135,-0.10550472787688174
asic,0.1097680084719562,1.0,0.5771454431931257,0.57034191643142,0.6409027366163995,0.25750220856578615,0.6255511749731041,0.3794034037128756,0.4391988492700178,0.3067750859165469,0.41541491755257537,0.31254317115779884,0.13996820174418842,-0.13491137341225837,-0.12924453122622437,-0.2507103184873787,-0.15229142991200514,0.04967049801359689,0.03220611010621317,-0.11352252241123634,0.12881934733887895
ool,0.10498263680370937,0.5771454431931257,1.0,0.776264047875748,0.8094102585524183,0.05606580119610388,0.763519045884883,0.8615201742493781,0.36790399678323044,0.6458526198015053,0.6957582976466643,0.3477334308708693,0.42388135882517003,0.24610776261121284,0.25024224185023025,0.11460990987394888,0.21682885678329022,-0.18633546558069355,-0.28661655810930853,0.03783197068164217,-0.08954435457864351
atürlich,0.0992157173948002,0.57034191643142,0.776264047875748,1.0,0.6535901753006313,0.1701370124914438,0.6572217828142899,0.7456085344428687,0.5519233737120324,0.724337536057014,0.7219976130732346,0.24971880620120523,0.4120878960886024,0.43072686936357873,0.42609284156586674,0.29450445920588314,0.4060642625183176,-0.28816305054573815,-0.3033553774974295,0.1256191905253975,-0.16717775118369574
leasant,0.09753499438569749,0.6409027366163995,0.8094102585524183,0.6535901753006313,1.0,0.20897154095658566,0.8424258617921444,0.6396930534725251,0.519419476559062,0.44840898870830626,0.5639583118994046,0.48978998650451233,0.5268125538050544,0.2857875707602101,0.1788838207986883,-0.058158581036258726,-0.028172248828226942,0.061208786808320065,-0.10615749877250603,0.24643271884262183,0.1895412189438272
ltmodisch,0.09052941380480806,0.25750220856578615,0.05606580119610388,0.1701370124914438,0.20897154095658566,1.0,0.4148387155258203,-0.11935044148257634,0.46643704552496806,0.30555144050523975,-0.04696565087812251,0.21732829310940535,-0.10106490724630095,-0.11373196117896055,-0.2065539266941604,0.0876741154568757,-0.2352557326563466,0.2733104606644384,0.2594223031893147,-0.061734273824735314,0.036866299872947116
eautiful,0.08503571808943963,0.6255511749731041,0.763519045884883,0.6572217828142899,0.8424258617921444,0.4148387155258203,1.0,0.5504447028850105,0.5386159669006498,0.5808521612836791,0.504186107061892,0.6049005058012781,0.4738358669362402,0.24222330508696108,0.145540225188342,0.09189027326567656,0.04383324860024762,0.1499126471914652,-0.03183520554989847,0.1966215086963507,0.18974585206852648
azy,0.0774988822813493,0.3794034037128756,0.8615201742493781,0.7456085344428687,0.6396930534725251,-0.11935044148257634,0.5504447028850105,1.0,0.37849190695657303,0.6474707864581701,0.8408895460217544,0.247187060837579,0.4034729929522291,0.3823366127256769,0.4067509706176274,0.28445537174465296,0.4685053047310936,-0.4427412234618709,-0.49317808326323465,0.08369009848256174,-0.260304163298293
raditionell,0.07543722075186535,0.4391988492700178,0.36790399678323044,0.5519233737120324,0.519419476559062,0.46643704552496806,0.5386159669006498,0.37849190695657303,1.0,0.33291988951989193,0.5560681200262207,0.4432714487565266,0.45388683875323294,0.41441251552420877,0.37005505651815945,0.15161893593228376,0.19400837242457988,-0.021283328644038813,0.13643088673414364,0.3080326753999214,0.17223775630363813
esign,0.07508124067536436,0.3067750859165469,0.6458526198015053,0.724337536057014,0.44840898870830626,0.30555144050523975,0.5808521612836791,0.6474707864581701,0.33291988951989193,1.0,0.6241820429645775,0.1907344526477316,0.2623076526231083,0.33180423157208594,0.41644340163485155,0.4792562363648622,0.42373240692490544,-0.27007207201935457,-0.3240815992718866,0.015109736737249224,-0.297216864619003
losed,0.07437381293539108,0.41541491755257537,0.6957582976466643,0.7219976130732346,0.5639583118994046,-0.04696565087812251,0.504186107061892,0.8408895460217544,0.5560681200262207,0.6241820429645775,1.0,0.3464861715529878,0.42483183679547276,0.45354681877458247,0.47948545255919983,0.30063658524019427,0.5628274938904757,-0.47362892934370476,-0.3829279364667849,0.1285177996523413,-0.1817889039007226
ee,-0.0535568803885409,0.31254317115779884,0.3477334308708693,0.24971880620120523,0.48978998650451233,0.21732829310940535,0.6049005058012781,0.247187060837579,0.4432714487565266,0.1907344526477316,0.3464861715529878,1.0,0.585459679960512,0.38187408480430235,0.2446112234191565,0.19349442558865915,0.15429079888673966,0.4997817712904858,0.19723420266107905,0.288705613272792,0.4492054352429403
heHero,-0.05860894953816049,0.13996820174418842,0.42388135882517003,0.4120878960886024,0.5268125538050544,-0.10106490724630095,0.4738358669362402,0.4034729929522291,0.45388683875323294,0.2623076526231083,0.42483183679547276,0.585459679960512,1.0,0.7524814400634161,0.7288176700844536,0.24783884228403144,0.2981607637369445,0.23826295259573693,0.15424372452757215,0.5964964085161772,0.5795630527577178
heSage,-0.05982610886673346,-0.13491137341225837,0.24610776261121284,0.43072686936357873,0.2857875707602101,-0.11373196117896055,0.24222330508696108,0.3823366127256769,0.41441251552420877,0.33180423157208594,0.45354681877458247,0.38187408480430235,0.7524814400634161,1.0,0.8240470956318349,0.5576873723968673,0.5562393891326429,-0.08663249253597813,-0.011550861852188453,0.7041746833804976,0.12981297769914127
heRuler,-0.06121614277500064,-0.12924453122622437,0.25024224185023025,0.42609284156586674,0.1788838207986883,-0.2065539266941604,0.145540225188342,0.4067509706176274,0.37005505651815945,0.41644340163485155,0.47948545255919983,0.2446112234191565,0.7288176700844536,0.8240470956318349,1.0,0.48757121598094916,0.5923830732376432,-0.16528724458813443,-0.01350838813713443,0.5090434279141905,0.15191319261946423
escriptive,-0.06769091542139948,-0.2507103184873787,0.11460990987394888,0.29450445920588314,-0.058158581036258726,0.0876741154568757,0.09189027326567656,0.28445537174465296,0.15161893593228376,0.4792562363648622,0.30063658524019427,0.19349442558865915,0.24783884228403144,0.5576873723968673,0.48757121598094916,1.0,0.624112306579085,-0.17755800224928409,-0.285076684404761,0.09169625438987737,-0.2699622490104904
