,success,ool,leasant,leasant,names,emale,eautiful,ntroverted,live,azy,ktiv,lectric,nnatürlich,eapon,raditional,echnical,argain,aluable,rotective,ead,valuating
success,1.0,0.04400223141363506,0.04317796476833168,0.04308001719717468,0.04030814736815582,0.03603905481848553,0.03280438327144452,0.030699574560350117,0.02977575459935634,0.02957983069433598,0.028179663289605358,-0.023333237587049895,-0.02502255191644799,-0.02605118670333249,-0.02712714597203443,-0.0281313843765932,-0.03174239489695856,-0.03518959166575694,-0.036144972402306644,-0.040136996670306055,-0.04965451322841488
ool,0.04400223141363506,1.0,0.8463241484185209,0.7114574522564193,-0.10084140793381416,0.4206817048361762,0.7967499076763004,0.7155597060030546,0.726324333795128,0.8607359400965109,0.5833970150398317,0.2920801989218341,0.2550850103073502,0.2024675232806006,0.49467870220905863,0.2946740500159709,-0.125863970480899,0.4697445935537852,0.3985418350456955,0.35231523477943977,0.10842270493676634
leasant,0.04317796476833168,0.8463241484185209,1.0,0.8962522090044353,0.10351422160671689,0.6583115650902057,0.8432676364463529,0.7694243312547845,0.5998891966824181,0.7205502366987012,0.5341484570753386,0.09516805920311856,0.055449046493697696,0.17720440374913227,0.4826644574910271,0.07130913461962847,-0.09293051860699925,0.4741779870400165,0.1595258540013159,0.3790302759341709,-0.02316933052986599
leasant,0.04308001719717468,0.7114574522564193,0.8962522090044353,1.0,0.2759549984689137,0.8032474810791074,0.7661752561835475,0.7804032927250117,0.5524958433179146,0.5914294659739526,0.5562761104446283,-0.09533001253426263,-0.021566815256237618,0.07103260551208884,0.39188959284301783,-0.09217096842950216,-0.143173636638395,0.49249478539739727,0.044429776545404344,0.37767324792711443,-0.021869664837402263
names,0.04030814736815582,-0.10084140793381416,0.10351422160671689,0.2759549984689137,1.0,0.44865087901309764,0.10904722317171645,0.05319111067809252,-0.221519976198418,-0.2675594019758083,0.014877963981120946,-0.470603556645807,-0.4138242365574089,-0.08921995315486927,-0.1321550338206259,-0.411848165121952,-0.24836354469683547,-0.3153339373412347,-0.493184251793507,-0.19552235308557148,-0.35522128562384364
emale,0.03603905481848553,0.4206817048361762,0.6583115650902057,0.8032474810791074,0.44865087901309764,1.0,0.531772498849452,0.6293051894623426,0.16501210067615912,0.32949304137633995,0.21488806968840055,-0.3625926051390299,-0.11818270198968926,0.23042627930589288,0.163534535534006,-0.38428408254071167,-0.16610903813133063,0.2260019854205068,-0.13262061276974937,0.27896803183405394,-0.16829764011854115
eautiful,0.03280438327144452,0.7967499076763004,0.8432676364463529,0.7661752561835475,0.10904722317171645,0.531772498849452,1.0,0.6861914831894781,0.562546594221459,0.6165471004177766,0.5149314396221751,0.02776253432106468,0.08916086674961253,0.08867857691329169,0.6306070356218446,0.12090470492125072,-0.13155272745531654,0.452772222907197,0.1635011438237694,0.3645888978472213,0.030589259801807243
ntroverted,0.030699574560350117,0.7155597060030546,0.7694243312547845,0.7804032927250117,0.05319111067809252,0.6293051894623426,0.6861914831894781,1.0,0.6403887667932099,0.8004492015231037,0.575799182725565,0.14378966729685416,0.2196782243678958,0.13664200900065815,0.4551514878678826,0.10379189680752206,-0.2294680412526584,0.6170326051451892,0.3190848769070481,0.6289439540211759,0.255759467378421
live,0.02977575459935634,0.726324333795128,0.5998891966824181,0.5524958433179146,-0.221519976198418,0.16501210067615912,0.562546594221459,0.6403887667932099,1.0,0.7787927899133199,0.8808881536113945,0.5712659749816947,0.39988851424558364,0.008925438297754953,0.5540597033471466,0.5695540591876179,-0.20665661584316064,0.6256703060881947,0.5126248143964607,0.40203180244243947,0.34443912542517735
azy,0.02957983069433598,0.8607359400965109,0.7205502366987012,0.5914294659739526,-0.2675594019758083,0.32949304137633995,0.6165471004177766,0.8004492015231037,0.7787927899133199,1.0,0.6015813934836246,0.4829591720112083,0.3810824559734567,0.2192600907417371,0.43790025439690666,0.4048584689393163,-0.17445896675841688,0.6338674041585318,0.5779321455082017,0.5495186703582615,0.3065480713933143
