,success,nnovative,rachel,old,esign,ew,mall,live,ndulgent,ool,nkompliziert,how,npleasant,inner,raditionell,collar,rts,rts,names,names,names
success,1.0,0.10896569399744087,0.10896569399744087,0.10611245304563043,0.09790438824972986,0.09759302149006165,0.09630781877306573,0.09483005338299473,0.09309142131708469,0.09241135995272738,0.088932300255586,-0.04169034144274776,-0.042438127764519176,-0.043401419449999736,-0.04619545920768515,-0.04751748148769169,-0.055794004974423085,-0.055794004974423085,-0.06211993842824925,-0.08169077028943844,-0.0845108679151422
nnovative,0.10896569399744087,1.0,1.0,0.6413529220265072,0.5676033558439619,0.37490951633731195,0.4154080870951093,0.49506205637118184,0.13845278686512488,0.17452121301134002,0.44539586553011756,-0.0692372682542848,-0.3143497111946667,-0.32012849590164627,-0.006105541505370344,0.012036463533293162,-0.1433922540655999,-0.1433922540655999,-0.18895705178493022,-0.33513008349494305,-0.2507119216111073
rachel,0.10896569399744087,1.0,1.0,0.6413529220265072,0.5676033558439619,0.37490951633731195,0.4154080870951093,0.49506205637118184,0.13845278686512488,0.17452121301134002,0.44539586553011756,-0.0692372682542848,-0.3143497111946667,-0.32012849590164627,-0.006105541505370344,0.012036463533293162,-0.1433922540655999,-0.1433922540655999,-0.18895705178493022,-0.33513008349494305,-0.2507119216111073
old,0.10611245304563043,0.6413529220265072,0.6413529220265072,1.0,0.8513384544954284,0.5099893426406442,0.8115116937391293,0.7339044800539108,0.5942105103052053,0.6846226004819753,0.8712799771345037,0.010656717206434355,0.20941704533261055,-0.2999539302358643,0.3527772363876914,0.21824664728992335,0.010799152938181565,0.010799152938181565,-0.2802801146060132,-0.3740333964391055,-0.36469066409410944
esign,0.09790438824972986,0.5676033558439619,0.5676033558439619,0.8513384544954284,1.0,0.4715495319582407,0.6496510188053147,0.6310808623972474,0.667560471320516,0.6424761422419063,0.7741254193612791,0.2072489819556982,0.10301003926174772,-0.2611901475317505,0.36214515201968434,0.11474153811937686,0.2157852853278072,0.2157852853278072,-0.1833139551935444,-0.2970038770646011,-0.21755193705508666
ew,0.09759302149006165,0.37490951633731195,0.37490951633731195,0.5099893426406442,0.4715495319582407,1.0,0.48262820050372873,0.6086223813860676,0.4821973098426419,0.4936278863673233,0.45532210947075996,0.23191978440049538,0.38131114911428726,0.147685243744082,0.4404078425104101,0.17887002458611556,0.23547761744651313,0.23547761744651313,0.009084114149467883,-0.06522365776918278,-0.015101608323470175
mall,0.09630781877306573,0.4154080870951093,0.4154080870951093,0.8115116937391293,0.6496510188053147,0.48262820050372873,1.0,0.6974739933967837,0.5831250236474221,0.6375222837414347,0.8218601558906062,-0.17562674174654036,0.38058193632372955,-0.293514024830018,0.37632163294250465,0.100784819322924,-0.10518898255823027,-0.10518898255823027,-0.45462663522704405,-0.49836153683535167,-0.5515780551543575
live,0.09483005338299473,0.49506205637118184,0.49506205637118184,0.7339044800539108,0.6310808623972474,0.6086223813860676,0.6974739933967837,1.0,0.5334150340540812,0.7198139117050839,0.6754439283778072,0.23072295042912855,0.32046371273454677,-0.09132972932114175,0.346862943153385,0.284738564114325,0.21998245716018022,0.21998245716018022,-0.26058995808641455,-0.20565974270777337,-0.2989281558995966
ndulgent,0.09309142131708469,0.13845278686512488,0.13845278686512488,0.5942105103052053,0.667560471320516,0.4821973098426419,0.5831250236474221,0.5334150340540812,1.0,0.7303684543080001,0.6884471881184717,0.29973681252557166,0.4180701911047426,0.06766629816948097,0.5140856013276409,0.09186713711536203,0.32535328861266277,0.32535328861266277,-0.12305120373960057,-0.12883542950948645,-0.1281488885052607
ool,0.09241135995272738,0.17452121301134002,0.17452121301134002,0.6846226004819753,0.6424761422419063,0.4936278863673233,0.6375222837414347,0.7198139117050839,0.7303684543080001,1.0,0.7199088235320036,0.18228219204299703,0.5134187343069276,-0.02108046169293101,0.4200582993564687,0.18699187014248853,0.23422737004947897,0.23422737004947897,-0.13349146727047212,-0.08969108022424321,-0.1583911954818307
