,success,ew,arm,ascination,heInnocent,eautiful,heCreator,odern,odern,ttractive,rendy,collar,instrument,valuating,restrictive,elow,eapon,rotective,collar,rust,argain
success,1.0,0.15145592525306545,0.13881404893768665,0.13468747521258212,0.1298092529457197,0.12807647048635448,0.1258269152392404,0.1240346159976354,0.1240346159976354,0.1235485465304477,0.12321998582748123,-0.0009786776496270256,-0.001152341080770445,-0.0029461413695302755,-0.004462593449189403,-0.011459373347357513,-0.017799436242961774,-0.01843645507625277,-0.03394488696323534,-0.04109979308314082,-0.06853021776406186
ew,0.15145592525306545,1.0,0.6448691490356301,0.5942170170312207,0.6319386951115605,0.472024425386672,0.6743227978467318,0.8125325742460013,0.8125325742460013,0.5979901372060618,0.6280861182634069,0.19484297573895143,-0.015292093914817345,0.22095868155356738,0.2080042636319373,0.13671413768636526,-0.0010674283394046628,0.1462896365363241,0.019691537945381733,-0.4161168367146132,-0.23167907831898946
arm,0.13881404893768665,0.6448691490356301,1.0,0.6789262044005812,0.8945911786161148,0.796725796141486,0.8048532361396853,0.7132801777189152,0.7132801777189152,0.8763997371360307,0.7074813597044414,0.3372136431702711,0.19140470328764989,0.2808865615197073,0.467634512736944,0.3344002331889931,0.10879057733267491,0.3440946315183577,-0.006056315061177104,-0.6406504710865843,-0.2770050083801112
ascination,0.13468747521258212,0.5942170170312207,0.6789262044005812,1.0,0.7038728504053808,0.681879836350585,0.8219980877006919,0.628546077634642,0.628546077634642,0.7607658735203546,0.7098236218409817,0.4309350125956813,0.2790243531187089,0.16304942172707143,-0.070785125621702,-0.13575056708175262,-0.15649314635336994,-0.07717633848271153,-0.12848124733596486,-0.43865097194245833,-0.31470990263264836
heInnocent,0.1298092529457197,0.6319386951115605,0.8945911786161148,0.7038728504053808,1.0,0.7222094344620026,0.8162759604921539,0.6739499608969637,0.6739499608969637,0.8062480033181314,0.6508532646091473,0.4553099253886196,0.13207877083567604,0.2735812956319101,0.40833058790327276,0.24122727988643142,0.06540489060211738,0.23849899530625446,0.02867030954954202,-0.6614618070111543,-0.32910042671315615
eautiful,0.12807647048635448,0.472024425386672,0.796725796141486,0.681879836350585,0.7222094344620026,1.0,0.5745866058982374,0.5048733215619158,0.5048733215619158,0.8496905033548046,0.742695898010269,0.19899823433122457,0.3184458846551276,0.0057734493311139504,0.2119880030259566,0.1770042728052219,0.09092744145765681,0.09508626820240439,-0.08227975897509918,-0.5789118286804337,-0.1446894647800749
heCreator,0.1258269152392404,0.6743227978467318,0.8048532361396853,0.8219980877006919,0.8162759604921539,0.5745866058982374,1.0,0.7229292386981135,0.7229292386981135,0.7367466407079688,0.6701093268530258,0.5157951531229963,0.259099497486042,0.3303025330353341,0.18412881892749755,0.014257017091129042,-0.05429740719186925,0.1731875696977615,0.0017493153210731767,-0.4797491916781259,-0.4369969905061988
odern,0.1240346159976354,0.8125325742460013,0.7132801777189152,0.628546077634642,0.6739499608969637,0.5048733215619158,0.7229292386981135,1.0,1.0,0.7262478407160238,0.7211800083836198,0.3196361994644118,-0.06131602453231824,0.40587935127566316,0.20982575683020135,0.13567650690995536,-0.17791285716891958,0.28169976773295585,-0.02085535608191583,-0.4969308884703976,-0.2037220181581391
odern,0.1240346159976354,0.8125325742460013,0.7132801777189152,0.628546077634642,0.6739499608969637,0.5048733215619158,0.7229292386981135,1.0,1.0,0.7262478407160238,0.7211800083836198,0.3196361994644118,-0.06131602453231824,0.40587935127566316,0.20982575683020135,0.13567650690995536,-0.17791285716891958,0.28169976773295585,-0.02085535608191583,-0.4969308884703976,-0.2037220181581391
ttractive,0.1235485465304477,0.5979901372060618,0.8763997371360307,0.7607658735203546,0.8062480033181314,0.8496905033548046,0.7367466407079688,0.7262478407160238,0.7262478407160238,1.0,0.7379558404569833,0.37889356878883224,0.14736703911503649,0.3830253086645204,0.34215255181581355,0.3079635706509321,0.0037550750439055156,0.3273679825229078,0.001756996300993081,-0.6550761601669897,-0.1774031653188903
rendy,0.12321998582748123,0.6280861182634069,0.7074813597044414,0.7098236218409817,0.6508532646091473,0.742695898010269,0.6701093268530258,0.7211800083836198,0.7211800083836198,0.7379558404569833,1.0,0.1721230566809647,0.28308303732025053,0.10483622173040266,0.14400410841785846,0.02731276935405356,0.026767561259536523,-0.004024314317023289,-0.15492538228243688,-0.4121788089938768,-0.09667449569326605
collar,-0.0009786776496270256,0.19484297573895143,0.3372136431702711,0.4309350125956813,0.4553099253886196,0.19899823433122457,0.5157951531229963,0.3196361994644118,0.3196361994644118,0.37889356878883224,0.1721230566809647,1.0,-0.02536263772255975,0.2540259605150256,-0.03578669188256727,-0.11897297357559806,-0.23446898062048935,0.15698098246322262,0.35039533327596195,-0.3510830961129778,-0.30765194642473326
