,success,ale,emale,amily,riendship,elow,bove,losed,eapon,ntrustworthy,raditionell,ath,nsustainable,nnovative,rachel,ktiv,how,cience,echnical,erformance,escriptive
success,1.0,0.09085487288646554,0.08650424921494819,0.07831910791813923,0.07801275794492785,0.07041602039017421,0.06433323895839488,0.055612528796857894,0.055158920240613536,0.05445222241795013,0.05388322488977236,-0.032391309951791264,-0.03512960996630257,-0.03801677080956558,-0.03801677080956558,-0.045553239481484244,-0.04948729866724221,-0.04962734840745936,-0.05686286285534737,-0.06078960151552162,-0.07052310051376179
ale,0.09085487288646554,1.0,0.9302612593725744,0.918943079647436,0.7746916973387141,0.16208258628337385,0.46441239700820447,0.4477343849320826,0.3109461667153058,0.49115185431174824,0.6036365604352637,0.2291365676559854,0.028075842720632887,-0.346812706262399,-0.346812706262399,0.2532195834385611,0.3188971527503649,0.0647979179631357,-0.3037947687536904,0.18848102400372846,-0.22328211080555188
emale,0.08650424921494819,0.9302612593725744,1.0,0.9431257339768452,0.8308953664322527,0.10677567199274925,0.3836355325013889,0.42262672524366207,0.20471361904848037,0.46659794766359514,0.5715192509993615,0.12206749415144341,-0.04369782990308288,-0.4074699515168995,-0.4074699515168995,0.262487364912695,0.3563916949976002,-0.022341971188748602,-0.39725297010148164,0.22851807082495165,-0.280596541906756
amily,0.07831910791813923,0.918943079647436,0.9431257339768452,1.0,0.8053391429153381,0.10494763233447352,0.4486000799133474,0.48585837122035463,0.11228486462300226,0.5149011945101305,0.5877006932587368,0.27297191725877595,0.15330193488713628,-0.3160639298614884,-0.3160639298614884,0.39272639260202724,0.33787335170623506,0.13407562109141083,-0.25822320050531894,0.1610032751349969,-0.15459770803903947
riendship,0.07801275794492785,0.7746916973387141,0.8308953664322527,0.8053391429153381,1.0,0.0970741289507039,0.3121393850746396,0.33983516365558714,0.21098651777704416,0.3955593583781444,0.4510827150559171,0.03921426734296233,-0.1207933113869643,-0.44649397623367487,-0.44649397623367487,0.23199317067234282,0.37893925105890197,-0.13685550738767188,-0.3994294599901809,0.28549074207787994,-0.23675033788076438
elow,0.07041602039017421,0.16208258628337385,0.10677567199274925,0.10494763233447352,0.0970741289507039,1.0,0.8190957829491697,0.6744358086758593,0.433230789772304,0.5666948447939028,0.17276292127559506,0.34038048863068515,0.09316109095414873,0.01871102801613976,0.01871102801613976,0.000863892026782923,-0.2796557674098759,0.05236464591723594,0.14853323607759697,-0.43765985505314625,0.19059687207252712
bove,0.06433323895839488,0.46441239700820447,0.3836355325013889,0.4486000799133474,0.3121393850746396,0.8190957829491697,1.0,0.7808603396815523,0.3297192824006761,0.7592539592189057,0.377957620114305,0.47359340877735595,0.2818966434427949,-0.05612950631389458,-0.05612950631389458,0.19434693640916967,-0.12009934232443946,0.2023365516836235,0.08302696285661194,-0.31616846840270624,0.13686784838140922
losed,0.055612528796857894,0.4477343849320826,0.42262672524366207,0.48585837122035463,0.33983516365558714,0.6744358086758593,0.7808603396815523,1.0,0.3310389193504469,0.7604747850380736,0.5974944443051703,0.4001142137742827,0.3694078988133151,0.13363955931263158,0.13363955931263158,0.3721101220852949,-0.06775581548308189,0.33007365990296295,0.2263287871017508,-0.352397063239774,0.16593972345070224
eapon,0.055158920240613536,0.3109461667153058,0.20471361904848037,0.11228486462300226,0.21098651777704416,0.433230789772304,0.3297192824006761,0.3310389193504469,1.0,0.233841674273081,0.13713832941175758,0.003996194059135326,-0.11441286280441476,-0.035993137605132834,-0.035993137605132834,-0.128011731894123,-0.08933975802623567,0.021428497491228965,0.1058226244888229,-0.11573618499967914,-0.09199491908353401
ntrustworthy,0.05445222241795013,0.49115185431174824,0.46659794766359514,0.5149011945101305,0.3955593583781444,0.5666948447939028,0.7592539592189057,0.7604747850380736,0.233841674273081,1.0,0.5169365951206764,0.32615041827748253,0.2440662483534571,-0.11762915759769713,-0.11762915759769713,0.2033605624658586,0.030153657793679744,0.18759325887417258,-0.0032597519255073704,-0.22030130201761608,0.1761053424013863
raditionell,0.05388322488977236,0.6036365604352637,0.5715192509993615,0.5877006932587368,0.4510827150559171,0.17276292127559506,0.377957620114305,0.5974944443051703,0.13713832941175758,0.5169365951206764,1.0,0.19055163154720609,0.1794409897570339,-0.013467518444811885,-0.013467518444811885,0.2960701244513233,0.2711975909139134,0.150908243547406,-0.0762521376303556,0.02005458390229413,0.1172415668931263
ath,-0.032391309951791264,0.2291365676559854,0.12206749415144341,0.27297191725877595,0.03921426734296233,0.34038048863068515,0.47359340877735595,0.4001142137742827,0.003996194059135326,0.32615041827748253,0.19055163154720609,1.0,0.40901259275956425,0.1802037471611655,0.1802037471611655,0.34051360597040237,-0.03954781205963761,0.4759395297925291,0.28761779640854607,-0.2374130119890029,0.42896530918308495
nsustainable,-0.03512960996630257,0.028075842720632887,-0.04369782990308288,0.15330193488713628,-0.1207933113869643,0.09316109095414873,0.2818966434427949,0.3694078988133151,-0.11441286280441476,0.2440662483534571,0.1794409897570339,0.40901259275956425,1.0,0.5570857467133141,0.5570857467133141,0.6205916061676199,0.07453208653707817,0.7358151971835335,0.6552916921336707,-0.14356806609338466,0.4589783116992607
