,success,dim_0_above,dim_1_african_names,dim_2_african_names_2004,dim_3_aktiv,dim_4_alive,dim_5_altmodisch,dim_6_arts,dim_7_arts_2,dim_8_bad,dim_9_basic,dim_10_beautiful,dim_11_below,dim_12_big,dim_13_blue_collar,dim_14_blunt,dim_15_career,dim_16_cheap,dim_17_children,dim_18_closed,dim_19_community,dim_20_cool,dim_21_cruel,dim_22_culture,dim_23_dead,dim_24_descriptive,dim_25_design,dim_26_destructive,dim_27_innovative,dim_28_responsible,dim_29_TheRebel,dim_30_appetitlich,dim_31_electric,dim_32_emotionally_stable,dim_33_ernst,dim_34_european_names,dim_35_evaluating,dim_36_expensive,dim_37_extraverted,dim_38_extrovert,dim_39_extroverted,dim_40_family,dim_41_fascination,dim_42_female,dim_43_friendship,dim_44_functionality,dim_45_healthy_positive,dim_46_healthy_restrictive,dim_47_impractical,dim_48_inaktiv,dim_49_winner,dim_50_indulgent,dim_51_cold,dim_52_innovative_rachel,dim_53_inside,dim_54_introverted,dim_55_kind,dim_56_kompliziert,dim_57_lazy,dim_58_lifestyle,dim_59_lustig,dim_60_male,dim_61_math,dim_62_modern,dim_63_modern_2,dim_64_music,dim_65_musical_instrument,dim_66_nachhaltig,dim_67_natürlich,dim_68_neurotic,dim_69_new,dim_70_diligent,dim_71_outside,dim_72_performance,dim_73_pleasant,dim_74_bargain,dim_75_polite,dim_76_power,dim_77_practical,dim_78_protective,dim_79_sympathisch,dim_80_safety,dim_81_science,dim_82_see,dim_83_show,dim_84_small,dim_85_sustainable,dim_86_sustainable_2,dim_87_attractive,dim_88_teaching,dim_89_technical,dim_90_TheCarer,dim_91_TheCitizen,dim_92_TheCreator,dim_93_TheExplorer,dim_94_TheHero,dim_95_TheInnocent,dim_96_TheJester,dim_97_open,dim_98_traditional,dim_99_TheRuler,dim_100_TheSage,dim_101_TheWizard,dim_102_traditionell,dim_103_trendy,dim_104_trust,dim_105_trustworthy,dim_106_ugly,dim_107_unappetitlich,dim_108_unattractive,dim_109_uncool,dim_110_unkompliziert,dim_111_unnatürlich,dim_112_unpleasant,dim_113_unsustainable,dim_114_unsustainable_2,dim_115_unsympathisch,dim_116_untrustworthy,dim_117_unwirksam,dim_118_valuable,dim_119_TheLover,dim_120_warm,dim_121_weapon,dim_122_white_collar,dim_123_white_names_1998,dim_124_pleasant_2,dim_125_volkswagen
success,1.0,0.07469236283082095,-0.041684284849284714,-0.0659937751202922,0.09189303347939218,0.1147473498734524,0.08328625452461667,0.12372278725156113,0.12372278725156113,0.08260016510567088,0.11136404852506561,0.15444865344070877,0.049241072791591727,0.13122859093665803,-0.0056694725030917445,0.0878791730740022,0.053849572421297065,0.12991278530089673,0.11645770744613067,0.11622868848620983,0.029281524725213275,0.13065262069015157,0.11897474101336834,0.11073146792730344,0.08587865666477912,0.012066554800757766,0.13449124439487145,0.038132469574562525,0.012527792734530628,0.03962390647601927,0.07398268494037859,0.14774163110687794,0.027341402267531106,0.10443529600575589,0.10207527945112135,-0.028858673233352058,0.012258781993323547,0.11355627355088814,0.10302375324392073,0.08423656342877571,0.09080709697115359,0.09203673119248335,0.12661203036322694,0.092738093728796,0.06291963879803752,,0.10742251008500488,0.05582474677725768,0.04950622580011699,0.05477236360182086,-0.027146501398211186,0.13650815080637288,0.0885941067049276,0.012527792734530628,0.05915944650141798,0.11301657620772941,0.11881396529020383,0.06508499001686352,0.103164290751786,0.14088154000974076,0.09893950310149921,0.07192803951532006,0.011092676166221616,0.08846940020318265,0.08846940020318265,0.06387088852546915,0.033510551887935204,0.07228351605857664,0.13181683476939768,0.051019665962382776,0.10351721931046808,0.07582090637106301,0.0650558243225562,-0.00408867023217992,0.13899710850507693,-0.008052881848908714,0.07489104732346812,0.0590077369011081,0.04298710231938717,0.028276072759075004,0.11299426620207842,,0.050373414778783855,0.10824671104857567,0.06554044395700043,0.08809339925765217,0.08839187947695588,0.09844124402328287,0.1447167241444466,0.08357282465957046,0.01564084325957575,0.07967205010605997,0.07108943836916867,0.12593907151148348,0.14532020066705456,0.06425326843626027,0.14414423680015861,0.10455956798690426,0.11675593528199008,0.0995221325409464,0.02350256853719541,0.04848520078807823,0.11805782817216046,0.08124566932242631,0.12915855641649307,-0.12130765712164435,0.06300039785339459,0.13742080296469641,0.1265192465970454,0.0952319019176006,0.07539536265836096,0.0964294059603066,0.013313265736662118,0.07894646210276902,0.03841660623201614,0.05318954574340064,0.07796639310620389,0.07601731048348767,0.050508112648369796,0.08599243541852711,0.0971531232180584,0.1434999523987125,0.04696151160095696,0.03911636021408393,-0.029052712490738597,0.16111719800798188,-0.0919204140643696
dim_0_above,0.07469236283082095,1.0,-0.40656336494552675,-0.3358138635821565,0.24755777595553094,0.45958814399617903,-0.3173092637156959,0.03588773794180327,0.03588773794180327,0.7205850007905092,0.30111679670788083,0.32586943548242137,0.8174586177663811,0.6324534908389546,0.26984868403453716,0.6493614525919891,0.5663649294370846,0.6171996952591337,0.4445763053407483,0.7795347547427673,0.3251605588160634,0.4719373505004009,0.729980564661036,0.0955484653564194,0.6026352655266762,0.1156506753095965,0.2642465799612135,0.5910430689339358,-0.047575984987914675,0.6305635282133735,0.3222480782754727,0.32989536122014124,0.2049746596199533,0.663874187786776,0.6927754760227234,-0.4026473857620634,0.40670208330160645,0.3628190465208126,0.47528234346819365,0.6063462923983666,0.543913085569202,0.4911242176121532,0.16403146200881563,0.4056366901322438,0.35352864864042904,,0.5256800357508099,0.6251029181099362,0.5811876882852925,0.5473476364200767,-0.010130557318834759,0.47275395538033144,0.4170687519859946,-0.047575984987914675,0.6644453027982617,0.6141058539908582,0.6110631871021466,0.5893522715558143,0.6340248498619183,0.4149589010842715,0.2553270224655447,0.4908044230875846,0.46988801810923253,0.38149331864678243,0.38149331864678243,0.011937303775487018,-0.12140294044052305,0.7178763505047231,0.4477463670930345,0.5119116226651557,0.3574323353870837,0.47674225330609876,0.5658072716340374,-0.320352691321825,0.44683457802121596,-0.15057510958964015,0.5258999031324434,0.5031910407012431,0.41009047420265793,0.5031686976757448,0.4846855134024881,,0.25380232615561515,0.3989735142323595,-0.12257494833258979,0.6135111062111983,0.5326006160085287,0.4509160373648545,0.48410401449371593,0.4563004687249325,0.09241160693625375,0.620145749550448,0.6876695785426452,0.35120199241026295,0.49528002291764056,0.4411376931872618,0.5843711044263277,0.6221695866971508,0.3723037142672234,0.21761801735499534,0.38563134520517095,0.4172159407923804,0.4903649522886483,0.36332478631746845,0.18818120246106085,-0.6662967046708601,0.6025952788542684,0.5344904821305986,0.5971755481669139,0.6298445463504087,0.6702048416059976,0.5765252692092999,0.34940711447177725,0.6541576032595519,0.3680594077984675,0.3183625723887837,0.48881009161299266,0.7415123913737519,0.7943571522065555,0.6459529671700982,0.4254680163769006,0.5478306103039152,0.32557141130958145,0.32954115507134446,-0.21990445829881694,0.45997406788627476,-0.4120073438414112
dim_1_african_names,-0.041684284849284714,-0.40656336494552675,1.0,0.7887713737725047,-0.30212242281262097,-0.4086510167439273,0.3576102231216468,0.17891057672515143,0.17891057672515143,-0.10069693999142455,-0.02695827705802471,-0.1921524585381025,-0.4243338891354519,-0.3193196731865042,-0.25895631935113667,-0.19888533825786398,-0.43439972653079645,-0.31190777969763067,-0.20250550173490667,-0.2946699421330143,-0.19643221846775483,-0.3321751591120401,-0.29462716261392635,-0.04849300626808607,-0.230712113663516,-0.20797705042114475,-0.26546226691968916,-0.2747726747348092,-0.10383680657214579,-0.36070846502689224,0.27856507384369267,-0.3236808540803027,-0.4003601626097296,-0.3759765802677027,-0.28368118382636526,0.7305833389448084,-0.3248491847216842,-0.3585328103176235,-0.42243549662679886,-0.372343669754137,-0.31779704907059353,-0.032096027449873984,-0.002626958640668138,0.11987969726032273,-0.07047794887603222,,-0.37354191423144806,-0.27906051938075954,-0.176287631591661,-0.45178176410633897,0.29230448845561446,-0.3385962728656724,-0.2886472417717485,-0.10383680657214579,-0.45648662629975045,-0.286215023732202,-0.33808028081919533,-0.4341844831072338,-0.46961634846026845,-0.05778887685759298,-0.02436506928144623,0.12576172810585798,-0.3105989039574132,-0.3250863280760276,-0.3250863280760276,0.35887974108313075,0.231059408674525,-0.46443412605829415,-0.26275238422498226,-0.19495056158880839,-0.09519717508571397,-0.41399080352194606,-0.43054095656369507,0.27693529093006397,-0.14959116241611092,-0.15613319793617356,-0.1899353906255601,-0.1828242159531848,-0.43718227351501165,-0.5350076577608529,-0.33227534806315084,,-0.15340261515623735,-0.06739437451477906,0.1881524618504488,-0.4402725627453313,-0.4471975636520917,-0.4106067561537749,-0.3627487678628037,-0.22163927725514268,-0.2895217053260951,-0.3281923711132791,-0.28351908975532214,-0.07933046633447496,-0.20874496661148895,-0.1135159238395864,-0.20594600711058808,-0.16527736813404223,-0.24337182165613833,-0.07779726132459627,-0.10399339462582027,-0.1652366557918054,-0.04001933198694723,0.11434216230288204,-0.10820726287248396,0.44964058362817994,-0.3030879310546281,-0.11159962367557408,-0.2912047791914562,-0.37026688267495655,-0.3271155344788979,-0.426501133683497,-0.10613849805356479,0.017629201294408457,-0.20754430490427467,-0.3357659271429848,-0.22415560196030684,-0.2844824064594766,-0.31994943622899774,-0.48282565254516585,-0.08914889411470321,-0.2831727559027161,0.08024231886425127,-0.15714261709868035,0.40324283380267795,-0.25221313616185864,0.3920306364899789
dim_2_african_names_2004,-0.0659937751202922,-0.3358138635821565,0.7887713737725047,1.0,-0.23314392425447977,-0.38518667293876957,0.21568684408417793,0.3104194783198389,0.3104194783198389,-0.10164952711844924,-0.04270605327185248,-0.09102929009491494,-0.4482462822355045,-0.2554482257783699,-0.16529753376128792,-0.0952697269849951,-0.3322592900696276,-0.31035697267570983,-0.10979518039211157,-0.3609647512362499,-0.05608582350070929,-0.30446901653744324,-0.2446964026871442,0.11837364535709521,-0.25369936338792015,-0.20225177982838893,-0.2984037106627805,-0.34607741468218683,-0.20590141746522794,-0.31475119904028404,0.35462002143198673,-0.19891987228133146,-0.513290694626223,-0.34746309940734066,-0.2958557428682573,0.885328755705787,-0.37014822649545653,-0.32875194951343495,-0.34273386373868675,-0.27446181443691,-0.23283962634766858,0.11155188334287228,0.13422191774867187,0.25632343643221184,0.0876651476054074,,-0.3642828994840726,-0.409919743054,-0.16375993054763283,-0.4686465634248343,0.47914771262852496,-0.2768203034208107,-0.3545491288806132,-0.20590141746522794,-0.47756151903145205,-0.21861219297833354,-0.2786997525543516,-0.3834023840428742,-0.4717430054754197,0.024533235161217134,0.04926723425599189,0.2474305249110396,-0.2994495747692787,-0.2316673753841475,-0.2316673753841475,0.4001689598480424,0.24484100581839557,-0.4243492179353571,-0.32825121266850804,-0.04598525118788864,-0.05392822949732621,-0.24845489866399048,-0.491917088393343,0.4895398222964937,-0.010785157031188358,-0.17799932633832724,-0.06914719336085083,-0.24797857234225587,-0.44828079387506464,-0.5472292722764548,-0.18396790603927674,,-0.13268659438669506,0.11809445799514143,0.404205085564307,-0.5417184475261327,-0.47149386577881913,-0.4491036891707884,-0.26469261319195536,-0.1327366995958385,-0.3791706618857828,-0.18270050521049924,-0.2878305877666123,-0.0011480111229844841,-0.09111667469915412,0.07579926294259685,-0.14341193503896615,-0.05394833210548742,-0.1787262561127714,-0.13528655658297592,-0.015583805343363746,-0.04626064272192455,0.052104450635634715,0.05882499262924264,-0.04647900170234385,0.3439938550676445,-0.22724586310562048,-0.07937601258579276,-0.3109664538484429,-0.3917387370904064,-0.42015061583656527,-0.45104345997876616,-0.27793720011526374,0.05547933264808184,-0.21518993394664707,-0.28099604595484295,-0.17272617707454802,-0.17811978857090138,-0.29800971297944207,-0.3886789072990968,0.051250015215580313,-0.22930742935224066,-0.07806593524127851,0.06724609966733057,0.6254443515317861,-0.17813814940936853,0.2109848920168606
dim_3_aktiv,0.09189303347939218,0.24755777595553094,-0.30212242281262097,-0.23314392425447977,1.0,0.8853885405998404,0.09391737368655706,0.3536511081208302,0.3536511081208302,0.31519426071811724,0.15268800322548823,0.5586149297917895,0.06899149761846297,0.5418900698071802,0.1216525474042828,0.6268911262051347,0.5905057684939162,0.5324822987229146,0.47426197721789104,0.41147271564907073,0.5448996867048146,0.6105669070793058,0.566468555889719,0.5935861660509872,0.3001616533863012,0.3893512872899769,0.5661707829053723,0.43633433567071217,0.4991769077611018,0.4461045303321102,0.3630320127694442,0.5855010405382299,0.37088110524611767,0.6884812078701967,0.5401869620393901,-0.1517882043698507,0.3007381579220416,0.4151039629132224,0.8090931206123133,0.7085002648070742,0.7430531187250394,0.36803706346534965,0.6492671662237551,0.22621915778930057,0.24224746451049284,,0.6187870231774963,0.18105451351832677,0.46806658723606703,0.6355152540740255,0.047515357401946144,0.43941186387937203,0.6239079369792184,0.4991769077611018,0.33903820448863187,0.6080749649336207,0.7317541501881332,0.6063240056223177,0.6399462060792578,0.5772245350153036,0.5407753476148951,0.2250727134937874,0.33932175324147273,0.6958821686025034,0.6958821686025034,0.2801906646577948,0.15742042535304607,0.5936556731587807,0.6354227674312415,0.6782295276687819,0.5419041662217927,0.702191089553045,0.32610907026316666,0.12458272494863701,0.558738862376056,-0.19794036486171962,0.6379807237261128,0.38295391779661336,0.6367971408695462,0.3783238027950601,0.6511689967294532,,0.6572729254125461,0.4378752464889267,0.36794440439566617,0.5242692182939681,0.677965714548488,0.6784761590680496,0.6720680173317612,0.6954024382306557,0.4822724575394825,0.5949940846722125,0.5559172779837405,0.7670011239715947,0.6815997083715988,0.697192652398405,0.6496743993082081,0.4974859548957206,0.8847122142799247,0.5449661877130558,0.5157058607052171,0.6129657388493578,0.6297555912362861,0.33715720793589976,0.5798019009571664,-0.5138390898285693,0.6371051061154868,0.41939674728707604,0.578112570673806,0.5839111588651625,0.4226349395193477,0.5352341046347057,0.22584975864004853,0.16788984781157468,0.5775253208596234,0.5978534092376642,0.45624408804327843,0.2588809759316575,0.3577837125951747,0.5467659803842165,0.6717518667763326,0.7489619230246973,-0.1412676457278935,0.42638955736530604,0.005595241060031439,0.5559611802556607,-0.44130608614528266
dim_4_alive,0.1147473498734524,0.45958814399617903,-0.4086510167439273,-0.38518667293876957,0.8853885405998404,1.0,0.00828499142814095,0.22462510059002044,0.22462510059002044,0.45573292935715576,0.2691464046801166,0.5681533000065806,0.33492360067893673,0.7098042992110946,0.10752503386224696,0.6950747938070785,0.6331925038176014,0.6167334027068132,0.43804027081121677,0.6044304051677334,0.48992922020316043,0.7281918899301394,0.7229574229845676,0.4784552331992838,0.44462345747922394,0.4158416543876678,0.6490393863848053,0.6474859862160582,0.513775348305741,0.5547937524215032,0.3747575335714321,0.5711715346804145,0.5866340580458552,0.8261160484044305,0.6884651604740576,-0.35877845430160543,0.37964487120446727,0.4947269405965514,0.8663089200784415,0.7321461460987145,0.7433999762431137,0.3295912812695307,0.5358462916272201,0.1763866272712918,0.1639855684311005,,0.8080166326152032,0.48742168856480544,0.49347930167799087,0.7275013013723052,-0.14222247116762485,0.5632809378036688,0.7469230944850238,0.513775348305741,0.6142677709629288,0.6501943960326477,0.8039112517034959,0.7025169430498188,0.7885384547545061,0.5784392701579673,0.449288151259293,0.20290111847226713,0.3950200341331418,0.7439702575957043,0.7439702575957043,0.24421091883717833,0.10485069293685441,0.7769456347102951,0.7899034138433038,0.6570838777446001,0.5901819466798832,0.6417161211074591,0.5902611287674863,-0.05898087787957191,0.5452120734825726,-0.21622630292889194,0.6179999540305581,0.6537745418213722,0.6747816328789648,0.5706253493285103,0.6364500653294619,,0.6826625349574632,0.4096342192577704,0.21094889520550875,0.7448359733659673,0.8440958368692327,0.8350189272591781,0.7070759739250142,0.6473722039879783,0.5848453770528782,0.5924939740999967,0.6956949208326288,0.7392407339453728,0.6720725973146806,0.6119484211542854,0.717171534941044,0.5345037644343322,0.831243646059067,0.5905365782260822,0.5534664075486039,0.579362685707833,0.6571580848824747,0.3648401716706852,0.5509218412158824,-0.5991223845647736,0.6871631015380232,0.47047611719478566,0.668476394261062,0.6947782736597254,0.64435299102763,0.6959271697450413,0.46961636829016634,0.3140189623768738,0.6721576551372068,0.6713026699820409,0.49710519461994246,0.4120954241216395,0.5547704179297672,0.6631649956406539,0.6142796290018137,0.8394251182129789,0.04110301462769684,0.2813608506905228,-0.23639970651959846,0.5960816323368089,-0.48245109293697314
dim_5_altmodisch,0.08328625452461667,-0.3173092637156959,0.3576102231216468,0.21568684408417793,0.09391737368655706,0.00828499142814095,1.0,0.5356188816683696,0.5356188816683696,-0.10841380617352514,0.21217359913012457,0.42402514914711203,-0.22677649740153472,0.04018442135254081,-0.233200190636781,-0.11239602873665944,-0.37997462361696765,0.1807403645094639,-0.0562123562280426,-0.01656045639348853,-0.14494041386222112,0.11564637704789789,-0.08222722725368276,0.3960487827295119,0.08629908616386298,0.23598190602599112,0.4244637687036034,-0.21613853251681764,0.206847981079139,-0.3594450582450211,0.22401047734421992,0.3046570599534496,-0.07226572011258535,-0.05928316503698895,0.006337797860162896,0.38729673394014447,-0.16379748693520468,0.19425011026845795,0.12459283242836436,-0.05581738270373355,0.033402930036486894,-0.05970853469994606,0.4208925057683598,0.049673484158308655,0.04272035439342958,,0.03319573317953461,-0.21145892277099104,-0.0438411076208388,-0.14657818592468483,0.0011315368353473033,0.21665909845097378,0.17946174649537358,0.206847981079139,-0.20033719507590872,0.10085496716338245,0.07283134081184447,-0.0634668366246933,-0.034045359051038865,0.1757454369290074,0.3730541276708375,-0.02129054906345625,-0.2936131638099722,0.2206739548640136,0.2206739548640136,0.4438941610366842,0.4395566480532427,-0.2708385406064828,0.22200580763787145,-0.0007841111568051263,0.15447040847812707,-0.07978532426869367,-0.15344121804506206,0.25196495870943625,0.10992020953671557,-0.1379535958266212,0.09233539505037748,-0.2461478501055078,-0.02777203477102673,-0.25376126941133625,0.10896557749842148,,0.008861771989685007,0.19586194649384983,0.43347524875696314,-0.04955768508957534,-0.06492314970774271,0.06175931823713539,0.26929577052699316,-0.06568432453411488,0.04941231258443915,-0.18733639076572875,-0.1472913860701899,0.25523558989545314,0.12207993504927105,-0.026793514296239808,0.1716580827498219,-0.03620254327510938,0.2558380835121913,0.5935080885952688,-0.1459858320337193,-0.027652837343684133,0.1385060992972427,0.45633075512419935,0.5119692669282314,0.026335455006106415,-0.08162881820345043,0.25609696265747967,0.1058752008236569,-0.04312360547438017,-0.1263031630589552,0.09576851675125818,0.014505074817915546,-0.09875368783167006,-0.16711829112671298,-0.06497762891414591,0.18854905443810124,-0.11928931763073326,-0.32639685194753437,-0.15559631873610139,0.027807901481881944,0.2236576173695315,-0.009131103732284554,-0.05923304263964444,0.1924153643807794,0.20747081391771408,0.08451142253907923
dim_6_arts,0.12372278725156113,0.03588773794180327,0.17891057672515143,0.3104194783198389,0.3536511081208302,0.22462510059002044,0.5356188816683696,1.0,1.0,0.19413119740556556,0.30686054465867046,0.5487887791180764,-0.17744713263179446,0.2568811115689314,-0.12316575078675028,0.29968021414853957,0.08793697403558703,0.30661736758615005,0.4423890005276098,0.12162458236343603,0.36111119012242876,0.22976029426453348,0.2689272681183087,0.8099018885928986,0.1929207086468651,0.22476710693489668,0.2651890036553261,-0.12066547996898434,-0.07327076138062216,-0.0793826087579274,0.46466670348169054,0.47349918201109736,-0.28425353836724226,0.13151632327030446,0.2241466360038429,0.5196317829132181,-0.15270156120255435,0.158590311942164,0.37493559328604315,0.2781417472135245,0.3397229875088504,0.5175576109818252,0.7256152396643926,0.5438219962027167,0.47497598453404377,,0.18676614332910146,-0.19744673884186095,0.20677956909228967,-0.05258715585421286,0.40671558170505206,0.28365990390760526,0.06958752088800108,-0.07327076138062216,-0.14964168985307244,0.3817017514111831,0.3392038660811751,0.12920464459437514,0.07653491247320918,0.6160211329815368,0.6516146752343259,0.4797345782111673,0.015041751668833554,0.33301569662206654,0.33301569662206654,0.6633232215114745,0.46637483109419603,-0.013453957433789012,0.27436858655400265,0.4162937457092085,0.2293725523836368,0.28339748485413635,-0.18283295298818844,0.5525994532709041,0.6080092525501685,-0.17547598536270678,0.4366087639311637,-0.07981788424351957,-0.01862386924693886,-0.28757067406554526,0.4479760685814828,,0.25864265653832663,0.6326856658028667,0.8052317317975688,-0.06356010298813093,0.03318106105247744,0.08717399769071953,0.4597516121199561,0.44345143920190455,-0.14648261175987257,0.34049681653706887,0.08033860107070821,0.5926692205361491,0.5297514267632386,0.481657944804387,0.5251804347581184,0.4502138246796146,0.4778480943863837,0.46992067805741117,0.1390160562508094,0.4031468305163653,0.5565760349605638,0.49411664336445293,0.5566008781869859,-0.3558438038854544,0.1772724714543572,0.48329993311198505,0.25445781653296207,0.08364999037668179,-0.07719441827782443,0.08585624258651181,-0.13983015107053595,0.27958081189315326,-0.0314414300332705,0.15313321186222761,0.3409499006917557,0.22415473332520508,-0.05202054592792848,0.17912360523232235,0.5460915213852926,0.46271501025172695,-0.07827937928556215,0.37616560996769516,0.4953086228798789,0.5128231581813788,-0.3474942334257478
dim_7_arts_2,0.12372278725156113,0.03588773794180327,0.17891057672515143,0.3104194783198389,0.3536511081208302,0.22462510059002044,0.5356188816683696,1.0,1.0,0.19413119740556556,0.30686054465867046,0.5487887791180764,-0.17744713263179446,0.2568811115689314,-0.12316575078675028,0.29968021414853957,0.08793697403558703,0.30661736758615005,0.4423890005276098,0.12162458236343603,0.36111119012242876,0.22976029426453348,0.2689272681183087,0.8099018885928986,0.1929207086468651,0.22476710693489668,0.2651890036553261,-0.12066547996898434,-0.07327076138062216,-0.0793826087579274,0.46466670348169054,0.47349918201109736,-0.28425353836724226,0.13151632327030446,0.2241466360038429,0.5196317829132181,-0.15270156120255435,0.158590311942164,0.37493559328604315,0.2781417472135245,0.3397229875088504,0.5175576109818252,0.7256152396643926,0.5438219962027167,0.47497598453404377,,0.18676614332910146,-0.19744673884186095,0.20677956909228967,-0.05258715585421286,0.40671558170505206,0.28365990390760526,0.06958752088800108,-0.07327076138062216,-0.14964168985307244,0.3817017514111831,0.3392038660811751,0.12920464459437514,0.07653491247320918,0.6160211329815368,0.6516146752343259,0.4797345782111673,0.015041751668833554,0.33301569662206654,0.33301569662206654,0.6633232215114745,0.46637483109419603,-0.013453957433789012,0.27436858655400265,0.4162937457092085,0.2293725523836368,0.28339748485413635,-0.18283295298818844,0.5525994532709041,0.6080092525501685,-0.17547598536270678,0.4366087639311637,-0.07981788424351957,-0.01862386924693886,-0.28757067406554526,0.4479760685814828,,0.25864265653832663,0.6326856658028667,0.8052317317975688,-0.06356010298813093,0.03318106105247744,0.08717399769071953,0.4597516121199561,0.44345143920190455,-0.14648261175987257,0.34049681653706887,0.08033860107070821,0.5926692205361491,0.5297514267632386,0.481657944804387,0.5251804347581184,0.4502138246796146,0.4778480943863837,0.46992067805741117,0.1390160562508094,0.4031468305163653,0.5565760349605638,0.49411664336445293,0.5566008781869859,-0.3558438038854544,0.1772724714543572,0.48329993311198505,0.25445781653296207,0.08364999037668179,-0.07719441827782443,0.08585624258651181,-0.13983015107053595,0.27958081189315326,-0.0314414300332705,0.15313321186222761,0.3409499006917557,0.22415473332520508,-0.05202054592792848,0.17912360523232235,0.5460915213852926,0.46271501025172695,-0.07827937928556215,0.37616560996769516,0.4953086228798789,0.5128231581813788,-0.3474942334257478
dim_8_bad,0.08260016510567088,0.7205850007905092,-0.10069693999142455,-0.10164952711844924,0.31519426071811724,0.45573292935715576,-0.10841380617352514,0.19413119740556556,0.19413119740556556,1.0,0.4317992241546974,0.4825149785288094,0.5314892374871534,0.6428051342877497,0.23089006397935702,0.7841676170937639,0.5400540738207403,0.7624392185933551,0.5943011332842008,0.8365942460412533,0.2937846965845512,0.6117638670474959,0.877035902426375,0.18279784379592115,0.6527702017923913,0.015185946514607584,0.2679248627663669,0.6358075200460043,-0.09182178296093343,0.5732609668343438,0.6114664113724765,0.471756716928601,0.07796801780147762,0.7226592503702736,0.8410040806762513,-0.150257653252847,0.2763612837757164,0.32412414775809506,0.5027419857746686,0.7034162238417805,0.6850246271304257,0.665378055886922,0.3481694081801975,0.6131158866228209,0.4980322580222421,,0.5490357601300387,0.6346601326449827,0.7613579283642921,0.5940055937617059,0.09807007993549179,0.4974679618128874,0.47689463487638195,-0.09182178296093343,0.4448209584491619,0.7089197523473124,0.7009378440079189,0.5561978676075311,0.684439648377908,0.574801213456385,0.5419714928029191,0.652074144596175,0.31889343892346295,0.41062280942454765,0.41062280942454765,0.20711420658315785,-0.015088521312690997,0.7107387038117756,0.5335625417593809,0.6552016808584246,0.45756797244537994,0.5808819640920708,0.35335701808650044,-0.1974963063708818,0.6548915867255161,-0.2826837574152536,0.7106513940062823,0.44228500151182953,0.42292321514611064,0.36327883615512163,0.6455938828767734,,0.3065471632523991,0.5030144448620282,0.024824803026695513,0.5665162195563832,0.5200752358530416,0.43634218667800695,0.56468749813974,0.5691623455994895,0.024422043087867447,0.6783733584245173,0.691592449464493,0.4806680572715154,0.6201787487659132,0.5590432173369668,0.7375183882548438,0.830324838894049,0.4841321741721241,0.2738681207017086,0.38043492409343166,0.4939972300886723,0.6187654000847317,0.5627972611783771,0.3520550941546816,-0.6198685412651495,0.7003470860566515,0.7853990873806713,0.7356679201139107,0.6651933909856305,0.6945894666270733,0.5918590616587794,0.3366626750318933,0.8743794421094968,0.3135636080919409,0.2802329529457065,0.6685622911506172,0.7355622288385342,0.8182331880476235,0.6261191490236218,0.6065647483006846,0.6463577477667687,0.290303117173866,0.4051816557048263,-0.02082259572224428,0.6101027978080968,-0.3953876575925994
