Post_text,success
"['witać', 'wiek', 'rok', 'dzisiejszy', 'dzień', 'tylko', 'wyjątkowy', 'z', 'wzgląd', 'pierwszy', 'dzień', 'rok', 'który', 'niezaprzeczalnie', 'musieć', 'prostu', 'wyjątkowy', 'ale', 'również', 'z', 'wzgląd', 'start', 'rajd', 'dakar', 'śledzić', 'z', 'zaprzeć', 'dech']",3.625
"['dakar', 'the', 'ultimate', 'rally', 'raca', 'oficjalnie', 'rozpocząć', 'śledzić', 'emocja', 'jaka', 'zwykle', 'niesamowity']",4.5
"['up', 'deklasować', 'konkurencja', 'zajrzeć', 'najnowszy', 'numer', 'auto', 'świat', 'wiek', 'który', 'przeprowadzić', 'porównać', 'maluch', 'docenić', 'komfort', 'przestronność', 'i', 'doskonały', 'wykończyć', 'wiek', 'załącznik', 'fragment', 'artykuł', 'całość', 'oczywiście', 'wiek', 'kiosk']",15.125
"['mały', 'ale', 'z', 'charakter', 'jaka', 'uważać', 'dodawać', 'wiele', 'pazur']",11.375
"['taka', 'czas', 'wiek', 'rok', 'wiek', 'który', 'wyprzedaż', 'lubić', 'tylko', 'pani', 'wiedzieć', 'jaka', 'czas', 'wyprzedaż', 'model', 'vw', 'pełny', 'innowacja', 'ruszać', 'atrakcyjny', 'rabata', 'wybrać', 'wariant', 'golf', 'jetta', 'passat', 'oraz', 'polo', 'z', 'specjalny', 'wyposażyć', 'szczegół', 'strona', 'HyperText_Transfer_Protocol', 'bit', 'ly', 'wyprzedazvw', 'zobaczyć', 'wiek', 'salon']",15.5
"['zgadnąć', 'jaka', 'model', 'znajdywać', 'siebie', 'zdjęcie']",27.0
"['piątkowo', 'zachęcać', 'weekendowy', 'seans', 'film', 'auto', 'wiek', 'który', 'występować', 'uwielbiać', 'przez', 'wszystek', 'ogórek', 'lubić', 'jaka', 'woleć', 'fillmore', 'film', 'tylko', 'najmłodszy', 'oglądać']",23.125
"['moda', 'duży', 'dawny', 'odejść', 'teraz', 'królować', 'mały']",16.125
"['wnęter', 'up', 'zdecydować', 'siebie', 'podobać', 'jaka', 'oceniać', 'kojarzyć', 'siebie', 'z', 'nowoczesność', 'cza', 'klasyka']",20.875
"['zapytać', 'zabrać', 'z', 'siebie', 'bezludny', 'wyspa', 'ale', 'ojciec', 'spakować', 'swoje', 'up', 'a', 'jechać', 'wycieczka']",7.25
"['oda', 'kilka', 'dzień', 'wiek', 'salon', 'dostępny', 'polo', 'gti', 'najnowszy', 'wersja', 'wyposażyć', 'wiek', 'silnik', 'tsi', 'ojciec', 'moc', 'kilometr', 'rozpędzać', 'siebie', 'setka', 'wiek', 'zaledwie', 'sekunda', 'warto', 'zwrócić', 'uwaga', 'najoszczędniejszy', 'model', 'gti', 'wiek', 'historii', 'średnia', 'zużyć', 'paliwo', 'wynosić', 'zaledwie', 'litr', 'kilometr', 'chętny', 'kciuk', 'wiek', 'góra']",19.875
"['dokończyć', 'zdać', 'prowadzić', 'samochód', 'lepszy', 'nizać']",24.625
"['rok', 'rozpoczynać', 'mocny', 'uderzyć', 'detroit', 'auto', 'show', 'zaskoczyć', 'wspaniały', 'premiera', 'przedstawiać', 'e', 'bugster', 'czyli', 'vw', 'beetle', 'wiek', 'wydanie', 'speedster', 'prawda', 'model', 'studyjny', 'ale', 'podbić', 'serce']",17.375
"['piątka', 'ego', 'wszystek', 'mówić', 'ojciec', 'pech', 'a', 'przekora', 'zmienić', 'lekko', 'tematyka', 'miły', 'spotkać']",13.5
"['volkswagen', 'up', 'walczyć', 'ojciec', 'nagroda', 'car', 'of', 'the', 'year', 'wśród', 'lista', 'model', 'ścisły', 'finał', 'zakwalifikować', 'siebie', 'siedem', 'model', 'zwycięzca', 'zostać', 'ogłosić', 'podczas', 'najbliższy', 'wystawa', 'geneva', 'international', 'motor', 'show', 'początku', 'marca', 'kciuk', 'up', 'to_znaczy', 'wiek', 'góra']",4.375
"['zapraszać', 'niedzielny', 'przejażdżka', 'metro', 'wiek', 'wersja', 'bulla', 'niesamowity', 'wrazić', 'gwarantować', 'jaka', 'jechać']",33.75
"['dzisiejszy', 'pytać', 'brzmieć', 'jaka', 'wiek', 'czas', 'wyprzedaż', 'stracić', 'głowa', 'mały', 'poradnik', 'strona', 'HyperText_Transfer_Protocol', 'bit', 'ly', 'xehnty', 'móc', 'mieć', 'jakiś', 'swój', 'sprawdzić', 'sposób']",2.375
"['wiek', 'prasa', 'pojawić', 'siebie', 'kolejny', 'zestawić', 'wiek', 'który', 'nowy', 'up', 'porównywać', 'swoje', 'konkurent', 'cóż', 'móc', 'powiedzieć', 'up', 'i', 'górować', 'zaglądnąć', 'najnowszy', 'numer', 'magazyn', 'motor']",8.625
"['e', 'bugster', 'jedyny', 'premier', 'ostatni', 'dzień', 'detroit', 'auto', 'show', 'pojawić', 'siebie', 'także', 'jetta', 'hybrid', 'z', 'czterocylindrowy', 'silnik', 'tsi', 'kw', 'kilometr', 'biegowy', 'przekładnia', 'dsg', 'i', 'silnik', 'elektryczny', 'kw']",7.875
"['ciekawy', 'cza', 'coś', 'jeszcze', 'pamiętać', 'z', 'swoje', 'egzamin', 'prawo', 'jazda', 'napisać', 'prawidłowy', 'kolejność', 'jazda', 'pojazd', 'obrazek']",57.875
"['lubić', 'reklama', 'vw', 'the', 'force', 'pewno', 'polubić', 'the', 'barka', 'side', 'spot', 'tylko', 'miłośnik', 'czworonożny', 'przyjaciel']",11.75
